Timestamp
OS date: 01/21/15, OS time: 15:01:17
---
Sequenz
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   2
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   3
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   4
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   5
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   6
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   2
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   3
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   4
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   5
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   6
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   2
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   3
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   4
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   5
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   6
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   2
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   3
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   4
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   5
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   6
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   2
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   3
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   4
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   5
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   6
---
instruierte Übergänge
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   2
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   4
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   3
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   2
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   6
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   4
---
freies.Generieren
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Shape" "Reaktion"
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1   2   3
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1   2   5
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1   2   4
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1   2   5
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1   2   2
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1   2   4
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1   2   5
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1   2   3
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1   2   5
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1   2   3
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1   2   6
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1   2   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1   2   2
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1   2   4
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1   2   5
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1   2   3
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1   2   6
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1   2   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1   2   2
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1   2   3
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1   2   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1   2   2
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1   2   4
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1   2   5
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1   2   2
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1   2   3
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1   2   4
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1   2   5
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1   2   2
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1   2   4
---
Lernphase
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Trial.Nr" "Shape" "Reaktion" "Reaktionszeit" "Position" "korrekt"
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1   1   0   2 429   2   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1   2   0   3 599   3   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1   3   0   5 510   5   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1   4   0   4 520   4   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1   5   0   2 470   2   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1   6   0   5 455   5   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1   7   0   3 702   3   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1   8   0   6 551   6   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1   9   0   4 1046   4   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  10   0   1 568   1   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  11   0   5 631   5   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  12   0   4 566   4   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  13   0   1 472   1   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  14   0   6 486   6   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  15   0   5 552   5   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  16   0   2 534   2   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  17   0   1 527   1   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  18   0   3 847   3   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  19   0   5 734   5   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  20   0   6 463   6   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  21   0   4 807   4   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  22   0   1 495   1   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  23   0   3 703   3   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  24   0   2 646   2   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  25   0   1 575   1   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  26   0   5 631   5   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  27   0   3 534   3   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  28   0   2 407   2   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  29   0   1 375   1   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  30   0   4 694   4   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  31   0   5 398   5   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  32   0   3 734   3   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  33   0   1 407   1   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  34   0   4 679   4   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  35   0   6 512   6   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  36   0   3 647   3   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  37   0   2 391   2   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  38   0   5 638   5   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  39   0   1 478   1   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  40   0   4 879   4   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  41   0   2 519   2   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  42   0   5 486   5   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  43   0   4 599   4   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  44   0   6 535   6   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  45   0   2 663   2   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  46   0   5 590   5   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  47   0   4 583   4   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  48   0   2 526   2   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  49   0   5 431   5   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  50   0   2 406   1   0
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  51   0   2 1107   2   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  52   0   4 742   4   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  53   0   1 479   1   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  54   0   6 479   6   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  55   0   2 528   2   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  56   0   1 494   1   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  57   0   5 632   5   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  58   0   4 527   4   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  59   0   2 520   2   1
Pudel10 153   1   1   1  19   1   1   1   1 GERMANISTIKKK   1  60   0   6 462   6   1
