Timestamp
OS date: 01/21/15, OS time: 16:24:19
---
Sequenz
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   2
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   6
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   3
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   5
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   3
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   6
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   4
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   3
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   2
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   5
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   4
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   5
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   3
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   4
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   6
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   4
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   2
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   3
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   2
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   4
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   5
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   6
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   2
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   6
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   5
---
instruierte Übergänge
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   6
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   2
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   6
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   5
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   2
---
freies.Generieren
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Shape" "Reaktion"
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1   2   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1   2   2
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1   2   4
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1   2   2
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1   2   3
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1   2   5
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1   2   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1   2   3
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1   2   6
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1   2   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1   2   2
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1   2   4
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1   2   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1   2   3
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1   2   5
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1   2   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1   2   3
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1   2   6
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1   2   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1   2   2
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1   2   4
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1   2   2
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1   2   3
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1   2   5
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1   2   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1   2   3
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1   2   6
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1   2   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1   2   2
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1   2   4
---
Lernphase
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Trial.Nr" "Shape" "Reaktion" "Reaktionszeit" "Position" "korrekt"
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1   1   0   2 631   2   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1   2   0   6 1599   6   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1   3   0   3 1167   3   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1   4   0   5 1166   5   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1   5   0   1 977   1   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1   6   0   3 1263   3   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1   7   0   6 846   6   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1   8   0   4 1184   4   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1   9   0   3 751   3   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  10   0   2 1198   2   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  11   0   5 1038   5   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  12   0   4 688   4   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  13   0   1 766   1   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  14   0   5 1247   5   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  15   0   3 1534   3   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  16   0   4 879   4   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  17   0   6 1054   6   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  18   0   1 1407   1   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  19   0   4 1199   4   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  20   0   2 1087   2   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  21   0   3 782   3   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  22   0   1 670   1   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  23   0   2 591   2   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  24   0   4 767   4   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  25   0   5 863   5   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  26   0   6 511   6   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  27   0   2 830   2   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  28   0   1 750   1   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  29   0   6 1391   6   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  30   0   5 671   5   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  31   0   2 1104   2   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  32   0   6 669   6   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  33   0   3 926   3   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  34   0   5 1024   5   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  35   0   1 958   1   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  36   0   3 1054   3   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  37   0   5 944   5   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  38   0   1 734   1   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  39   0   3 2064   3   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  40   0   6 878   6   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  41   0   4 991   4   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  42   0   3 1087   3   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  43   0   2 767   2   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  44   0   5 991   5   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  45   0   4 639   4   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  46   0   1 863   1   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  47   0   5 671   5   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  48   0   3 814   3   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  49   0   4 799   4   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  50   0   6 990   6   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  51   0   1 543   1   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  52   0   4 1151   4   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  53   0   2 686   2   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  54   0   3 1056   3   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  55   0   1 670   1   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  56   0   2 1119   2   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  57   0   4 2047   4   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  58   0   5 448   5   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  59   0   6 399   6   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  60   0   3 862   3   1
Pudel10 160   3   1   0  20   1   1   1   1 GERMANISTIKUNDSOZIOLOGIE   1  61   0   5 942   5   1
