Timestamp
OS date: 01/21/15, OS time: 16:48:01
---
Sequenz
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   3
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   6
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   5
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   3
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   4
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   5
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   6
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   2
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   5
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   3
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   2
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   4
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   3
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   5
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   2
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   6
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   4
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   2
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   5
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   4
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   2
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   3
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   6
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   4
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   6
---
instruierte Übergänge
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   2
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   5
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   2
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   5
---
freies.Generieren
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Shape" "Reaktion"
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1   2   6
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1   2   2
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1   2   5
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1   2   3
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1   2   4
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1   2   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1   2   6
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1   2   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1   2   5
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1   2   2
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1   2   4
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1   2   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1   2   6
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1   2   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1   2   2
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1   2   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1   2   5
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1   2   6
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1   2   2
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1   2   3
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1   2   5
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1   2   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1   2   6
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1   2   2
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1   2   5
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1   2   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1   2   4
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1   2   3
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1   2   6
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1   2   1
---
Lernphase
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Trial.Nr" "Shape" "Reaktion" "Reaktionszeit" "Position" "korrekt"
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1   1   0   5 518   5   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1   2   0   6 503   6   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1   3   0   2 687   2   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1   4   0   5 534   5   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1   5   0   1 471   1   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1   6   0   3 503   3   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1   7   0   5 510   5   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1   8   0   2 527   2   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1   9   0   6 791   6   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  10   0   4 670   4   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  11   0   2 471   2   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  12   0   1 455   1   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  13   0   6 511   6   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  14   0   5 511   5   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  15   0   3 606   3   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  16   0   4 543   4   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  17   0   5 568   5   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  18   0   6 503   6   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  19   0   2 534   2   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  20   0   5 640   5   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  21   0   1 550   1   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  22   0   3 654   3   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  23   0   2 519   2   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  24   0   4 663   4   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  25   0   1 526   1   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  26   0   6 567   6   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  27   0   5 495   5   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  28   0   3 750   3   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  29   0   4 560   4   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  30   0   5 407   5   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  31   0   6 463   6   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  32   0   4 447   4   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  33   0   2 542   2   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  34   0   1 439   1   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  35   0   5 623   5   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  36   0   4 455   4   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  37   0   1 566   1   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  38   0   2 471   2   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  39   0   3 598   3   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  40   0   6 687   6   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  41   0   1 552   1   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  42   0   4 590   4   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  43   0   6 591   6   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  44   0   3 839   3   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  45   0   1 494   1   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  46   0   6 535   6   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  47   0   5 791   5   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  48   0   3 783   3   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  49   0   4 1055   4   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  50   0   2 710   2   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  51   0   1 470   1   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  52   0   5 631   5   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  53   0   4 688   4   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  54   0   1 527   1   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  55   0   2 654   2   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  56   0   3 718   3   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  57   0   6 608   6   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  58   0   1 671   1   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  59   0   4 838   4   1
Pudel10 161   3   2   1  25   1   1   1   1 GERMANITSTIK   1  60   0   6 600   6   1
