Timestamp
OS date: 01/22/15, OS time: 11:27:17
---
Sequenz
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   6
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   3
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   4
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   2
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   5
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   3
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   2
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   6
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   4
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   5
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   3
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   5
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   6
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   4
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   3
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   5
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   2
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   4
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   6
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   5
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   4
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   2
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   3
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   6
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   2
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1
---
instruierte Übergänge
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   6
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   4
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   6
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   2
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1
---
freies.Generieren
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Shape" "Reaktion"
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1   2   6
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1   2   5
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1   2   4
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1   2   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1   2   6
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1   2   5
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1   2   4
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1   2   6
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1   2   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1   2   2
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1   2   3
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1   2   6
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1   2   4
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1   2   5
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1   2   6
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1   2   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1   2   6
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1   2   2
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1   2   5
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1   2   2
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1   2   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1   2   3
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1   2   5
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1   2   2
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1   2   6
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1   2   4
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1   2   5
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1   2   2
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1   2   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1   2   6
---
Lernphase
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Trial.Nr" "Shape" "Reaktion" "Reaktionszeit" "Position" "korrekt"
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1   1   0   6 402   6   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1   2   0   3 750   3   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1   3   0   4 590   4   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1   4   0   2 512   2   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1   5   0   5 494   5   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1   6   0   1 464   1   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1   7   0   3 566   3   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1   8   0   2 559   2   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1   9   0   6 536   6   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  10   0   4 414   4   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  11   0   5 367   5   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  12   0   3 470   3   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  13   0   4 560   4   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  14   0   2 462   2   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  15   0   1 510   1   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  16   0   6 520   6   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  17   0   3 607   3   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  18   0   4 582   4   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  19   0   2 536   2   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  20   0   5 646   5   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  21   0   1 479   1   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  22   0   3 431   3   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  23   0   5 502   5   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  24   0   2 615   2   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  25   0   4 894   4   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  26   0   6 512   6   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  27   0   3 607   3   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  28   0   4 510   4   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  29   0   5 431   5   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  30   0   3 494   3   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  31   0   1 655   1   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  32   0   5 710   5   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  33   0   6 519   6   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  34   0   1 630   1   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  35   0   4 992   4   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  36   0   2 679   2   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  37   0   5 630   5   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  38   0   4 575   4   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  39   0   1 623   1   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  40   0   2 616   2   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  41   0   3 502   3   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  42   0   4 478   4   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  43   0   6 535   6   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  44   0   5 439   5   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  45   0   4 646   4   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  46   0   1 639   1   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  47   0   2 567   2   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  48   0   3 479   3   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  49   0   6 632   6   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  50   0   2 662   2   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  51   0   1 575   1   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  52   0   6 575   6   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  53   0   3 766   3   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  54   0   4 488   4   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  55   0   2 622   2   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  56   0   5 495   5   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  57   0   1 583   1   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  58   0   3 703   3   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  59   0   2 662   2   1
Pudel10 165   2   2   1  18   1   1   1   1 GERMANISTIK   1  60   0   6 583   6   1
