Timestamp
OS date: 01/22/15, OS time: 11:42:07
---
Sequenz
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   5
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   3
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   4
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   6
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   2
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   3
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   6
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   3
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   2
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   5
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   4
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   3
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   6
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   2
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   4
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   5
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   4
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   3
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   5
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   6
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   4
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   2
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   5
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   2
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   6
---
instruierte Übergänge
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   6
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   3
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   5
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   2
---
freies.Generieren
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Shape" "Reaktion"
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1   2   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1   2   5
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1   2   2
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1   2   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1   2   6
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1   2   4
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1   2   3
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1   2   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1   2   2
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1   2   3
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1   2   6
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1   2   4
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1   2   2
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1   2   6
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1   2   4
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1   2   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1   2   4
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1   2   6
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1   2   2
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1   2   5
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1   2   3
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1   2   4
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1   2   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1   2   2
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1   2   3
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1   2   6
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1   2   4
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1   2   5
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1   2   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1   2   3
---
Lernphase
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Trial.Nr" "Shape" "Reaktion" "Reaktionszeit" "Position" "korrekt"
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1   1   0   5 782   5   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1   2   0   1 847   1   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1   3   0   4 1071   4   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1   4   0   3 862   3   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1   5   0   5 960   5   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1   6   0   6 735   6   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1   7   0   4 799   4   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1   8   0   2 1006   2   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1   9   0   1 640   1   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  10   0   5 750   5   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  11   0   2 654   2   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  12   0   6 654   6   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  13   0   5 720   5   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  14   0   3 848   3   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  15   0   6 799   6   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  16   0   2 654   2   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  17   0   5 782   5   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  18   0   4 750   4   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  19   0   1 574   1   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  20   0   3 686   3   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  21   0   6 654   6   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  22   0   2 671   2   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  23   0   6 685   5   0
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  24   0   4 1964   4   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  25   0   3 1052   3   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  26   0   5 1903   5   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  27   0   6 783   6   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  28   0   4 990   4   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  29   0   2 1278   2   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  30   0   1 768   1   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  31   0   5 1774   5   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  32   0   2 1567   2   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  33   0   6 926   6   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  34   0   5 656   5   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  35   0   3 765   3   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  36   0   2 1375   2   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  37   0   5 751   5   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  38   0   4 607   4   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  39   0   6 670   6   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  40   0   1 656   1   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  41   0   2 926   2   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  42   0   3 543   3   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  43   0   1 640   1   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  44   0   6 622   6   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  45   0   4 768   4   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  46   0   2 958   2   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  47   0   1 496   1   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  48   0   5 1119   5   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  49   0   2 750   2   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  50   0   6 543   6   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  51   0   1 815   1   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  52   0   2 480   2   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  53   0   3 703   3   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  54   0   1 542   1   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  55   0   6 639   6   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  56   0   3 702   3   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  57   0   2 751   2   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  58   0   5 895   5   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  59   0   4 670   4   1
Pudel10 168   2   1   0  20   1   1   1   2 ANGLISTIK   1  60   0   1 575   1   1
