Timestamp
OS date: 01/22/15, OS time: 15:52:49
---
Sequenz
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   2
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   3
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   4
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   5
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   6
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   2
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   3
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   4
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   5
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   6
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   2
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   3
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   4
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   5
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   6
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   2
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   3
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   4
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   5
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   6
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   2
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   3
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   4
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   5
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   6
---
instruierte Übergänge
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   2
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   3
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   4
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   2
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   4
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1
---
freies.Generieren
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Shape" "Reaktion"
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1   2   2
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1   2   5
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1   2   6
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1   2   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1   2   3
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1   2   4
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1   2   2
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1   2   5
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1   2   6
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1   2   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1   2   2
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1   2   5
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1   2   4
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1   2   3
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1   2   2
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1   2   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1   2   5
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1   2   2
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1   2   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1   2   4
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1   2   6
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1   2   5
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1   2   4
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1   2   2
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1   2   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1   2   4
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1   2   3
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1   2   2
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1   2   6
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1   2   1
---
Lernphase
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Trial.Nr" "Shape" "Reaktion" "Reaktionszeit" "Position" "korrekt"
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1   1   0   6 367   6   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1   2   0   5 630   4   0
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1   3   0   5 1026   5   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1   4   0   6 454   6   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1   5   0   2 1022   2   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1   6   0   5 654   5   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1   7   0   6 535   6   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1   8   0   2 631   2   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1   9   0   5 542   5   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  10   0   3 1255   3   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  11   0   4 631   4   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  12   0   2 774   2   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  13   0   3 1511   3   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  14   0   4 671   4   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  15   0   1 638   1   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  16   0   2 592   2   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  17   0   3 647   3   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  18   0   4 535   4   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  19   0   2 686   2   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  20   0   5 1440   5   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  21   0   1 584   1   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  22   0   3 925   3   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  23   0   5 768   5   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  24   0   4 887   4   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  25   0   6 526   6   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  26   0   1 534   1   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  27   0   5 694   5   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  28   0   4 824   4   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  29   0   3 558   3   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  30   0   6 494   6   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  31   0   1 542   1   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  32   0   5 887   4   0
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  33   0   6 827   6   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  34   0   2 959   2   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  35   0   5 1326   5   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  36   0   6 430   6   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  37   0   2 551   2   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  38   0   5 872   5   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  39   0   6 559   6   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  40   0   2 598   2   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  41   0   3 696   3   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  42   0   1 615   1   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  43   0   4 583   4   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  44   0   2 654   2   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  45   0   3 760   3   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  46   0   1 574   1   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  47   0   2 598   2   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  48   0   6 487   6   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  49   0   1 478   1   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  50   0   5 878   4   0
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  51   0   3 1234   3   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  52   0   6 871   6   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  53   0   5 638   5   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  54   0   3 1175   3   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  55   0   4 487   4   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  56   0   2 719   2   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  57   0   1 463   1   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  58   0   4 863   4   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  59   0   2 622   2   1
Pudel10 178   1   1   1  23   1   1   1   1 CHEMIE   1  60   0   1 631   1   1
