Timestamp
OS date: 01/09/15, OS time: 15:09:45
---
Sequenz
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   2
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   3
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   4
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   5
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   6
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   2
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   3
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   4
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   5
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   6
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   2
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   3
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   4
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   5
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   6
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   2
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   3
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   4
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   5
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   6
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   2
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   3
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   4
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   5
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   6
---
instruierte Übergänge
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   2
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   6
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   2
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   5
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1
---
freies.Generieren
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Shape" "Reaktion"
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1   2   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1   2   2
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1   2   4
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1   2   6
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1   2   4
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1   2   6
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1   2   5
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1   2   2
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1   2   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1   2   6
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1   2   2
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1   2   5
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1   2   3
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1   2   4
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1   2   5
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1   2   6
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1   2   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1   2   4
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1   2   2
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1   2   3
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1   2   5
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1   2   6
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1   2   4
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1   2   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1   2   2
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1   2   4
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1   2   5
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1   2   2
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1   2   6
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1   2   5
---
Lernphase
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Trial.Nr" "Shape" "Reaktion" "Reaktionszeit" "Position" "korrekt"
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1   1   0   1 431   1   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1   2   0   6 471   6   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1   3   0   4 879   4   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1   4   0   2 614   2   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1   5   0   3 533   3   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1   6   0   5 559   5   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1   7   0   1 479   1   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1   8   0   3 542   3   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1   9   0   5 557   5   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  10   0   6 456   6   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  11   0   4 493   4   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  12   0   5 558   5   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  13   0   6 438   6   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  14   0   3 613   3   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  15   0   1 503   1   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  16   0   6 454   6   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  17   0   3 519   3   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  18   0   1 471   1   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  19   0   6 407   6   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  20   0   5 446   5   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  21   0   4 383   4   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  22   0   2 629   2   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  23   0   5 727   5   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  24   0   4 568   4   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  25   0   3 789   3   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  26   0   1 463   1   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  27   0   6 463   6   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  28   0   2 551   2   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  29   0   5 470   5   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  30   0   1 526   1   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  31   0   4 895   4   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  32   0   6 670   6   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  33   0   2 815   3   0
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  34   0   1 951   1   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  35   0   5 591   5   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  36   0   2 725   2   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  37   0   6 399   6   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  38   0   1 455   1   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  39   0   5 565   5   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  40   0   2 501   2   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  41   0   6 471   6   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  42   0   1 448   1   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  43   0   3 591   3   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  44   0   6 565   5   0
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  45   0   6 674   6   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  46   0   4 621   4   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  47   0   1 552   1   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  48   0   5 478   5   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  49   0   4 613   4   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  50   0   2 551   2   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  51   0   3 519   3   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  52   0   6 511   6   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  53   0   2 765   2   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  54   0   1 430   1   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  55   0   6 463   6   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  56   0   4 574   4   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  57   0   5 527   5   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  58   0   3 911   3   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  59   0   6 573   6   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  60   0   5 582   5   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  61   0   1 535   1   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  62   0   4 653   4   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  63   0   6 446   6   1
Pudel10  18   1   1   1  21   2   1   1   1 MODERNESJAPAN   1  64   0   5 608   5   1
