Timestamp
OS date: 01/09/15, OS time: 16:17:58
---
Sequenz
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   6
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   2
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   6
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   3
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   6
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   2
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   4
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   2
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   5
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   4
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   3
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   2
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   4
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   5
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   2
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   3
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   4
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   6
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   5
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   3
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   5
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   6
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   4
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   5
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   3
---
instruierte Übergänge
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   2
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   3
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   4
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   2
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   4
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1
---
freies.Generieren
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Shape" "Reaktion"
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1   2   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1   2   2
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1   2   4
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1   2   6
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1   2   5
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1   2   2
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1   2   4
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1   2   3
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1   2   5
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1   2   2
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1   2   6
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1   2   2
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1   2   4
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1   2   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1   2   2
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1   2   5
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1   2   4
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1   2   6
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1   2   2
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1   2   6
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1   2   3
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1   2   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1   2   4
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1   2   2
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1   2   5
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1   2   2
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1   2   4
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1   2   2
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1   2   3
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1   2   4
---
Lernphase
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Trial.Nr" "Shape" "Reaktion" "Reaktionszeit" "Position" "korrekt"
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1   1   0   6 439   6   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1   2   0   3 711   3   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1   3   0   1 455   1   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1   4   0   6 432   6   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1   5   0   2 526   2   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1   6   0   1 375   1   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1   7   0   4 520   4   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1   8   0   2 455   2   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1   9   0   5 423   5   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  10   0   4 575   4   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  11   0   3 567   3   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  12   0   2 375   2   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  13   0   4 614   4   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  14   0   1 415   1   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  15   0   5 520   5   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  16   0   2 598   2   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  17   0   3 383   3   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  18   0   4 505   4   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  19   0   2 599   2   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  20   0   5 663   5   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  21   0   4 471   4   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  22   0   3 392   3   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  23   0   2 415   2   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  24   0   4 519   4   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  25   0   1 447   1   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  26   0   6 431   6   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  27   0   2 550   2   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  28   0   1 455   1   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  29   0   4 544   4   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  30   0   2 503   2   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  31   0   5 614   5   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  32   0   4 576   4   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  33   0   3 447   3   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  34   0   2 359   2   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  35   0   4 463   4   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  36   0   1 527   1   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  37   0   5 505   5   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  38   0   2 560   2   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  39   0   1 407   1   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  40   0   4 398   4   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  41   0   2 488   2   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  42   0   6 463   5   0
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  43   0   4 684   4   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  44   0   3 575   3   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  45   0   2 375   2   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  46   0   4 575   4   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  47   0   1 439   1   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  48   0   5 679   5   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  49   0   2 479   2   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  50   0   3 360   3   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  51   0   4 687   4   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  52   0   6 535   6   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  53   0   5 624   5   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  54   0   1 464   1   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  55   0   3 431   3   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  56   0   5 551   5   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  57   0   6 478   6   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  58   0   4 552   4   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  59   0   5 486   5   1
Pudel10  24   2   1   1  24   2   1   1   1 INFORMATIK   1  60   0   3 576   3   1
