Timestamp
OS date: 01/12/15, OS time: 12:18:27
---
Sequenz
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   5
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   4
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   6
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   3
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   4
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   5
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   6
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   2
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   5
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   3
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   6
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   5
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   4
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   3
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   5
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   2
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   3
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   6
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   3
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   2
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   4
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   2
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   6
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   4
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   2
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1
---
instruierte Übergänge
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   3
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   6
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   3
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   4
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   5
---
freies.Generieren
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Shape" "Reaktion"
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1   2   4
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1   2   5
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1   2   6
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1   2   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1   2   3
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1   2   2
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1   2   4
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1   2   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1   2   3
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1   2   2
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1   2   6
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1   2   4
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1   2   3
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1   2   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1   2   2
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1   2   3
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1   2   6
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1   2   4
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1   2   5
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1   2   2
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1   2   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1   2   4
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1   2   3
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1   2   5
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1   2   2
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1   2   6
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1   2   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1   2   4
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1   2   5
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1   2   6
---
Lernphase
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Trial.Nr" "Shape" "Reaktion" "Reaktionszeit" "Position" "korrekt"
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1   1   0   6 406   6   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1   2   0   2 655   2   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1   3   0   5 556   5   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1   4   0   3 687   3   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1   5   0   1 478   1   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1   6   0   5 509   5   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1   7   0   4 463   4   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1   8   0   3 560   3   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1   9   0   5 574   5   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  10   0   1 462   1   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  11   0   4 623   4   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  12   0   3 637   3   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  13   0   5 479   5   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  14   0   2 493   2   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  15   0   3 479   3   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  16   0   6 493   6   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  17   0   1 510   1   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  18   0   3 479   3   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  19   0   2 479   2   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  20   0   5 510   5   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  21   0   3 462   3   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  22   0   1 495   1   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  23   0   6 462   6   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  24   0   2 621   2   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  25   0   5 621   5   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  26   0   3 832   3   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  27   0   1 476   1   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  28   0   6 463   6   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  29   0   5 462   5   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  30   0   1 527   1   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  31   0   4 494   4   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  32   0   3 446   3   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  33   0   5 414   5   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  34   0   4 448   4   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  35   0   6 412   6   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  36   0   3 494   3   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  37   0   4 463   4   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  38   0   5 463   5   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  39   0   6 396   6   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  40   0   3 526   2   0
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  41   0   5 874   5   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  42   0   3 782   3   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  43   0   1 559   1   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  44   0   6 717   6   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  45   0   5 527   5   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  46   0   3 576   3   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  47   0   6 558   6   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  48   0   1 542   1   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  49   0   3 591   3   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  50   0   2 494   2   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  51   0   4 557   4   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  52   0   1 511   1   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  53   0   2 607   2   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  54   0   6 589   6   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  55   0   4 623   4   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  56   0   2 525   2   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  57   0   1 495   1   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  58   0   5 654   5   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  59   0   4 447   4   1
Pudel10  35   3   1   0  21   1   1   1   1 BIOLOGIE   1  60   0   6 446   6   1
