Timestamp
OS date: 01/13/15, OS time: 09:45:17
---
Sequenz
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   2
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   3
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   4
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   5
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   6
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   2
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   3
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   4
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   5
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   6
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   2
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   3
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   4
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   5
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   6
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   2
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   3
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   4
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   5
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   6
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   2
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   3
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   4
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   5
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   6
---
instruierte Übergänge
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   2
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   4
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   2
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   5
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   6
---
freies.Generieren
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Shape" "Reaktion"
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1   2   3
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1   2   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1   2   2
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1   2   5
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1   2   4
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1   2   6
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1   2   5
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1   2   4
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1   2   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1   2   2
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1   2   4
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1   2   5
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1   2   2
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1   2   6
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1   2   3
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1   2   4
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1   2   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1   2   6
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1   2   2
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1   2   5
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1   2   3
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1   2   4
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1   2   2
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1   2   5
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1   2   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1   2   6
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1   2   3
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1   2   4
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1   2   2
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1   2   1
---
Lernphase
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Trial.Nr" "Shape" "Reaktion" "Reaktionszeit" "Position" "korrekt"
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1   1   0   2 929   3   0
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1   2   0   1 961   1   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1   3   0   6 960   6   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1   4   0   3 1286   3   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1   5   0   4 575   4   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1   6   0   1 853   1   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1   7   0   2 815   2   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1   8   0   6 550   6   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1   9   0   5 446   5   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  10   0   3 719   3   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  11   0   4 517   4   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  12   0   6 463   6   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  13   0   3 751   3   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  14   0   1 446   1   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  15   0   2 518   2   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  16   0   6 485   6   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  17   0   4 494   4   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  18   0   1 454   1   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  19   0   2 520   2   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  20   0   6 463   6   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  21   0   5 439   5   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  22   0   2 751   2   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  23   0   3 437   3   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  24   0   4 431   4   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  25   0   5 352   5   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  26   0   1 637   2   0
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  27   0   3 969   3   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  28   0   1 527   1   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  29   0   5 613   5   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  30   0   2 576   2   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  31   0   1 404   1   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  32   0   3 537   4   0
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  33   0   2 730   2   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  34   0   3 405   3   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  35   0   6 479   6   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  36   0   1 638   1   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  37   0   5 566   5   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  38   0   6 462   6   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  39   0   1 511   1   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  40   0   2 511   2   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  41   0   4 661   4   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  42   0   6 486   6   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  43   0   3 1047   3   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  44   0   4 686   4   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  45   0   6 438   6   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  46   0   5 503   5   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  47   0   4 398   4   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  48   0   6 430   6   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  49   0   2 734   2   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  50   0   3 445   3   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  51   0   1 432   1   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  52   0   2 541   2   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  53   0   6 494   6   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  54   0   3 606   3   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  55   0   1 454   1   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  56   0   6 422   6   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  57   0   3 680   3   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  58   0   4 406   4   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  59   0   1 479   1   1
Pudel10  40   1   2   1  21   1   1   1   1 MEDIZIN   1  60   0   3 495   3   1
