Timestamp
OS date: 01/09/15, OS time: 11:56:53
---
Sequenz
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10   5   2   2   0  21   1   1   1   1 VWL   4
Pudel10   5   2   2   0  21   1   1   1   1 VWL   5
Pudel10   5   2   2   0  21   1   1   1   1 VWL   6
Pudel10   5   2   2   0  21   1   1   1   1 VWL   4
Pudel10   5   2   2   0  21   1   1   1   1 VWL   3
Pudel10   5   2   2   0  21   1   1   1   1 VWL   6
Pudel10   5   2   2   0  21   1   1   1   1 VWL   2
Pudel10   5   2   2   0  21   1   1   1   1 VWL   3
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   2
Pudel10   5   2   2   0  21   1   1   1   1 VWL   4
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   5
Pudel10   5   2   2   0  21   1   1   1   1 VWL   2
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   6
Pudel10   5   2   2   0  21   1   1   1   1 VWL   5
Pudel10   5   2   2   0  21   1   1   1   1 VWL   4
Pudel10   5   2   2   0  21   1   1   1   1 VWL   6
Pudel10   5   2   2   0  21   1   1   1   1 VWL   3
Pudel10   5   2   2   0  21   1   1   1   1 VWL   2
Pudel10   5   2   2   0  21   1   1   1   1 VWL   5
Pudel10   5   2   2   0  21   1   1   1   1 VWL   3
Pudel10   5   2   2   0  21   1   1   1   1 VWL   4
Pudel10   5   2   2   0  21   1   1   1   1 VWL   2
Pudel10   5   2   2   0  21   1   1   1   1 VWL   6
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   3
Pudel10   5   2   2   0  21   1   1   1   1 VWL   5
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1
---
instruierte Übergänge
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10   5   2   2   0  21   1   1   1   1 VWL   2
Pudel10   5   2   2   0  21   1   1   1   1 VWL   3
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   2
Pudel10   5   2   2   0  21   1   1   1   1 VWL   5
Pudel10   5   2   2   0  21   1   1   1   1 VWL   3
---
freies.Generieren
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Shape" "Reaktion"
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1   2   2
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1   2   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1   2   2
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1   2   5
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1   2   4
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1   2   3
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1   2   2
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1   2   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1   2   6
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1   2   5
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1   2   4
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1   2   3
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1   2   2
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1   2   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1   2   6
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1   2   5
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1   2   4
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1   2   3
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1   2   2
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1   2   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1   2   6
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1   2   5
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1   2   4
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1   2   3
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1   2   2
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1   2   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1   2   6
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1   2   5
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1   2   4
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1   2   3
---
Lernphase
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Trial.Nr" "Shape" "Reaktion" "Reaktionszeit" "Position" "korrekt"
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1   1   0   1 521   1   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1   2   0   2 663   2   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1   3   0   5 766   4   0
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1   4   0   1 548   1   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1   5   0   5 615   5   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1   6   0   2 671   2   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1   7   0   5 623   4   0
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1   8   0   1 675   1   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1   9   0   6 575   6   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  10   0   5 711   5   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  11   0   4 696   4   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  12   0   6 598   6   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  13   0   5 536   5   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  14   0   4 560   4   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  15   0   6 527   6   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  16   0   3 855   3   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  17   0   2 568   2   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  18   0   5 599   5   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  19   0   4 543   4   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  20   0   6 487   6   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  21   0   3 735   3   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  22   0   2 680   2   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  23   0   5 686   5   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  24   0   3 904   3   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  25   0   5 598   4   0
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  26   0   2 820   2   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  27   0   5 800   5   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  28   0   3 752   3   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  29   0   4 566   4   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  30   0   2 743   2   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  31   0   6 711   6   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  32   0   1 616   1   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  33   0   4 783   4   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  34   0   5 583   5   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  35   0   6 655   6   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  36   0   2 671   2   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  37   0   1 695   1   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  38   0   6 647   6   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  39   0   4 576   4   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  40   0   3 1342   3   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  41   0   6 632   6   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  42   0   2 791   2   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  43   0   3 656   3   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  44   0   1 575   1   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  45   0   5 695   5   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  46   0   2 774   2   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  47   0   1 617   1   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  48   0   6 703   6   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  49   0   2 744   2   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  50   0   5 903   5   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  51   0   3 647   3   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  52   0   4 703   4   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  53   0   2 727   2   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  54   0   6 591   6   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  55   0   1 503   1   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  56   0   3 791   3   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  57   0   5 527   5   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  58   0   1 591   1   1
Pudel10   5   2   2   0  21   1   1   1   1 VWL   1  59   0   4 615   4   1
