Timestamp
OS date: 01/13/15, OS time: 16:58:17
---
Sequenz
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   2
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   3
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   4
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   5
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   6
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   2
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   3
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   4
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   5
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   6
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   2
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   3
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   4
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   5
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   6
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   2
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   3
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   4
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   5
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   6
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   2
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   3
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   4
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   5
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   6
---
instruierte Übergänge
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   2
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   6
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   5
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   2
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   4
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1
---
freies.Generieren
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Shape" "Reaktion"
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1   2   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1   2   3
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1   2   4
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1   2   5
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1   2   6
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1   2   2
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1   2   6
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1   2   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1   2   3
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1   2   4
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1   2   2
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1   2   5
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1   2   6
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1   2   3
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1   2   6
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1   2   2
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1   2   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1   2   6
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1   2   3
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1   2   4
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1   2   6
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1   2   4
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1   2   3
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1   2   2
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1   2   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1   2   5
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1   2   2
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1   2   6
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1   2   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1   2   4
---
Lernphase
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Trial.Nr" "Shape" "Reaktion" "Reaktionszeit" "Position" "korrekt"
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1   1   0   2 631   2   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1   2   0   5 782   5   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1   3   0   4 750   4   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1   4   0   6 703   6   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1   5   0   3 814   3   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1   6   0   1 862   1   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1   7   0   5 751   5   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1   8   0   4 781   4   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1   9   0   2 768   2   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  10   0   6 830   6   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  11   0   1 813   1   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  12   0   3 782   3   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  13   0   4 798   4   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  14   0   6 671   6   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  15   0   3 767   3   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  16   0   5 781   5   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  17   0   4 798   4   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  18   0   3 798   3   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  19   0   6 719   6   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  20   0   1 799   1   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  21   0   4 1053   4   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  22   0   3 846   3   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  23   0   2 687   2   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  24   0   5 893   5   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  25   0   3 943   3   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  26   0   2 829   2   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  27   0   6 782   6   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  28   0   5 832   5   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  29   0   2 990   2   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  30   0   1 830   1   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  31   0   3 847   3   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  32   0   5 751   5   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  33   0   4 752   4   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  34   0   2 797   2   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  35   0   3 639   3   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  36   0   6 1150   6   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  37   0   4 797   4   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  38   0   3 767   3   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  39   0   2 702   2   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  40   0   6 894   6   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  41   0   1 767   1   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  42   0   4 894   4   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  43   0   3 863   3   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  44   0   5 846   5   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  45   0   6 798   6   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  46   0   1 831   1   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  47   0   2 765   2   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  48   0   3 751   3   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  49   0   6 973   6   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  50   0   4 783   4   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  51   0   3 799   3   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  52   0   1 847   1   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  53   0   6 1054   6   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  54   0   3 1103   3   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  55   0   5 750   5   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  56   0   1 926   1   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  57   0   4 1007   4   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  58   0   6 764   6   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  59   0   5 799   5   1
Pudel10  55   1   2   1  38   2   1   1   1 ALTENPRFLEEGER   1  60   0   2 991   2   1
