Timestamp
OS date: 01/14/15, OS time: 10:13:08
---
Sequenz
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   4
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   2
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   4
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   3
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   6
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   5
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   3
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   2
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   6
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   4
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   5
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   6
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   3
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   4
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   6
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   2
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   3
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   6
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   3
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   5
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   2
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   4
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   5
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   2
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   5
---
instruierte Übergänge
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   3
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   2
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   6
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   3
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   6
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1
---
freies.Generieren
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Shape" "Reaktion"
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1   2   6
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1   2   4
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1   2   5
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1   2   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1   2   3
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1   2   2
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1   2   6
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1   2   4
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1   2   5
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1   2   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1   2   3
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1   2   2
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1   2   6
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1   2   4
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1   2   5
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1   2   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1   2   3
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1   2   2
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1   2   6
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1   2   4
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1   2   5
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1   2   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1   2   3
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1   2   2
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1   2   6
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1   2   4
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1   2   5
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1   2   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1   2   3
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1   2   2
---
Lernphase
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Trial.Nr" "Shape" "Reaktion" "Reaktionszeit" "Position" "korrekt"
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1   1   0   3 771   3   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1   2   0   1 737   1   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1   3   0   6 7245   6   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1   4   0   5 854   5   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1   5   0   2 1677   3   0
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1   6   0   2 2123   2   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1   7   0   6 799   6   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1   8   0   4 2423   4   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1   9   0   1 1478   1   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  10   0   5 1006   5   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  11   0   6 631   6   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  12   0   3 1600   3   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  13   0   4 981   4   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  14   0   6 1423   6   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  15   0   2 1022   2   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  16   0   3 943   3   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  17   0   6 749   6   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  18   0   1 1199   1   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  19   0   3 1406   3   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  20   0   5 838   5   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  21   0   4 728   4   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  22   0   2 764   2   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  23   0   1 735   1   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  24   0   3 1094   3   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  25   0   5 735   5   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  26   0   2 775   2   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  27   0   4 1397   4   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  28   0   5 735   5   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  29   0   1 854   1   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  30   0   6 775   6   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  31   0   5 831   5   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  32   0   3 2342   3   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  33   0   2 742   2   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  34   0   6 646   6   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  35   0   4 2007   4   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  36   0   1 790   1   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  37   0   5 902   5   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  38   0   6 671   6   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  39   0   3 1190   3   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  40   0   4 918   4   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  41   0   6 582   6   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  42   0   2 701   2   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  43   0   3 935   3   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  44   0   6 575   6   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  45   0   1 822   1   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  46   0   3 1109   3   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  47   0   4 616   4   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  48   0   6 510   6   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  49   0   1 703   1   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  50   0   3 854   3   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  51   0   4 647   5   0
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  52   0   2 1322   2   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  53   0   4 1086   4   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  54   0   5 598   5   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  55   0   1 805   1   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  56   0   2 712   2   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  57   0   5 1902   5   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  58   0   4 958   4   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  59   0   2 871   2   1
Pudel10  62   2   1   1  20   1   1   1   1 ANGLISSTIKK   1  60   0   1 1990   1   1
