Timestamp
OS date: 01/14/15, OS time: 10:45:33
---
Sequenz
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10  64   3   1   1  23   1   1   1   2 BWL   5
Pudel10  64   3   1   1  23   1   1   1   2 BWL   3
Pudel10  64   3   1   1  23   1   1   1   2 BWL   4
Pudel10  64   3   1   1  23   1   1   1   2 BWL   2
Pudel10  64   3   1   1  23   1   1   1   2 BWL   6
Pudel10  64   3   1   1  23   1   1   1   2 BWL   4
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   5
Pudel10  64   3   1   1  23   1   1   1   2 BWL   6
Pudel10  64   3   1   1  23   1   1   1   2 BWL   3
Pudel10  64   3   1   1  23   1   1   1   2 BWL   5
Pudel10  64   3   1   1  23   1   1   1   2 BWL   4
Pudel10  64   3   1   1  23   1   1   1   2 BWL   6
Pudel10  64   3   1   1  23   1   1   1   2 BWL   2
Pudel10  64   3   1   1  23   1   1   1   2 BWL   3
Pudel10  64   3   1   1  23   1   1   1   2 BWL   6
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   4
Pudel10  64   3   1   1  23   1   1   1   2 BWL   3
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   6
Pudel10  64   3   1   1  23   1   1   1   2 BWL   5
Pudel10  64   3   1   1  23   1   1   1   2 BWL   2
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   3
Pudel10  64   3   1   1  23   1   1   1   2 BWL   2
Pudel10  64   3   1   1  23   1   1   1   2 BWL   5
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   2
Pudel10  64   3   1   1  23   1   1   1   2 BWL   4
---
instruierte Übergänge
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10  64   3   1   1  23   1   1   1   2 BWL   2
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   3
Pudel10  64   3   1   1  23   1   1   1   2 BWL   2
Pudel10  64   3   1   1  23   1   1   1   2 BWL   4
Pudel10  64   3   1   1  23   1   1   1   2 BWL   5
---
freies.Generieren
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Shape" "Reaktion"
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1   2   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1   2   4
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1   2   5
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1   2   2
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1   2   4
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1   2   6
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1   2   5
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1   2   4
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1   2   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1   2   3
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1   2   4
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1   2   5
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1   2   6
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1   2   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1   2   5
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1   2   3
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1   2   4
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1   2   6
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1   2   5
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1   2   2
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1   2   3
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1   2   5
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1   2   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1   2   4
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1   2   6
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1   2   2
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1   2   3
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1   2   4
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1   2   5
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1   2   1
---
Lernphase
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Trial.Nr" "Shape" "Reaktion" "Reaktionszeit" "Position" "korrekt"
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1   1   0   1 440   1   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1   2   0   2 572   2   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1   3   0   4 654   4   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1   4   0   6 479   6   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1   5   0   2 590   2   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1   6   0   1 527   1   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1   7   0   3 396   3   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1   8   0   2 463   2   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1   9   0   5 526   5   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  10   0   1 480   1   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  11   0   2 397   2   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  12   0   4 527   4   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  13   0   5 526   5   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  14   0   3 654   3   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  15   0   1 480   1   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  16   0   6 476   6   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  17   0   5 527   5   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  18   0   2 574   2   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  19   0   1 495   1   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  20   0   3 558   3   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  21   0   2 463   2   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  22   0   6 621   5   0
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  23   0   1 1036   1   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  24   0   4 1469   4   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  25   0   5 479   5   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  26   0   3 846   3   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  27   0   4 592   4   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  28   0   6 543   6   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  29   0   2 524   2   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  30   0   3 447   3   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  31   0   6 445   6   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  32   0   4 478   4   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  33   0   1 463   1   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  34   0   6 686   5   0
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  35   0   4 1259   4   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  36   0   6 493   6   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  37   0   2 526   2   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  38   0   3 720   3   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  39   0   5 1005   5   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  40   0   4 526   4   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  41   0   6 478   6   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  42   0   2 496   2   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  43   0   3 445   3   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  44   0   6 559   6   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  45   0   1 527   1   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  46   0   4 511   4   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  47   0   2 510   2   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  48   0   6 526   6   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  49   0   4 462   4   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  50   0   1 495   1   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  51   0   5 543   5   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  52   0   6 430   6   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  53   0   3 606   3   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  54   0   2 494   2   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  55   0   4 590   4   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  56   0   5 496   5   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  57   0   3 574   3   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  58   0   1 494   1   1
Pudel10  64   3   1   1  23   1   1   1   2 BWL   1  59   0   6 462   6   1
