Timestamp
OS date: 01/09/15, OS time: 12:12:26
---
Sequenz
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   5
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   2
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   6
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   4
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   5
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   2
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   5
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   6
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   4
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   3
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   2
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   5
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   3
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   6
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   2
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   4
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   3
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   4
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   2
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   3
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   6
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   5
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   4
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   6
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   3
---
instruierte Übergänge
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   2
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   4
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   2
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   5
---
freies.Generieren
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Shape" "Reaktion"
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1   2   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1   2   2
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1   2   4
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1   2   5
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1   2   6
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1   2   2
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1   2   3
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1   2   5
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1   2   4
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1   2   5
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1   2   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1   2   2
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1   2   3
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1   2   4
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1   2   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1   2   3
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1   2   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1   2   2
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1   2   4
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1   2   5
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1   2   2
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1   2   4
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1   2   6
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1   2   5
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1   2   4
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1   2   3
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1   2   2
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1   2   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1   2   2
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1   2   4
---
Lernphase
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Trial.Nr" "Shape" "Reaktion" "Reaktionszeit" "Position" "korrekt"
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1   1   0   1 414   1   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1   2   0   6 470   5   0
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1   3   0   5 547   3   0
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1   4   0   6 506   6   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1   5   0   2 493   2   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1   6   0   5 504   4   0
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1   7   0   1 394   1   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1   8   0   5 525   3   0
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1   9   0   6 1810   4   0
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  10   0   2 867   2   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  11   0   3 1798   3   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  12   0   1 566   1   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  13   0   6 823   6   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  14   0   5 606   5   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  15   0   4 519   4   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  16   0   6 597   6   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  17   0   3 655   3   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  18   0   2 501   2   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  19   0   1 423   1   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  20   0   4 607   4   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  21   0   5 429   5   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  22   0   1 568   1   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  23   0   2 527   2   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  24   0   5 694   5   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  25   0   6 446   6   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  26   0   4 607   4   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  27   0   2 622   2   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  28   0   3 773   3   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  29   0   1 671   1   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  30   0   6 687   6   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  31   0   5 518   5   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  32   0   4 510   4   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  33   0   6 685   6   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  34   0   3 1103   3   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  35   0   1 477   1   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  36   0   6 591   6   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  37   0   5 597   5   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  38   0   4 509   4   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  39   0   6 543   6   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  40   0   1 615   1   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  41   0   4 1741   4   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  42   0   5 526   5   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  43   0   1 526   1   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  44   0   4 702   4   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  45   0   2 567   3   0
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  46   0   1 434   2   0
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  47   0   5 2258   5   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  48   0   6 463   6   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  49   0   4 518   4   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  50   0   3 590   3   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  51   0   2 417   2   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  52   0   1 398   1   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  53   0   5 776   5   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  54   0   3 1197   3   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  55   0   6 800   6   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  56   0   2 677   2   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  57   0   4 942   4   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  58   0   6 798   6   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  59   0   3 1158   3   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  60   0   5 647   5   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  61   0   2 1494   2   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  62   0   6 846   6   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  63   0   1 1191   1   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  64   0   3 911   3   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  65   0   4 605   4   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  66   0   2 606   2   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  67   0   3 631   3   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  68   0   1 613   1   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  69   0   6 765   6   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  70   0   5 975   5   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  71   0   4 494   4   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  72   0   6 542   6   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  73   0   5 503   5   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  74   0   4 503   4   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  75   0   6 503   6   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  76   0   3 798   3   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  77   0   5 535   5   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  78   0   2 742   2   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  79   0   6 718   6   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  80   0   1 574   1   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  81   0   4 974   4   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  82   0   5 494   5   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  83   0   1 552   1   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  84   0   2 495   2   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  85   0   5 822   5   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  86   0   6 504   6   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  87   0   4 541   4   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  88   0   3 494   3   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  89   0   2 527   2   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  90   0   1 477   1   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  91   0   5 735   5   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  92   0   3 838   3   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  93   0   6 590   6   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  94   0   2 573   2   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  95   0   5 758   4   0
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  96   0   1 603   1   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  97   0   3 629   3   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  98   0   4 520   4   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1  99   0   2 581   2   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1 100   0   3 590   3   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1 101   0   1 495   1   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1 102   0   6 575   6   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1 103   0   5 542   5   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1 104   0   1 645   1   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1 105   0   2 511   2   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1 106   0   5 790   5   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1 107   0   6 564   6   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1 108   0   4 1070   4   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1 109   0   3 559   3   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1 110   0   2 600   2   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1 111   0   1 414   1   1
Pudel10   7   2   1   0  23   1   1   1   1 GESCHICHTE   1 112   0   5 830   5   1
