Timestamp
OS date: 01/14/15, OS time: 12:24:49
---
Sequenz
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   5
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   2
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   4
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   6
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   5
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   3
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   6
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   4
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   3
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   2
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   4
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   5
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   3
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   6
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   2
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   3
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   4
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   2
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   5
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   4
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   5
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   6
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   2
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   6
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   3
---
instruierte Übergänge
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   2
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   6
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   6
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   4
---
freies.Generieren
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Shape" "Reaktion"
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1   2   6
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1   2   5
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1   2   2
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1   2   4
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1   2   3
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1   2   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1   2   6
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1   2   5
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1   2   2
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1   2   4
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1   2   3
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1   2   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1   2   6
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1   2   5
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1   2   4
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1   2   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1   2   3
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1   2   2
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1   2   5
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1   2   6
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1   2   5
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1   2   4
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1   2   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1   2   5
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1   2   6
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1   2   3
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1   2   6
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1   2   2
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1   2   4
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1   2   1
---
Lernphase
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Trial.Nr" "Shape" "Reaktion" "Reaktionszeit" "Position" "korrekt"
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1   1   0   1 447   1   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1   2   0   5 829   4   0
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1   3   0   5 803   5   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1   4   0   1 566   1   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1   5   0   2 568   2   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1   6   0   6 486   6   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1   7   0   3 663   3   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1   8   0   5 535   5   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1   9   0   4 510   4   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  10   0   1 478   1   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  11   0   5 502   5   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  12   0   6 350   6   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  13   0   1 503   1   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  14   0   2 493   2   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  15   0   6 471   6   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  16   0   3 597   3   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  17   0   5 534   5   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  18   0   2 575   2   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  19   0   4 558   4   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  20   0   6 446   6   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  21   0   5 520   5   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  22   0   3 765   3   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  23   0   4 656   4   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  24   0   2 543   2   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  25   0   5 517   5   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  26   0   6 390   6   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  27   0   1 383   1   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  28   0   2 510   2   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  29   0   6 551   6   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  30   0   3 733   3   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  31   0   5 551   5   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  32   0   2 702   2   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  33   0   4 630   4   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  34   0   6 510   6   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  35   0   5 502   5   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  36   0   3 717   3   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  37   0   1 431   1   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  38   0   6 477   6   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  39   0   4 551   4   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  40   0   3 774   3   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  41   0   2 510   2   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  42   0   1 342   1   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  43   0   4 639   4   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  44   0   5 375   5   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  45   0   1 623   1   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  46   0   3 437   3   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  47   0   6 511   6   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  48   0   2 502   2   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  49   0   3 518   3   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  50   0   4 469   4   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  51   0   2 534   2   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  52   0   5 480   5   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  53   0   4 468   4   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  54   0   1 479   1   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  55   0   5 557   5   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  56   0   6 366   6   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  57   0   2 544   2   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  58   0   3 429   3   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  59   0   4 384   4   1
Pudel10  72   2   1   1  21   2   1   1   1 BIOLOG8IE   1  60   0   2 525   2   1
