Timestamp
OS date: 01/14/15, OS time: 16:11:44
---
Sequenz
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   2
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   6
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   4
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   5
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   6
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   2
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   5
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   4
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   3
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   5
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   6
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   3
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   4
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   2
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   3
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   6
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   5
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   2
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   4
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   2
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   5
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   3
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   4
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   6
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   3
---
instruierte Übergänge
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   4
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   5
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   6
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   4
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   3
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   5
---
freies.Generieren
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Shape" "Reaktion"
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1   2   6
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1   2   5
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1   2   4
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1   2   3
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1   2   5
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1   2   2
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1   2   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1   2   6
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1   2   5
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1   2   4
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1   2   3
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1   2   5
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1   2   6
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1   2   5
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1   2   4
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1   2   2
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1   2   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1   2   2
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1   2   3
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1   2   4
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1   2   5
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1   2   6
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1   2   2
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1   2   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1   2   2
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1   2   3
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1   2   4
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1   2   2
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1   2   6
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1   2   5
---
Lernphase
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Trial.Nr" "Shape" "Reaktion" "Reaktionszeit" "Position" "korrekt"
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1   1   0   5 654   5   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1   2   0   6 574   6   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1   3   0   1 527   1   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1   4   0   3 733   3   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1   5   0   2 446   2   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1   6   0   6 486   6   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1   7   0   4 1029   4   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1   8   0   5 807   5   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1   9   0   6 453   6   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  10   0   2 705   2   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  11   0   1 414   1   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  12   0   5 917   5   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  13   0   4 798   4   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  14   0   3 581   3   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  15   0   5 671   5   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  16   0   1 631   1   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  17   0   6 591   6   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  18   0   3 1398   3   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  19   0   4 1014   4   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  20   0   5 517   5   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  21   0   6 671   6   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  22   0   2 663   2   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  23   0   3 431   3   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  24   0   6 493   6   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  25   0   5 695   5   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  26   0   2 733   2   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  27   0   4 1159   4   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  28   0   1 677   1   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  29   0   2 791   2   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  30   0   5 824   5   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  31   0   3 845   3   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  32   0   1 615   1   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  33   0   4 1103   4   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  34   0   6 807   6   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  35   0   1 812   1   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  36   0   3 751   3   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  37   0   2 503   2   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  38   0   6 541   6   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  39   0   4 790   4   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  40   0   5 512   5   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  41   0   6 413   6   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  42   0   2 558   2   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  43   0   4 791   4   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  44   0   1 845   1   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  45   0   2 685   2   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  46   0   5 847   5   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  47   0   3 736   3   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  48   0   2 494   2   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  49   0   6 581   6   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  50   0   4 703   4   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  51   0   5 463   5   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  52   0   6 541   6   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  53   0   2 632   2   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  54   0   5 1078   5   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  55   0   2 750   3   0
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  56   0   1 946   1   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  57   0   4 2317   4   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  58   0   5 656   5   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  59   0   3 741   3   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  60   0   1 469   1   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  61   0   4 679   4   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  62   0   3 847   3   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  63   0   5 574   5   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  64   0   1 525   1   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  65   0   6 799   6   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  66   0   3 968   3   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  67   0   4 1485   4   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  68   0   1 759   1   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  69   0   2 726   2   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  70   0   5 1141   5   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  71   0   1 495   1   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  72   0   6 486   6   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  73   0   3 926   3   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  74   0   4 1239   4   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  75   0   2 863   2   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  76   0   3 575   3   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  77   0   6 470   6   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  78   0   5 470   5   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  79   0   2 671   2   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  80   0   4 654   4   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  81   0   1 429   1   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  82   0   2 479   2   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  83   0   5 526   5   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  84   0   3 558   3   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  85   0   1 1037   1   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  86   0   4 1239   4   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  87   0   6 478   6   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  88   0   2 647   2   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  89   0   1 486   1   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  90   0   5 639   5   1
Pudel10  81   3   2   0  20   1   1   1   1 GERMANISTIKK   1  91   0   4 616   4   1
