Timestamp
OS date: 01/14/15, OS time: 17:34:46
---
Sequenz
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   4
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   2
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   3
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   5
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   6
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   4
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   5
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   6
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   2
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   5
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   3
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   4
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   6
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   3
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   2
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   6
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   5
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   4
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   2
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   3
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   6
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   5
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   2
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   4
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   3
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1
---
instruierte Übergänge
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   6
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   5
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   6
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   3
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   2
---
freies.Generieren
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Shape" "Reaktion"
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1   2   2
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1   2   5
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1   2   6
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1   2   4
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1   2   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1   2   2
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1   2   3
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1   2   5
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1   2   6
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1   2   4
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1   2   2
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1   2   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1   2   2
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1   2   5
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1   2   6
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1   2   4
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1   2   2
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1   2   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1   2   2
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1   2   3
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1   2   6
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1   2   5
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1   2   4
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1   2   3
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1   2   2
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1   2   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1   2   2
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1   2   3
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1   2   5
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1   2   6
---
Lernphase
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Trial.Nr" "Shape" "Reaktion" "Reaktionszeit" "Position" "korrekt"
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1   1   0   6 479   6   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1   2   0   3 878   3   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1   3   0   2 510   2   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1   4   0   6 470   6   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1   5   0   5 544   5   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1   6   0   4 437   4   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1   7   0   1 440   1   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1   8   0   2 413   2   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1   9   0   3 437   3   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  10   0   4 406   4   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  11   0   2 462   2   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  12   0   1 407   1   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  13   0   3 664   3   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  14   0   6 453   6   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  15   0   1 582   1   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  16   0   5 647   5   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  17   0   2 495   2   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  18   0   5 575   4   0
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  19   0   3 849   3   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  20   0   1 479   1   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  21   0   4 647   4   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  22   0   2 551   2   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  23   0   1 510   1   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  24   0   3 463   3   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  25   0   5 430   5   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  26   0   6 381   6   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  27   0   4 414   4   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  28   0   5 471   5   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  29   0   1 471   1   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  30   0   6 501   6   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  31   0   5 535   5   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  32   0   4 438   4   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  33   0   1 391   1   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  34   0   6 405   6   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  35   0   2 526   2   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  36   0   3 405   3   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  37   0   6 646   6   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  38   0   1 486   1   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  39   0   5 895   5   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  40   0   2 615   2   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  41   0   4 694   4   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  42   0   3 480   3   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  43   0   1 454   1   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  44   0   5 422   4   0
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  45   0   2 723   2   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  46   0   1 572   1   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  47   0   3 551   3   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  48   0   5 542   5   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  49   0   6 455   6   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  50   0   4 784   4   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  51   0   3 653   3   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  52   0   1 431   1   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  53   0   4 654   4   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  54   0   2 566   2   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  55   0   1 551   1   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  56   0   3 470   3   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  57   0   5 526   5   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  58   0   6 342   6   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  59   0   4 430   4   1
Pudel10  88   2   1   0  19   2   1   1   1 PHILOSOPHIE   1  60   0   5 599   5   1
