Sequenz
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   4
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   2
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   3
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   5
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   1
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   6
---
freies.Generieren
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Reaktion"
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   4
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   6
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   1
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   2
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   4
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   5
---
Lernphase
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Trial.Nr" "Reaktion" "Reaktionszeit" "Position" "korrekt"
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   1   1   6 798   6   1
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   1   2   5 682   5   1
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   1   3   4 672   4   1
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   1   4   5  41   1   0
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   1   5   2 774   2   1
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   1   6   3 638   3   1
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   1   7   5 676   5   1
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   1   8   2 660   2   1
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   1   9   3 822   3   1
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   1  10   4 765   4   1
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   1  11   1 649   1   1
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   1  12   6 700   6   1
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   1  13   4 764   4   1
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   1  14   3 630   2   0
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   1  15   3 768   3   1
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   1  16   5 709   5   1
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   1  17   1 705   1   1
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   1  18   6 698   6   1
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   1  19   4 832   4   1
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   1  20   2 802   2   1
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   1  21   3 859   3   1
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   1  22   5 716   5   1
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   1  23   1 644   1   1
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   1  24   6 675   6   1
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   1  25   4 715   4   1
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   1  26   2 817   2   1
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   1  27   6 604   6   1
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   1  28   3 793   3   1
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   1  29   1 677   1   1
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   1  30   5 854   5   1
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   1  31   3 670   3   1
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   1  32   6 729   6   1
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   1  33   4 745   4   1
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   1  34   2 773   2   1
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   1  35   5 791   5   1
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   1  36   1 785   1   1
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   1  37   4 722   4   1
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   1  38   3 726   3   1
Pudel5 109   1   2   2  20   1   1   1   1 CHINESISCH   1  39   2 648   2   1
