Sequenz
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   4
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   5
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   3
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   6
---
freies.Generieren
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Reaktion"
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   4
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   6
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   5
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   3
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2
---
Lernphase
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Trial.Nr" "Reaktion" "Reaktionszeit" "Position" "korrekt"
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1   1   4 1107   4   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1   2   1 916   1   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1   3   2 817   2   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1   4   5 1081   5   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1   5   1 784   1   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1   6   4 946   4   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1   7   5 831   5   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1   8   6 617   6   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1   9   1 726   1   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  10   5 766   5   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  11   3 916   3   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  12   1 727   1   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  13   6 743   6   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  14   3 1106   3   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  15   4 990   4   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  16   5 711   5   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  17   2 951   2   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  18   6 746   6   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  19   1 699   1   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  20   2 766   2   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  21   5 848   5   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  22   5 728   4   0
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  23   4  34   1   0
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  24   6 808   6   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  25   3 1017   3   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  26   2 864   2   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  27   4 1025   4   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  28   1 695   1   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  29   3 882   3   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  30   5 803   5   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  31   1 706   1   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  32   3 949   3   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  33   4 690   4   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  34   2 939   2   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  35   3 860   3   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  36   6 772   6   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  37   4 836   4   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  38   1 717   1   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  39   2 803   2   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  40   5 933   5   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  41   1 732   1   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  42   4 810   4   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  43   5 708   5   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  44   2 899   2   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  45   3 733   3   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  46   5 789   5   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  47   4 563   4   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  48   6 625   6   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  49   3 848   3   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  50   5 712   5   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  51   2 791   2   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  52   6 815   6   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  53   5 722   5   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  54   1 678   1   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  55   6 797   6   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  56   4 796   4   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  57   2 780   2   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  58   3 770   3   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  59   6 688   6   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  60   1 697   1   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  61   3 744   3   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  62   5 1187   5   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  63   1 627   1   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  64   4 871   4   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  65   6 671   6   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  66   2 829   2   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  67   1 714   1   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  68   5 965   5   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  69   3 904   3   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  70   2 741   2   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  71   6 669   6   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  72   5 812   5   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  73   4 653   3   0
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  74   1 1162   1   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  75   4 871   4   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  76   3 988   3   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  77   6 1030   6   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  78   2 826   2   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  79   3 734   3   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  80   6 747   6   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  81   5 710   5   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  82   3 893   3   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  83   4 917   4   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  84   1 911   1   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  85   3 803   3   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  86   2 776   2   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  87   4 883   4   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  88   3 988   3   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  89   2 739   2   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  90   4 725   4   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  91   6 691   6   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  92   3 939   3   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  93   4 759   4   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  94   2 765   2   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  95   1 706   1   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  96   4 862   4   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  97   5 787   5   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  98   6 660   6   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1  99   1 708   1   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1 100   3 703   3   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1 101   6 661   6   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1 102   5 690   5   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1 103   3 730   3   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1 104   2 694   2   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1 105   1 707   1   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1 106   5 993   5   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1 107   2 657   2   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1 108   1 776   1   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1 109   4 678   4   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1 110   6 657   6   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1 111   1 603   1   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1 112   4 701   4   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1 113   3 933   3   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1 114   5 822   5   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1 115   4 708   4   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1 116   1 674   1   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1 117   5 777   5   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1 118   3 628   4   0
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1 119   6 727   6   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1 120   2 924   2   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1 121   1 702   1   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1 122   3 915   3   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1 123   4 735   4   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1 124   5 699   5   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1 125   6 620   6   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1 126   1 596   1   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1 127   5 645   5   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1 128   6 714   6   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1 129   3 798   3   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1 130   5 630   4   0
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1 131   1 868   1   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1 132   5 775   5   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1 133   4 764   4   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1 134   3 742   3   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1 135   5 699   5   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1 136   1 714   1   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1 137   4 749   4   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1 138   6 704   6   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1 139   3 736   3   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1 140   4 762   4   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1 141   6 648   6   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1 142   3 673   3   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1 143   2 928   2   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   1 144   4 733   4   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2   1   4 751   4   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2   2   5 608   5   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2   3   1 594   1   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2   4   4 661   4   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2   5   6 590   6   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2   6   2 685   2   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2   7   1 648   1   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2   8   5 660   5   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2   9   4 754   3   0
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2  10   3  11   2   0
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2  11   6 665   6   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2  12   4 867   4   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2  13   3 689   3   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2  14   1 686   1   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2  15   5 748   5   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2  16   2 722   2   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2  17   2 844   3   0
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2  18   5 727   5   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2  19   4 676   4   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2  20   1 681   1   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2  21   3 783   3   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2  22   6 570   6   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2  23   2 781   2   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2  24   5 793   5   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2  25   6 710   6   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2  26   4 786   4   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2  27   1 627   1   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2  28   3 591   3   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2  29   1 650   2   0
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2  30   6 622   6   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2  31   3 981   3   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2  32   1 693   1   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2  33   5 894   4   0
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2  34   6 651   6   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2  35   5 679   5   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2  36   4 566   4   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2  37   1 695   1   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2  38   2 709   2   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2  39   5 777   5   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2  40   6 682   6   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2  41   1 649   1   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2  42   5 844   5   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2  43   2 1088   2   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2  44   6 670   6   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2  45   1 772   1   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2  46   2 793   2   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2  47   3 786   3   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2  48   5 714   5   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2  49   4 643   4   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2  50   2 809   2   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2  51   6 728   6   1
Pudel5  56   3   2   1  22   1   1   1   1 LEHRAMT   2  52   5 897   5   1
