Sequenz
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel5  94   1   2   2  24   1   1   1   1 LEHRAMTT   3
Pudel5  94   1   2   2  24   1   1   1   1 LEHRAMTT   2
Pudel5  94   1   2   2  24   1   1   1   1 LEHRAMTT   6
Pudel5  94   1   2   2  24   1   1   1   1 LEHRAMTT   4
Pudel5  94   1   2   2  24   1   1   1   1 LEHRAMTT   5
Pudel5  94   1   2   2  24   1   1   1   1 LEHRAMTT   1
---
freies.Generieren
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Reaktion"
Pudel5  94   1   2   2  24   1   1   1   1 LEHRAMTT   1
Pudel5  94   1   2   2  24   1   1   1   1 LEHRAMTT   3
Pudel5  94   1   2   2  24   1   1   1   1 LEHRAMTT   2
Pudel5  94   1   2   2  24   1   1   1   1 LEHRAMTT   6
Pudel5  94   1   2   2  24   1   1   1   1 LEHRAMTT   4
Pudel5  94   1   2   2  24   1   1   1   1 LEHRAMTT   5
---
Lernphase
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Trial.Nr" "Reaktion" "Reaktionszeit" "Position" "korrekt"
Pudel5  94   1   2   2  24   1   1   1   1 LEHRAMTT   1   1   4 887   4   1
Pudel5  94   1   2   2  24   1   1   1   1 LEHRAMTT   1   2   6 817   6   1
Pudel5  94   1   2   2  24   1   1   1   1 LEHRAMTT   1   3   3 1261   3   1
Pudel5  94   1   2   2  24   1   1   1   1 LEHRAMTT   1   4   2 829   2   1
Pudel5  94   1   2   2  24   1   1   1   1 LEHRAMTT   1   5   1 818   1   1
Pudel5  94   1   2   2  24   1   1   1   1 LEHRAMTT   1   6   5 807   5   1
Pudel5  94   1   2   2  24   1   1   1   1 LEHRAMTT   1   7   3 1083   3   1
Pudel5  94   1   2   2  24   1   1   1   1 LEHRAMTT   1   8   4 928   4   1
Pudel5  94   1   2   2  24   1   1   1   1 LEHRAMTT   1   9   1 870   1   1
Pudel5  94   1   2   2  24   1   1   1   1 LEHRAMTT   1  10   5 832   5   1
Pudel5  94   1   2   2  24   1   1   1   1 LEHRAMTT   1  11   2 1237   2   1
Pudel5  94   1   2   2  24   1   1   1   1 LEHRAMTT   1  12   3  96   6   0
Pudel5  94   1   2   2  24   1   1   1   1 LEHRAMTT   1  13   4 1510   4   1
Pudel5  94   1   2   2  24   1   1   1   1 LEHRAMTT   1  14   5 778   5   1
Pudel5  94   1   2   2  24   1   1   1   1 LEHRAMTT   1  15   1 698   1   1
Pudel5  94   1   2   2  24   1   1   1   1 LEHRAMTT   1  16   3 732   3   1
Pudel5  94   1   2   2  24   1   1   1   1 LEHRAMTT   1  17   2 683   2   1
Pudel5  94   1   2   2  24   1   1   1   1 LEHRAMTT   1  18   6 665   6   1
Pudel5  94   1   2   2  24   1   1   1   1 LEHRAMTT   1  19   4 576   4   1
Pudel5  94   1   2   2  24   1   1   1   1 LEHRAMTT   1  20   5 602   5   1
Pudel5  94   1   2   2  24   1   1   1   1 LEHRAMTT   1  21   1 1107   1   1
Pudel5  94   1   2   2  24   1   1   1   1 LEHRAMTT   1  22   3 790   3   1
