Sequenz
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   2
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   6
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   5
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   3
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   4
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1
---
freies.Generieren
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Reaktion"
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   4
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   2
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   3
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   4
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   6
---
Lernphase
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Trial.Nr" "Reaktion" "Reaktionszeit" "Position" "korrekt"
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1   1   2 975   2   1
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1   2   3 804   3   1
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1   3   5 906   5   1
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1   4   2 879   2   1
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1   5   1 785   1   1
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1   6   2 740   3   0
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1   7   1 888   1   1
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1   8   5 800   5   1
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1   9   3 895   3   1
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1  10   1 770   1   1
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1  11   2 774   2   1
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1  12   4 1128   4   1
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1  13   3 1173   3   1
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1  14   1 713   1   1
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1  15   3 782   3   1
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1  16   4 871   4   1
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1  17   5 633   5   1
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1  18   6 637   6   1
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1  19   5 748   5   1
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1  20   3 838   3   1
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1  21   5 904   4   0
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1  22   5   1   3   0
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1  23   5 939   5   1
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1  24   1 727   1   1
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1  25   2 733   2   1
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1  26   1 702   1   1
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1  27   6 746   6   1
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1  28   2 827   2   1
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1  29   1 749   1   1
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1  30   5 1224   4   0
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1  31   5 1026   5   1
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1  32   6 790   6   1
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1  33   4 757   4   1
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1  34   2 784   2   1
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1  35   1 685   1   1
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1  36   6 709   6   1
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1  37   1 683   1   1
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1  38   5 874   5   1
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1  39   3 1811   3   1
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1  40   2 877   2   1
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1  41   3 864   3   1
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1  42   1 773   1   1
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1  43   4 873   4   1
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1  44   1 680   1   1
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1  45   4 851   4   1
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1  46   5 735   5   1
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1  47   6 637   6   1
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1  48   2 699   2   1
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1  49   4 943   4   1
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1  50   5 652   5   1
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1  51   3 812   3   1
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1  52   2 676   2   1
Pudel7 113   1   1   0  26   2   1   1   1 SONDERPDADEDAGOGIK   1  53   2 222   5   0
