Sequenz
"Exp.Name" "Vp.Nr" "RF_Material" "RF_Shape" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position" "Shape" 
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   2   1
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   6   1
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   5   1
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   3   1
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   4   1
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   1
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   3   2
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   6   2
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   2   2
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   4   2
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   5   2
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   2
---
freies.Generieren
"Exp.Name" "Vp.Nr" "RF_Material" "RF_Shape" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Shape" "Reaktion"
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   1   2
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   1   6
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   1   3
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   1   4
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   1   1
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   1   6
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   2   2   2
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   2   2   5
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   2   2   1
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   2   2   6
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   2   2   3
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   2   2   2
---
Lernphase
"Exp.Name" "Vp.Nr" "RF_Material" "RF_Shape" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Trial.Nr" "Shape" "Reaktion" "Reaktionszeit" "Position" "korrekt"
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   1   1   5 1433   5   1
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   2   1   6 808   6   1
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   3   1   3 965   3   1
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   4   1   2 689   2   1
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   5   1   6 671   6   1
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   6   1   5 673   5   1
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   7   1   2 681   3   0
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   8   1   2 872   2   1
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   9   1   6 711   6   1
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  10   1   5 733   5   1
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  11   1   4 633   4   1
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  12   1   2 771   2   1
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  13   1   6 692   6   1
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  14   1   5 684   5   1
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  15   1   3 831   3   1
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  16   1   4 915   4   1
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  17   1   6 669   6   1
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  18   1   3 723   3   1
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  19   1   4 678   4   1
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  20   1   2 758   2   1
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  21   1   5 689   5   1
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  22   1   3 947   3   1
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  23   1   4 740   4   1
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  24   1   6 716   6   1
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  25   1   2 701   2   1
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  26   1   6 744   6   1
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  27   1   2 708   2   1
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  28   1   6 658   6   1
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  29   1   4 748   4   1
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  30   1   1 983   1   1
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  31   1   5 1038   5   1
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  32   1   3 889   3   1
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  33   1   1 653   1   1
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  34   1   6 646   6   1
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  35   1   5 672   5   1
Pudel8 103   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  36   1   3 687   3   1
