Sequenz
"Exp.Name" "Vp.Nr" "RF_Material" "RF_Shape" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position" "Shape" 
Pudel8 110   1   2   1  20   1   1   1   1 PSYCHOLOGIESTUDENTIN   3   1
Pudel8 110   1   2   1  20   1   1   1   1 PSYCHOLOGIESTUDENTIN   6   1
Pudel8 110   1   2   1  20   1   1   1   1 PSYCHOLOGIESTUDENTIN   2   1
Pudel8 110   1   2   1  20   1   1   1   1 PSYCHOLOGIESTUDENTIN   4   1
Pudel8 110   1   2   1  20   1   1   1   1 PSYCHOLOGIESTUDENTIN   5   1
Pudel8 110   1   2   1  20   1   1   1   1 PSYCHOLOGIESTUDENTIN   1   1
Pudel8 110   1   2   1  20   1   1   1   1 PSYCHOLOGIESTUDENTIN   2   2
Pudel8 110   1   2   1  20   1   1   1   1 PSYCHOLOGIESTUDENTIN   6   2
Pudel8 110   1   2   1  20   1   1   1   1 PSYCHOLOGIESTUDENTIN   5   2
Pudel8 110   1   2   1  20   1   1   1   1 PSYCHOLOGIESTUDENTIN   3   2
Pudel8 110   1   2   1  20   1   1   1   1 PSYCHOLOGIESTUDENTIN   4   2
Pudel8 110   1   2   1  20   1   1   1   1 PSYCHOLOGIESTUDENTIN   1   2
---
freies.Generieren
"Exp.Name" "Vp.Nr" "RF_Material" "RF_Shape" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Shape" "Reaktion"
Pudel8 110   1   2   1  20   1   1   1   1 PSYCHOLOGIESTUDENTIN   1   2   3
Pudel8 110   1   2   1  20   1   1   1   1 PSYCHOLOGIESTUDENTIN   1   2   1
Pudel8 110   1   2   1  20   1   1   1   1 PSYCHOLOGIESTUDENTIN   1   2   2
Pudel8 110   1   2   1  20   1   1   1   1 PSYCHOLOGIESTUDENTIN   1   2   5
Pudel8 110   1   2   1  20   1   1   1   1 PSYCHOLOGIESTUDENTIN   1   2   6
Pudel8 110   1   2   1  20   1   1   1   1 PSYCHOLOGIESTUDENTIN   1   2   4
Pudel8 110   1   2   1  20   1   1   1   1 PSYCHOLOGIESTUDENTIN   2   1   2
Pudel8 110   1   2   1  20   1   1   1   1 PSYCHOLOGIESTUDENTIN   2   1   1
Pudel8 110   1   2   1  20   1   1   1   1 PSYCHOLOGIESTUDENTIN   2   1   3
Pudel8 110   1   2   1  20   1   1   1   1 PSYCHOLOGIESTUDENTIN   2   1   4
Pudel8 110   1   2   1  20   1   1   1   1 PSYCHOLOGIESTUDENTIN   2   1   5
Pudel8 110   1   2   1  20   1   1   1   1 PSYCHOLOGIESTUDENTIN   2   1   6
---
Lernphase
"Exp.Name" "Vp.Nr" "RF_Material" "RF_Shape" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Trial.Nr" "Shape" "Reaktion" "Reaktionszeit" "Position" "korrekt"
Pudel8 110   1   2   1  20   1   1   1   1 PSYCHOLOGIESTUDENTIN   1   1   2   2 811   2   1
Pudel8 110   1   2   1  20   1   1   1   1 PSYCHOLOGIESTUDENTIN   1   2   2   3 711   3   1
Pudel8 110   1   2   1  20   1   1   1   1 PSYCHOLOGIESTUDENTIN   1   3   2   1 618   1   1
Pudel8 110   1   2   1  20   1   1   1   1 PSYCHOLOGIESTUDENTIN   1   4   2   5 666   4   0
Pudel8 110   1   2   1  20   1   1   1   1 PSYCHOLOGIESTUDENTIN   1   5   2   3 1279   3   1
Pudel8 110   1   2   1  20   1   1   1   1 PSYCHOLOGIESTUDENTIN   1   6   2   4 853   4   1
Pudel8 110   1   2   1  20   1   1   1   1 PSYCHOLOGIESTUDENTIN   1   7   2   1 729   1   1
Pudel8 110   1   2   1  20   1   1   1   1 PSYCHOLOGIESTUDENTIN   1   8   2   3 753   3   1
Pudel8 110   1   2   1  20   1   1   1   1 PSYCHOLOGIESTUDENTIN   1   9   2   6 705   6   1
Pudel8 110   1   2   1  20   1   1   1   1 PSYCHOLOGIESTUDENTIN   1  10   2   5 780   5   1
Pudel8 110   1   2   1  20   1   1   1   1 PSYCHOLOGIESTUDENTIN   1  11   2   3 922   3   1
Pudel8 110   1   2   1  20   1   1   1   1 PSYCHOLOGIESTUDENTIN   1  12   2   5 695   4   0
Pudel8 110   1   2   1  20   1   1   1   1 PSYCHOLOGIESTUDENTIN   1  13   2   3 917   3   1
Pudel8 110   1   2   1  20   1   1   1   1 PSYCHOLOGIESTUDENTIN   1  14   2   6 682   6   1
Pudel8 110   1   2   1  20   1   1   1   1 PSYCHOLOGIESTUDENTIN   1  15   2   2 833   2   1
Pudel8 110   1   2   1  20   1   1   1   1 PSYCHOLOGIESTUDENTIN   1  16   2   6 691   6   1
Pudel8 110   1   2   1  20   1   1   1   1 PSYCHOLOGIESTUDENTIN   1  17   2   4 820   4   1
Pudel8 110   1   2   1  20   1   1   1   1 PSYCHOLOGIESTUDENTIN   1  18   2   1 687   1   1
Pudel8 110   1   2   1  20   1   1   1   1 PSYCHOLOGIESTUDENTIN   1  19   2   3 672   3   1
Pudel8 110   1   2   1  20   1   1   1   1 PSYCHOLOGIESTUDENTIN   1  20   2   1 671   1   1
Pudel8 110   1   2   1  20   1   1   1   1 PSYCHOLOGIESTUDENTIN   1  21   2   2 845   2   1
Pudel8 110   1   2   1  20   1   1   1   1 PSYCHOLOGIESTUDENTIN   1  22   2   6 659   6   1
Pudel8 110   1   2   1  20   1   1   1   1 PSYCHOLOGIESTUDENTIN   1  23   2   5 794   5   1
Pudel8 110   1   2   1  20   1   1   1   1 PSYCHOLOGIESTUDENTIN   1  24   2   2 798   2   1
Pudel8 110   1   2   1  20   1   1   1   1 PSYCHOLOGIESTUDENTIN   1  25   2   6 679   6   1
