Sequenz
"Exp.Name" "Vp.Nr" "RF_Material" "RF_Shape" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position" "Shape" 
Pudel8  37   2   1   1  23   1   1   1   1 PSCHOLOGIE   3   1
Pudel8  37   2   1   1  23   1   1   1   1 PSCHOLOGIE   6   1
Pudel8  37   2   1   1  23   1   1   1   1 PSCHOLOGIE   2   1
Pudel8  37   2   1   1  23   1   1   1   1 PSCHOLOGIE   4   1
Pudel8  37   2   1   1  23   1   1   1   1 PSCHOLOGIE   5   1
Pudel8  37   2   1   1  23   1   1   1   1 PSCHOLOGIE   1   1
Pudel8  37   2   1   1  23   1   1   1   1 PSCHOLOGIE   2   2
Pudel8  37   2   1   1  23   1   1   1   1 PSCHOLOGIE   6   2
Pudel8  37   2   1   1  23   1   1   1   1 PSCHOLOGIE   5   2
Pudel8  37   2   1   1  23   1   1   1   1 PSCHOLOGIE   3   2
Pudel8  37   2   1   1  23   1   1   1   1 PSCHOLOGIE   4   2
Pudel8  37   2   1   1  23   1   1   1   1 PSCHOLOGIE   1   2
---
freies.Generieren
"Exp.Name" "Vp.Nr" "RF_Material" "RF_Shape" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Shape" "Reaktion"
Pudel8  37   2   1   1  23   1   1   1   1 PSCHOLOGIE   1   1   0
Pudel8  37   2   1   1  23   1   1   1   1 PSCHOLOGIE   1   1   0
Pudel8  37   2   1   1  23   1   1   1   1 PSCHOLOGIE   1   1   0
Pudel8  37   2   1   1  23   1   1   1   1 PSCHOLOGIE   1   1   0
Pudel8  37   2   1   1  23   1   1   1   1 PSCHOLOGIE   1   1   0
Pudel8  37   2   1   1  23   1   1   1   1 PSCHOLOGIE   1   1   0
Pudel8  37   2   1   1  23   1   1   1   1 PSCHOLOGIE   2   2   0
Pudel8  37   2   1   1  23   1   1   1   1 PSCHOLOGIE   2   2   0
Pudel8  37   2   1   1  23   1   1   1   1 PSCHOLOGIE   2   2   0
Pudel8  37   2   1   1  23   1   1   1   1 PSCHOLOGIE   2   2   0
Pudel8  37   2   1   1  23   1   1   1   1 PSCHOLOGIE   2   2   0
Pudel8  37   2   1   1  23   1   1   1   1 PSCHOLOGIE   2   2   0
---
Lernphase
"Exp.Name" "Vp.Nr" "RF_Material" "RF_Shape" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Trial.Nr" "Shape" "Reaktion" "Reaktionszeit" "Position" "korrekt"
Pudel8  37   2   1   1  23   1   1   1   1 PSCHOLOGIE   1   1   1   5 1129   5   1
Pudel8  37   2   1   1  23   1   1   1   1 PSCHOLOGIE   1   2   1   3 971   3   1
Pudel8  37   2   1   1  23   1   1   1   1 PSCHOLOGIE   1   3   1   1 921   1   1
Pudel8  37   2   1   1  23   1   1   1   1 PSCHOLOGIE   1   4   1   2 655   2   1
Pudel8  37   2   1   1  23   1   1   1   1 PSCHOLOGIE   1   5   1   4 836   4   1
Pudel8  37   2   1   1  23   1   1   1   1 PSCHOLOGIE   1   6   1   5 638   5   1
Pudel8  37   2   1   1  23   1   1   1   1 PSCHOLOGIE   1   7   1   2 734   2   1
Pudel8  37   2   1   1  23   1   1   1   1 PSCHOLOGIE   1   8   1   4 739   4   1
Pudel8  37   2   1   1  23   1   1   1   1 PSCHOLOGIE   1   9   1   5 659   5   1
Pudel8  37   2   1   1  23   1   1   1   1 PSCHOLOGIE   1  10   1   3 822   3   1
Pudel8  37   2   1   1  23   1   1   1   1 PSCHOLOGIE   1  11   1   5 771   5   1
Pudel8  37   2   1   1  23   1   1   1   1 PSCHOLOGIE   1  12   1   1 692   1   1
Pudel8  37   2   1   1  23   1   1   1   1 PSCHOLOGIE   1  13   1   6 675   6   1
Pudel8  37   2   1   1  23   1   1   1   1 PSCHOLOGIE   1  14   1   4 838   4   1
Pudel8  37   2   1   1  23   1   1   1   1 PSCHOLOGIE   1  15   1   2 700   3   0
Pudel8  37   2   1   1  23   1   1   1   1 PSCHOLOGIE   1  16   1   6 823   6   1
Pudel8  37   2   1   1  23   1   1   1   1 PSCHOLOGIE   1  17   1   2 758   2   1
Pudel8  37   2   1   1  23   1   1   1   1 PSCHOLOGIE   1  18   1   6 759   6   1
Pudel8  37   2   1   1  23   1   1   1   1 PSCHOLOGIE   1  19   1   2 770   2   1
Pudel8  37   2   1   1  23   1   1   1   1 PSCHOLOGIE   1  20   1   4 769   4   1
Pudel8  37   2   1   1  23   1   1   1   1 PSCHOLOGIE   1  21   1   6 1155   6   1
Pudel8  37   2   1   1  23   1   1   1   1 PSCHOLOGIE   1  22   1   2 927   2   1
Pudel8  37   2   1   1  23   1   1   1   1 PSCHOLOGIE   1  23   1   3 744   3   1
Pudel8  37   2   1   1  23   1   1   1   1 PSCHOLOGIE   1  24   1   6 683   6   1
Pudel8  37   2   1   1  23   1   1   1   1 PSCHOLOGIE   1  25   1   5 779   5   1
