Sequenz
"Exp.Name" "Vp.Nr" "RF_Material" "RF_Shape" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position" "Shape" 
Pudel8  85   2   2   1  22   1   1   1   1 PSYCHOLOGIER   2   1
Pudel8  85   2   2   1  22   1   1   1   1 PSYCHOLOGIER   6   1
Pudel8  85   2   2   1  22   1   1   1   1 PSYCHOLOGIER   5   1
Pudel8  85   2   2   1  22   1   1   1   1 PSYCHOLOGIER   3   1
Pudel8  85   2   2   1  22   1   1   1   1 PSYCHOLOGIER   4   1
Pudel8  85   2   2   1  22   1   1   1   1 PSYCHOLOGIER   1   1
Pudel8  85   2   2   1  22   1   1   1   1 PSYCHOLOGIER   3   2
Pudel8  85   2   2   1  22   1   1   1   1 PSYCHOLOGIER   6   2
Pudel8  85   2   2   1  22   1   1   1   1 PSYCHOLOGIER   2   2
Pudel8  85   2   2   1  22   1   1   1   1 PSYCHOLOGIER   4   2
Pudel8  85   2   2   1  22   1   1   1   1 PSYCHOLOGIER   5   2
Pudel8  85   2   2   1  22   1   1   1   1 PSYCHOLOGIER   1   2
---
freies.Generieren
"Exp.Name" "Vp.Nr" "RF_Material" "RF_Shape" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Shape" "Reaktion"
Pudel8  85   2   2   1  22   1   1   1   1 PSYCHOLOGIER   1   2   1
Pudel8  85   2   2   1  22   1   1   1   1 PSYCHOLOGIER   1   2   3
Pudel8  85   2   2   1  22   1   1   1   1 PSYCHOLOGIER   1   2   6
Pudel8  85   2   2   1  22   1   1   1   1 PSYCHOLOGIER   1   2   4
Pudel8  85   2   2   1  22   1   1   1   1 PSYCHOLOGIER   1   2   5
Pudel8  85   2   2   1  22   1   1   1   1 PSYCHOLOGIER   1   2   2
Pudel8  85   2   2   1  22   1   1   1   1 PSYCHOLOGIER   2   1   3
Pudel8  85   2   2   1  22   1   1   1   1 PSYCHOLOGIER   2   1   2
Pudel8  85   2   2   1  22   1   1   1   1 PSYCHOLOGIER   2   1   6
Pudel8  85   2   2   1  22   1   1   1   1 PSYCHOLOGIER   2   1   1
Pudel8  85   2   2   1  22   1   1   1   1 PSYCHOLOGIER   2   1   4
Pudel8  85   2   2   1  22   1   1   1   1 PSYCHOLOGIER   2   1   2
---
Lernphase
"Exp.Name" "Vp.Nr" "RF_Material" "RF_Shape" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Trial.Nr" "Shape" "Reaktion" "Reaktionszeit" "Position" "korrekt"
Pudel8  85   2   2   1  22   1   1   1   1 PSYCHOLOGIER   1   1   2   4 1939   4   1
Pudel8  85   2   2   1  22   1   1   1   1 PSYCHOLOGIER   1   2   2   5 781   5   1
Pudel8  85   2   2   1  22   1   1   1   1 PSYCHOLOGIER   1   3   2   1 700   1   1
Pudel8  85   2   2   1  22   1   1   1   1 PSYCHOLOGIER   1   4   2   3 958   3   1
Pudel8  85   2   2   1  22   1   1   1   1 PSYCHOLOGIER   1   5   2   5 645   5   1
Pudel8  85   2   2   1  22   1   1   1   1 PSYCHOLOGIER   1   6   2   1 637   1   1
Pudel8  85   2   2   1  22   1   1   1   1 PSYCHOLOGIER   1   7   2   3 647   3   1
Pudel8  85   2   2   1  22   1   1   1   1 PSYCHOLOGIER   1   8   2   6 720   6   1
Pudel8  85   2   2   1  22   1   1   1   1 PSYCHOLOGIER   1   9   2   5 731   5   1
Pudel8  85   2   2   1  22   1   1   1   1 PSYCHOLOGIER   1  10   2   6 617   6   1
Pudel8  85   2   2   1  22   1   1   1   1 PSYCHOLOGIER   1  11   2   2 756   2   1
Pudel8  85   2   2   1  22   1   1   1   1 PSYCHOLOGIER   1  12   2   4 918   4   1
Pudel8  85   2   2   1  22   1   1   1   1 PSYCHOLOGIER   1  13   2   5 599   5   1
Pudel8  85   2   2   1  22   1   1   1   1 PSYCHOLOGIER   1  14   2   3 700   3   1
Pudel8  85   2   2   1  22   1   1   1   1 PSYCHOLOGIER   1  15   2   4 629   4   1
Pudel8  85   2   2   1  22   1   1   1   1 PSYCHOLOGIER   1  16   2   5 573   5   1
Pudel8  85   2   2   1  22   1   1   1   1 PSYCHOLOGIER   1  17   2   1 711   1   1
Pudel8  85   2   2   1  22   1   1   1   1 PSYCHOLOGIER   1  18   2   2 716   2   1
Pudel8  85   2   2   1  22   1   1   1   1 PSYCHOLOGIER   1  19   2   4 933   4   1
Pudel8  85   2   2   1  22   1   1   1   1 PSYCHOLOGIER   1  20   2   5 625   5   1
Pudel8  85   2   2   1  22   1   1   1   1 PSYCHOLOGIER   1  21   2   1 711   1   1
Pudel8  85   2   2   1  22   1   1   1   1 PSYCHOLOGIER   1  22   2   3 587   3   1
Pudel8  85   2   2   1  22   1   1   1   1 PSYCHOLOGIER   1  23   2   2 697   2   1
Pudel8  85   2   2   1  22   1   1   1   1 PSYCHOLOGIER   1  24   2   1 574   1   1
Pudel8  85   2   2   1  22   1   1   1   1 PSYCHOLOGIER   1  25   2   4 775   4   1
