Sequenz
"Exp.Name" "Vp.Nr" "RF_Material" "RF_Shape" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position" "Shape" 
Pudel8  89   1   2   0  28   2   1   1   1 TECHNUISCHERZEICHNER   3   1
Pudel8  89   1   2   0  28   2   1   1   1 TECHNUISCHERZEICHNER   6   1
Pudel8  89   1   2   0  28   2   1   1   1 TECHNUISCHERZEICHNER   2   1
Pudel8  89   1   2   0  28   2   1   1   1 TECHNUISCHERZEICHNER   4   1
Pudel8  89   1   2   0  28   2   1   1   1 TECHNUISCHERZEICHNER   5   1
Pudel8  89   1   2   0  28   2   1   1   1 TECHNUISCHERZEICHNER   1   1
Pudel8  89   1   2   0  28   2   1   1   1 TECHNUISCHERZEICHNER   2   2
Pudel8  89   1   2   0  28   2   1   1   1 TECHNUISCHERZEICHNER   6   2
Pudel8  89   1   2   0  28   2   1   1   1 TECHNUISCHERZEICHNER   5   2
Pudel8  89   1   2   0  28   2   1   1   1 TECHNUISCHERZEICHNER   3   2
Pudel8  89   1   2   0  28   2   1   1   1 TECHNUISCHERZEICHNER   4   2
Pudel8  89   1   2   0  28   2   1   1   1 TECHNUISCHERZEICHNER   1   2
---
freies.Generieren
"Exp.Name" "Vp.Nr" "RF_Material" "RF_Shape" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Shape" "Reaktion"
Pudel8  89   1   2   0  28   2   1   1   1 TECHNUISCHERZEICHNER   1   2   1
Pudel8  89   1   2   0  28   2   1   1   1 TECHNUISCHERZEICHNER   1   2   6
Pudel8  89   1   2   0  28   2   1   1   1 TECHNUISCHERZEICHNER   1   2   4
Pudel8  89   1   2   0  28   2   1   1   1 TECHNUISCHERZEICHNER   1   2   5
Pudel8  89   1   2   0  28   2   1   1   1 TECHNUISCHERZEICHNER   1   2   6
Pudel8  89   1   2   0  28   2   1   1   1 TECHNUISCHERZEICHNER   1   2   3
Pudel8  89   1   2   0  28   2   1   1   1 TECHNUISCHERZEICHNER   2   1   1
Pudel8  89   1   2   0  28   2   1   1   1 TECHNUISCHERZEICHNER   2   1   2
Pudel8  89   1   2   0  28   2   1   1   1 TECHNUISCHERZEICHNER   2   1   4
Pudel8  89   1   2   0  28   2   1   1   1 TECHNUISCHERZEICHNER   2   1   6
Pudel8  89   1   2   0  28   2   1   1   1 TECHNUISCHERZEICHNER   2   1   4
Pudel8  89   1   2   0  28   2   1   1   1 TECHNUISCHERZEICHNER   2   1   5
---
Lernphase
"Exp.Name" "Vp.Nr" "RF_Material" "RF_Shape" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Trial.Nr" "Shape" "Reaktion" "Reaktionszeit" "Position" "korrekt"
Pudel8  89   1   2   0  28   2   1   1   1 TECHNUISCHERZEICHNER   1   1   2   4 1774   4   1
Pudel8  89   1   2   0  28   2   1   1   1 TECHNUISCHERZEICHNER   1   2   2   3 899   3   1
Pudel8  89   1   2   0  28   2   1   1   1 TECHNUISCHERZEICHNER   1   3   2   4 702   4   1
Pudel8  89   1   2   0  28   2   1   1   1 TECHNUISCHERZEICHNER   1   4   2   1 683   1   1
Pudel8  89   1   2   0  28   2   1   1   1 TECHNUISCHERZEICHNER   1   5   2   2 642   2   1
Pudel8  89   1   2   0  28   2   1   1   1 TECHNUISCHERZEICHNER   1   6   2   6 680   6   1
Pudel8  89   1   2   0  28   2   1   1   1 TECHNUISCHERZEICHNER   1   7   2   1 698   1   1
Pudel8  89   1   2   0  28   2   1   1   1 TECHNUISCHERZEICHNER   1   8   2   4 886   4   1
Pudel8  89   1   2   0  28   2   1   1   1 TECHNUISCHERZEICHNER   1   9   2   1 729   1   1
Pudel8  89   1   2   0  28   2   1   1   1 TECHNUISCHERZEICHNER   1  10   2   2 692   2   1
Pudel8  89   1   2   0  28   2   1   1   1 TECHNUISCHERZEICHNER   1  11   2   6 737   6   1
Pudel8  89   1   2   0  28   2   1   1   1 TECHNUISCHERZEICHNER   1  12   2   5 678   5   1
Pudel8  89   1   2   0  28   2   1   1   1 TECHNUISCHERZEICHNER   1  13   2   3 729   3   1
Pudel8  89   1   2   0  28   2   1   1   1 TECHNUISCHERZEICHNER   1  14   2   4 724   4   1
Pudel8  89   1   2   0  28   2   1   1   1 TECHNUISCHERZEICHNER   1  15   2   1 670   1   1
Pudel8  89   1   2   0  28   2   1   1   1 TECHNUISCHERZEICHNER   1  16   2   2 683   2   1
Pudel8  89   1   2   0  28   2   1   1   1 TECHNUISCHERZEICHNER   1  17   2   4 753   4   1
Pudel8  89   1   2   0  28   2   1   1   1 TECHNUISCHERZEICHNER   1  18   2   3 843   3   1
Pudel8  89   1   2   0  28   2   1   1   1 TECHNUISCHERZEICHNER   1  19   2   6 663   6   1
Pudel8  89   1   2   0  28   2   1   1   1 TECHNUISCHERZEICHNER   1  20   2   2 712   2   1
Pudel8  89   1   2   0  28   2   1   1   1 TECHNUISCHERZEICHNER   1  21   2   6 651   6   1
Pudel8  89   1   2   0  28   2   1   1   1 TECHNUISCHERZEICHNER   1  22   2   4 681   4   1
Pudel8  89   1   2   0  28   2   1   1   1 TECHNUISCHERZEICHNER   1  23   2   5 652   5   1
Pudel8  89   1   2   0  28   2   1   1   1 TECHNUISCHERZEICHNER   1  24   2   4 687   4   1
Pudel8  89   1   2   0  28   2   1   1   1 TECHNUISCHERZEICHNER   1  25   2   5 640   5   1
