Sequenz
"Exp.Name" "Vp.Nr" "RF_Material" "RF_Shape" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position" "Shape" 
Pudel8  99   2   1   1  33   2   1   1   1 FITMNESSTRAINER   3   1
Pudel8  99   2   1   1  33   2   1   1   1 FITMNESSTRAINER   6   1
Pudel8  99   2   1   1  33   2   1   1   1 FITMNESSTRAINER   2   1
Pudel8  99   2   1   1  33   2   1   1   1 FITMNESSTRAINER   4   1
Pudel8  99   2   1   1  33   2   1   1   1 FITMNESSTRAINER   5   1
Pudel8  99   2   1   1  33   2   1   1   1 FITMNESSTRAINER   1   1
Pudel8  99   2   1   1  33   2   1   1   1 FITMNESSTRAINER   2   2
Pudel8  99   2   1   1  33   2   1   1   1 FITMNESSTRAINER   6   2
Pudel8  99   2   1   1  33   2   1   1   1 FITMNESSTRAINER   5   2
Pudel8  99   2   1   1  33   2   1   1   1 FITMNESSTRAINER   3   2
Pudel8  99   2   1   1  33   2   1   1   1 FITMNESSTRAINER   4   2
Pudel8  99   2   1   1  33   2   1   1   1 FITMNESSTRAINER   1   2
---
freies.Generieren
"Exp.Name" "Vp.Nr" "RF_Material" "RF_Shape" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Shape" "Reaktion"
Pudel8  99   2   1   1  33   2   1   1   1 FITMNESSTRAINER   1   1   2
Pudel8  99   2   1   1  33   2   1   1   1 FITMNESSTRAINER   1   1   3
Pudel8  99   2   1   1  33   2   1   1   1 FITMNESSTRAINER   1   1   5
Pudel8  99   2   1   1  33   2   1   1   1 FITMNESSTRAINER   1   1   6
Pudel8  99   2   1   1  33   2   1   1   1 FITMNESSTRAINER   1   1   4
Pudel8  99   2   1   1  33   2   1   1   1 FITMNESSTRAINER   1   1   1
Pudel8  99   2   1   1  33   2   1   1   1 FITMNESSTRAINER   2   2   2
Pudel8  99   2   1   1  33   2   1   1   1 FITMNESSTRAINER   2   2   6
Pudel8  99   2   1   1  33   2   1   1   1 FITMNESSTRAINER   2   2   5
Pudel8  99   2   1   1  33   2   1   1   1 FITMNESSTRAINER   2   2   4
Pudel8  99   2   1   1  33   2   1   1   1 FITMNESSTRAINER   2   2   1
Pudel8  99   2   1   1  33   2   1   1   1 FITMNESSTRAINER   2   2   3
---
Lernphase
"Exp.Name" "Vp.Nr" "RF_Material" "RF_Shape" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Trial.Nr" "Shape" "Reaktion" "Reaktionszeit" "Position" "korrekt"
Pudel8  99   2   1   1  33   2   1   1   1 FITMNESSTRAINER   1   1   1   6 1668   6   1
Pudel8  99   2   1   1  33   2   1   1   1 FITMNESSTRAINER   1   2   1   3 1229   3   1
Pudel8  99   2   1   1  33   2   1   1   1 FITMNESSTRAINER   1   3   1   6 961   6   1
Pudel8  99   2   1   1  33   2   1   1   1 FITMNESSTRAINER   1   4   1   2 874   2   1
Pudel8  99   2   1   1  33   2   1   1   1 FITMNESSTRAINER   1   5   1   5 931   5   1
Pudel8  99   2   1   1  33   2   1   1   1 FITMNESSTRAINER   1   6   1   1 736   1   1
Pudel8  99   2   1   1  33   2   1   1   1 FITMNESSTRAINER   1   7   1   3 1152   3   1
Pudel8  99   2   1   1  33   2   1   1   1 FITMNESSTRAINER   1   8   1   5 830   5   1
Pudel8  99   2   1   1  33   2   1   1   1 FITMNESSTRAINER   1   9   1   6 661   6   1
Pudel8  99   2   1   1  33   2   1   1   1 FITMNESSTRAINER   1  10   1   5 943   5   1
Pudel8  99   2   1   1  33   2   1   1   1 FITMNESSTRAINER   1  11   1   1 748   1   1
Pudel8  99   2   1   1  33   2   1   1   1 FITMNESSTRAINER   1  12   1   2 691   2   1
Pudel8  99   2   1   1  33   2   1   1   1 FITMNESSTRAINER   1  13   1   4 1267   4   1
Pudel8  99   2   1   1  33   2   1   1   1 FITMNESSTRAINER   1  14   1   5 727   5   1
Pudel8  99   2   1   1  33   2   1   1   1 FITMNESSTRAINER   1  15   1   2 932   2   1
Pudel8  99   2   1   1  33   2   1   1   1 FITMNESSTRAINER   1  16   1   6 805   6   1
Pudel8  99   2   1   1  33   2   1   1   1 FITMNESSTRAINER   1  17   1   4 1224   4   1
Pudel8  99   2   1   1  33   2   1   1   1 FITMNESSTRAINER   1  18   1   1 916   1   1
Pudel8  99   2   1   1  33   2   1   1   1 FITMNESSTRAINER   1  19   1   3 909   3   1
Pudel8  99   2   1   1  33   2   1   1   1 FITMNESSTRAINER   1  20   1   6 975   6   1
Pudel8  99   2   1   1  33   2   1   1   1 FITMNESSTRAINER   1  21   1   2 827   2   1
Pudel8  99   2   1   1  33   2   1   1   1 FITMNESSTRAINER   1  22   1   5 643   4   0
Pudel8  99   2   1   1  33   2   1   1   1 FITMNESSTRAINER   1  23   1   1 847   1   1
Pudel8  99   2   1   1  33   2   1   1   1 FITMNESSTRAINER   1  24   1   3 941   3   1
Pudel8  99   2   1   1  33   2   1   1   1 FITMNESSTRAINER   1  25   1   6 902   6   1
