Timestamp
OS date: 05/08/14, OS time: 11:26:57
---
Sequenz
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   2
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   6
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   5
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   3
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   4
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1
---
freies.Generieren
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Shape" "Reaktion"
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1   2   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1   2   6
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1   2   3
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1   2   5
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1   2   3
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1   2   1
---
Lernphase
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Trial.Nr" "Shape" "Reaktion" "Reaktionszeit" "Position" "korrekt"
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1   1   0   1 639   1   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1   2   0   2 768   2   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1   3   0   1 712   1   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1   4   0   2 656   2   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1   5   0   6 743   6   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1   6   0   5 912   5   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1   7   0   3 895   3   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1   8   0   5 759   5   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1   9   0   1 631   1   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  10   0   3 687   3   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  11   0   4 737   4   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  12   0   6 759   6   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  13   0   5 736   5   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  14   0   2 856   3   0
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  15   0   3  52   6   0
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  16   0   5 876   5   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  17   0   3 624   3   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  18   0   5 720   4   0
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  19   0   1 756   1   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  20   0   2 848   2   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  21   0   6 672   6   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  22   0   5 816   5   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  23   0   1 713   1   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  24   0   2 672   2   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  25   0   6 720   6   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  26   0   5 760   5   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  27   0   3 808   3   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  28   0   6 744   6   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  29   0   5 751   5   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  30   0   2 727   2   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  31   0   6 631   6   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  32   0   5 743   5   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  33   0   3 751   3   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  34   0   4 688   4   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  35   0   1 624   1   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  36   0   2 671   2   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  37   0   5 792   5   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  38   0   4 792   4   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  39   0   3 856   3   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  40   0   4 752   4   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  41   0   1 824   1   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  42   0   2 928   2   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  43   0   6 696   6   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  44   0   5 760   5   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  45   0   3 768   3   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  46   0   4 729   4   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  47   0   1 688   1   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  48   0   2 760   2   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  49   0   6 664   6   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  50   0   5 728   5   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  51   0   3 624   3   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  52   0   6 664   6   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  53   0   5 743   5   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  54   0   4 632   4   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  55   0   1 623   1   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  56   0   2 631   2   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  57   0   6 655   6   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  58   0   5 687   5   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  59   0   3 639   3   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  60   0   4 783   4   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  61   0   1 680   1   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  62   0   2 632   2   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  63   0   5 776   5   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  64   0   4 712   3   0
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  65   0   4 756   4   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  66   0   3 656   1   0
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  67   0   6 756   6   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  68   0   2 712   2   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  69   0   3 704   6   0
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  70   0   6 1132   5   0
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  71   0   2 868   2   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  72   0   1 816   1   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  73   0   4 880   4   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  74   0   3 952   3   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  75   0   4 808   4   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  76   0   1 823   1   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  77   0   2 799   2   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  78   0   3 839   3   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  79   0   4 687   4   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  80   0   1 695   1   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  81   0   6 848   6   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  82   0   5 840   5   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  83   0   6 872   6   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  84   0   1 800   1   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  85   0   2 736   2   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  86   0   6 728   6   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  87   0   2 752   2   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  88   0   6 712   6   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  89   0   2 680   2   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  90   0   1 696   1   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  91   0   5 856   5   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  92   0   3 712   3   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  93   0   4 705   4   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  94   0   1 696   1   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  95   0   5 824   5   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  96   0   3 680   3   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  97   0   4 920   4   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  98   0   1 696   1   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1  99   0   3 608   3   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1 100   0   2 711   2   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1 101   0   6 711   6   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1 102   0   2 911   2   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1 103   0   6 903   6   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1 104   0   3 671   3   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1 105   0   2 776   2   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1 106   0   6 696   6   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1 107   0   2 680   2   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1 108   0   4 744   4   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1 109   0   1 616   1   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1 110   0   4 848   4   1
Pudel9  55   4   1   5  26   1   1   1   1 PSCYCHOLOGIE   1 111   0   1 648   1   1
