subject_nr,group_number,m_cond,material_order,assignment,material,half,us_valence,us_file,relation,eval_rating,trial_nr,time_rate_form,time_rate_delay
61,3,mel_end_sta,M_first,2,G,1,pos,pos1.png,verhindern,-100,0,225163,259886
61,3,mel_end_sta,M_first,2,G,1,neg,neg2.png,verursachen,-91.2,1,262221,272798
61,3,mel_end_sta,M_first,2,G,1,neg,neg1.png,verursachen,-81.2,2,275158,289670
61,3,mel_end_sta,M_first,2,G,1,pos,pos5.png,verhindern,-100,3,291984,300846
61,3,mel_end_sta,M_first,2,G,1,neg,neg4.png,verhindern,100,4,303175,319591
61,3,mel_end_sta,M_first,2,G,1,neg,neg3.png,verhindern,100,5,321905,329446
61,3,mel_end_sta,M_first,2,G,1,neg,neg6.png,verursachen,-100,6,331761,335782
61,3,mel_end_sta,M_first,2,G,1,pos,pos4.png,verursachen,56.8,7,338096,357150
61,3,mel_end_sta,M_first,2,G,1,pos,pos2.png,verhindern,-62.8,8,359466,386391
61,3,mel_end_sta,M_first,2,G,1,neg,neg5.png,verhindern,85.6,9,388712,393413
61,3,mel_end_sta,M_first,2,G,1,pos,pos6.png,verursachen,43.2,10,395735,410062
61,3,mel_end_sta,M_first,2,G,1,pos,pos3.png,verursachen,48.4,11,412373,425246
61,3,mel_end_sta,M_first,2,G,2,neg,neg4.png,verursachen,-100,12,427558,433751
61,3,mel_end_sta,M_first,2,G,2,pos,pos1.png,verursachen,100,13,436065,439974
61,3,mel_end_sta,M_first,2,G,2,neg,neg2.png,verhindern,68,14,442298,458615
61,3,mel_end_sta,M_first,2,G,2,neg,neg3.png,verursachen,-100,15,460929,463389
61,3,mel_end_sta,M_first,2,G,2,neg,neg5.png,verursachen,-95.2,16,465706,469422
61,3,mel_end_sta,M_first,2,G,2,pos,pos3.png,verhindern,-60.4,17,471731,478997
61,3,mel_end_sta,M_first,2,G,2,pos,pos2.png,verursachen,64.4,18,481313,488334
61,3,mel_end_sta,M_first,2,G,2,neg,neg6.png,verhindern,100,19,490654,498711
61,3,mel_end_sta,M_first,2,G,2,neg,neg1.png,verhindern,85.6,20,501025,504209
61,3,mel_end_sta,M_first,2,G,2,pos,pos5.png,verursachen,100,21,506528,522302
61,3,mel_end_sta,M_first,2,G,2,pos,pos4.png,verhindern,-69.2,22,524618,528782
61,3,mel_end_sta,M_first,2,G,2,pos,pos6.png,verhindern,-50.8,23,531104,535319
