ParticipantNumber	IATBlock	Stimulus	Category	Type	keyToPress	keyPress	Correct	RT	RTafterError	Block	Combination	ValenceBlock	MeasureOrder	computerName	timeStamp
52	1	white1.bmp	Image	Bob	d	['d']	correct	0.562567	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	1	white2.bmp	Image	NonBob	k	['k']	correct	0.521771	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	1	white5.bmp	Image	NonBob	k	['k']	correct	0.576140	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	1	white4.bmp	Image	NonBob	k	['k']	correct	0.456349	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	1	white1.bmp	Image	Bob	d	['d']	correct	0.572880	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	1	white1.bmp	Image	Bob	d	['d']	correct	0.468738	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	1	white3.bmp	Image	NonBob	k	['k']	correct	0.537297	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	1	bob1.bmp	Image	NonBob	k	['k']	correct	0.571820	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	1	white1.bmp	Image	Bob	d	['d']	correct	0.530728	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	1	white1.bmp	Image	Bob	d	['d']	correct	0.477966	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	1	white1.bmp	Image	Bob	d	['d']	correct	0.450773	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	1	white3.bmp	Image	NonBob	k	['k']	correct	0.519341	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	1	white1.bmp	Image	Bob	d	['d']	correct	0.585464	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	1	bob1.bmp	Image	NonBob	k	['k']	correct	0.517363	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	1	white4.bmp	Image	NonBob	k	['k']	correct	0.507905	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	1	white2.bmp	Image	NonBob	k	['k']	correct	0.545510	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	1	white1.bmp	Image	Bob	d	['d']	correct	0.504665	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	1	white1.bmp	Image	Bob	d	['d']	correct	0.478893	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	1	white1.bmp	Image	Bob	d	['d']	correct	0.479631	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	1	white5.bmp	Image	NonBob	k	['k']	correct	0.489079	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	2	Humor	Text	pos	d	['d']	correct	0.600577	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	2	begabt	Text	pos	d	['d']	correct	0.576750	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	2	Liebe	Text	pos	d	['d']	correct	0.489014	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	2	furchtbar	Text	neg	k	['k']	correct	0.526565	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	2	Zufriedenheit	Text	pos	d	['d']	correct	0.560452	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	2	wundervoll	Text	pos	d	['d']	correct	0.540194	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	2	Freude	Text	pos	d	['d']	correct	0.547070	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	2	hektisch	Text	neg	k	['k']	correct	0.570129	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	2	ekelhaft	Text	neg	k	['k']	correct	0.673570	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	2	böse	Text	neg	k	['k']	correct	0.508326	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	2	entsetzlich	Text	neg	k	['k']	correct	0.657723	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	2	erfolgreich	Text	pos	d	['d']	correct	0.631750	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	2	super	Text	pos	d	['d']	correct	0.580746	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	2	fies	Text	neg	k	['k']	correct	0.556776	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	2	Qual	Text	neg	k	['k']	correct	0.580100	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	2	Vertrauen	Text	pos	d	['d']	correct	0.679753	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	2	Frieden	Text	pos	d	['d']	correct	0.486291	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	2	widerlich	Text	neg	k	['k']	correct	0.619625	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	2	Fehlschlag	Text	neg	k	['k']	correct	0.900446	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	2	schrecklich	Text	neg	k	['k']	correct	0.500608	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	34	white5.bmp	Image	NonBob	k	['k']	correct	0.586999	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	34	white1.bmp	Image	Bob	d	['d']	correct	0.625569	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	34	Humor	Text	pos	d	['d']	correct	0.524193	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	34	erfolgreich	Text	pos	d	['d']	correct	0.530574	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	34	Liebe	Text	pos	d	['d']	correct	0.532744	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	34	entsetzlich	Text	neg	k	['k']	correct	0.527486	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	34	white1.bmp	Image	Bob	d	['d']	correct	0.705750	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	34	white1.bmp	Image	Bob	d	['d']	correct	0.540426	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	34	white1.bmp	Image	Bob	d	['d']	correct	0.498863	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	34	furchtbar	Text	neg	k	['k']	correct	0.636720	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	34	Fehlschlag	Text	neg	k	['k']	correct	0.677918	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	34	Zufriedenheit	Text	pos	d	['d']	correct	0.544497	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	34	white3.bmp	Image	NonBob	k	['k']	correct	0.707007	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	34	Vertrauen	Text	pos	d	['d']	correct	0.656931	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	34	wundervoll	Text	pos	d	['d']	correct	0.524024	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	34	white1.bmp	Image	Bob	d	['d']	correct	0.626221	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	34	white5.bmp	Image	NonBob	k	['k']	correct	0.599402	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	34	ekelhaft	Text	neg	k	['k']	correct	0.835686	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	34	bob1.bmp	Image	NonBob	k	['k']	correct	0.605713	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	34	Frieden	Text	pos	d	['d']	correct	0.570211	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	34	white1.bmp	Image	Bob	d	['d']	correct	0.529860	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	34	begabt	Text	pos	d	['d']	correct	0.648583	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	34	Freude	Text	pos	d	['d']	correct	0.530090	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	34	schrecklich	Text	neg	k	['k']	correct	0.616931	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	34	white4.bmp	Image	NonBob	k	['k']	correct	0.669358	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	34	hektisch	Text	neg	k	['k']	correct	0.603725	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	34	widerlich	Text	neg	k	['k']	correct	0.628159	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	34	white1.bmp	Image	Bob	d	['d']	correct	0.540931	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	34	white2.bmp	Image	NonBob	k	['k']	correct	0.596147	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	34	super	Text	pos	d	['d']	correct	0.588554	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	34	böse	Text	neg	k	['k']	correct	0.580758	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	34	white1.bmp	Image	Bob	d	['d']	correct	0.584068	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	34	white3.bmp	Image	NonBob	k	['k']	correct	0.607847	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	34	Qual	Text	neg	k	['k']	correct	0.780471	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	34	white2.bmp	Image	NonBob	k	['k']	correct	0.553669	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	34	white1.bmp	Image	Bob	d	['d']	correct	0.588555	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	34	white4.bmp	Image	NonBob	k	['k']	correct	0.596653	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	34	fies	Text	neg	k	['k']	correct	0.700785	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	34	bob1.bmp	Image	NonBob	k	['k']	correct	0.587884	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	34	white1.bmp	Image	Bob	d	['d']	correct	0.575308	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	5	white1.bmp	Image	Bob	k	['k']	correct	0.675614	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	5	white3.bmp	Image	NonBob	d	['d']	correct	0.467573	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	5	white5.bmp	Image	NonBob	d	['d']	correct	0.585039	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	5	white1.bmp	Image	Bob	k	['k']	correct	0.528758	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	5	white1.bmp	Image	Bob	k	['k']	correct	0.551190	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	5	bob1.bmp	Image	NonBob	d	['d']	correct	0.521569	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	5	white1.bmp	Image	Bob	k	['k']	correct	0.531845	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	5	white2.bmp	Image	NonBob	d	['d']	correct	0.618944	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	5	white1.bmp	Image	Bob	k	['k']	correct	0.547557	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	5	white1.bmp	Image	Bob	k	['k']	correct	0.458569	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	5	white3.bmp	Image	NonBob	d	['d']	correct	0.511411	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	5	white1.bmp	Image	Bob	k	['k']	correct	0.517506	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	5	white1.bmp	Image	Bob	k	['k']	correct	0.459866	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	5	white1.bmp	Image	Bob	k	['k']	correct	0.432914	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	5	bob1.bmp	Image	NonBob	d	['d']	correct	0.452664	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	5	white1.bmp	Image	Bob	k	['k']	correct	0.441658	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	5	white4.bmp	Image	NonBob	d	['d']	correct	0.537517	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	5	white5.bmp	Image	NonBob	d	['d']	correct	0.500524	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	5	white4.bmp	Image	NonBob	d	['d']	correct	0.490381	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	5	white2.bmp	Image	NonBob	d	['d']	correct	0.511708	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	67	Liebe	Text	pos	d	['d']	correct	1.231852	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	67	ekelhaft	Text	neg	k	['k']	correct	0.728352	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	67	white1.bmp	Image	Bob	k	['k']	correct	0.543702	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	67	white1.bmp	Image	Bob	k	['k']	correct	0.474743	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	67	white5.bmp	Image	NonBob	d	['d']	correct	0.507708	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	67	white3.bmp	Image	NonBob	d	['d']	correct	0.517535	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	67	Humor	Text	pos	d	['d']	correct	0.828099	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	67	white4.bmp	Image	NonBob	d	['d']	correct	0.518012	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	67	white1.bmp	Image	Bob	k	['k']	correct	0.623257	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	67	white2.bmp	Image	NonBob	d	['d']	correct	0.597502	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	67	begabt	Text	pos	d	['d']	correct	0.897476	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
52	67	bob1.bmp	Image	NonBob	d	['d']	correct	0.653310	0.000000	1	2	1	1	versuchneu7	2016-07-22_15.51.02.701000
