ParticipantNumber	likingRating	likingRT	Word	List	TrialNr	computerName	timeStamp
7	74	3.069000	erfolgreich	IATpos	1	Sarahs-MacBook.local	2016-06-18_22.49.01.806796
7	36	2.983000	widerlich	IATneg	2	Sarahs-MacBook.local	2016-06-18_22.49.01.806796
7	31	3.276000	entsetzlich	IATneg	3	Sarahs-MacBook.local	2016-06-18_22.49.01.806796
7	98	2.847000	Freund	posPrime	4	Sarahs-MacBook.local	2016-06-18_22.49.01.806796
7	64	2.045000	Regenbogen	MemTestPos	5	Sarahs-MacBook.local	2016-06-18_22.49.01.806796
7	45	2.393000	böse	IATneg	6	Sarahs-MacBook.local	2016-06-18_22.49.01.806796
7	96	4.905000	frisch	MemTestPos	7	Sarahs-MacBook.local	2016-06-18_22.49.01.806796
7	15	3.364000	Pistole	MemTestNeg	8	Sarahs-MacBook.local	2016-06-18_22.49.01.806796
7	5	2.044000	Verlust	MemTestNeg	9	Sarahs-MacBook.local	2016-06-18_22.49.01.806796
7	69	3.345000	Fehlschlag	IATneg	10	Sarahs-MacBook.local	2016-06-18_22.49.01.806796
7	50	2.196000	Bargeld	MemTestPos	11	Sarahs-MacBook.local	2016-06-18_22.49.01.806796
7	28	3.412000	erstechen	MemTestNeg	12	Sarahs-MacBook.local	2016-06-18_22.49.01.806796
7	22	2.625000	schrecklich	IATneg	13	Sarahs-MacBook.local	2016-06-18_22.49.01.806796
7	74	2.094000	wundervoll	IATpos	14	Sarahs-MacBook.local	2016-06-18_22.49.01.806796
7	86	4.530000	Humor	IATpos	15	Sarahs-MacBook.local	2016-06-18_22.49.01.806796
7	97	2.461000	Zufriedenheit	IATpos	16	Sarahs-MacBook.local	2016-06-18_22.49.01.806796
7	17	1.775000	Leiche	negPrime	17	Sarahs-MacBook.local	2016-06-18_22.49.01.806796
7	100	3.279000	Kuss	posPrime	18	Sarahs-MacBook.local	2016-06-18_22.49.01.806796
7	38	9.146000	Bombe	MemTestNeg	19	Sarahs-MacBook.local	2016-06-18_22.49.01.806796
7	25	2.458000	töten	MemTestNeg	20	Sarahs-MacBook.local	2016-06-18_22.49.01.806796
7	86	1.961000	glücklich	posPrime	21	Sarahs-MacBook.local	2016-06-18_22.49.01.806796
7	37	11.735000	Qual	IATneg	22	Sarahs-MacBook.local	2016-06-18_22.49.01.806796
7	58	3.480000	begabt	IATpos	23	Sarahs-MacBook.local	2016-06-18_22.49.01.806796
7	79	2.379000	Kätzchen	posPrime	24	Sarahs-MacBook.local	2016-06-18_22.49.01.806796
7	25	1.512000	Schmerz	negPrime	25	Sarahs-MacBook.local	2016-06-18_22.49.01.806796
7	98	3.161000	Vertrauen	IATpos	26	Sarahs-MacBook.local	2016-06-18_22.49.01.806796
7	49	2.606000	Hölle	negPrime	27	Sarahs-MacBook.local	2016-06-18_22.49.01.806796
7	62	2.864000	hässlich	negPrime	28	Sarahs-MacBook.local	2016-06-18_22.49.01.806796
7	20	2.030000	Krieg	negPrime	29	Sarahs-MacBook.local	2016-06-18_22.49.01.806796
7	27	9.932000	furchtbar	IATneg	30	Sarahs-MacBook.local	2016-06-18_22.49.01.806796
7	65	1.824000	hübsch	posPrime	31	Sarahs-MacBook.local	2016-06-18_22.49.01.806796
7	61	3.399000	schön	MemTestPos	32	Sarahs-MacBook.local	2016-06-18_22.49.01.806796
7	65	2.154000	Blume	posPrime	33	Sarahs-MacBook.local	2016-06-18_22.49.01.806796
