Equation,CorrectResponse,Correctbutton,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,thisRow.t,notes,code_marius.started,code_marius.stopped,welcome.started,welcome.stopped,instruction_study.started,instruction_study.stopped,fixationcross.started,fixationcross.stopped,blanc.started,blanc.stopped,study_control_probe.started,study_control_probe.stopped,responseKey,responseTime,scale_answer_2.keys,study_control_probe_2.started,study_control_probe_2.stopped,scale_answer_3.keys,blanc_2.started,blanc_2.stopped,test_attr_probe.started,test_attr_probe.stopped,recalled_attr,firstKeyTime,secondWordTime,blanc_3.started,blanc_3.stopped,test_sub_probe.started,test_sub_probe.stopped,recalled_sub,instruction_probe_end.started,instruction_probe_end.stopped,study.started,study.stopped,substantive,adjective,wordpair,task,condition,liste_sub_phase1,liste_adj_phase1,scale_answer.keys,scale_answer.rt,scale_answer.duration,code_defineWordsInit.started,code_defineWordsInit.stopped,liste_sub_phase2,study_control.started,study_control.stopped,scale_answer_4.keys,restudy_same.started,restudy_same.stopped,scale_answer_5.keys,scale_answer_5.rt,scale_answer_5.duration,restudy_different.started,restudy_different.stopped,scale_answer_6.keys,test_attr.started,test_attr.stopped,test_sub.started,test_sub.stopped,correct,distractortask.started,equation_text.started,distractortask.stopped,mouse_answer.x,mouse_answer.y,mouse_answer.leftButton,mouse_answer.midButton,mouse_answer.rightButton,mouse_answer.time,mouse_answer.clicked_name,feedback_distractortask.started,feedback_distractortask.stopped,free_recall.started,text_enter.started,key_resp.started,free_recall.stopped,key_resp.keys,key_resp.rt,key_resp.duration,free_recalled_sub,mouse_continue.x,mouse_continue.y,mouse_continue.leftButton,mouse_continue.midButton,mouse_continue.rightButton,mouse_continue.time,mouse_continue.clicked_name,cued_recall.started,text_enter_2.started,key_continue.started,cued_recall.stopped,recalled_attr1,key_continue.keys,key_continue.rt,key_continue.duration,cued_recall_2.started,text_enter_3.started,key_continue_2.started,cued_recall_2.stopped,recalled_attr2,key_continue_2.keys,key_resp_8.started,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,condition,date,expName,psychopyVersion,frameRate,participant,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11290389997884631,0.11296819988638163,0.11297679995186627,5.626239199889824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-11-21_10h05.06.768,watkins1,2023.2.3,99.72983182532572,2,2023-11-21 10h05.13.337165 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.626286999904551,48.86366609996185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-11-21_10h05.06.768,watkins1,2023.2.3,99.72983182532572,2,2023-11-21 10h05.13.337165 +0000,
,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,49.877373799914494,,,,,,,,48.86368249997031,49.867397199966945,56.36950219993014,56.8608434998896,50.35920559999067,56.369337799958885,[],[],None,56.86085389996879,62.86670969997067,None,62.86685679992661,63.358230499899946,63.3582409999799,69.36284539999906,vergn,None,None,69.36306639993563,69.36308959999587,69.36309739993885,69.36317679996137,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-11-21_10h05.06.768,watkins1,2023.2.3,99.72983182532572,2,2023-11-21 10h05.13.337165 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.36329299991485,82.23733249993529,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-11-21_10h05.06.768,watkins1,2023.2.3,99.72983182532572,2,2023-11-21 10h05.13.337165 +0000,
,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,83.25093909993302,,,,,,,,82.2373510999605,83.24095479992684,83.24140899989288,83.73285869997926,,,2,3.40383679990191,,,,,,,,,,,,,,,,,,,83.73286929994356,89.74184169992805,Kerze,robust,"['Kerze', 'robust']",restudy,3,"['Kerze', 'Schere', 'Löffel', 'Buch', 'Tasse', 'Tasche', 'Kette', 'Rucksack', 'Schlüssel', 'Vase', 'Hut', 'Jacke', 'Flasche', 'Kamera', 'Eimer', 'Telefon', 'Uhr', 'Hammer', 'Kiste', 'Trommel', 'Ring', 'Würfel', 'Geige', 'Blume', 'Brille', 'Bürste', 'Fahrrad', 'Lampe', 'Socke', 'Stift']",['robust'],2,3.40383679990191,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-11-21_10h05.06.768,watkins1,2023.2.3,99.72983182532572,2,2023-11-21 10h05.13.337165 +0000,
,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,89.7512679999927,,,,,,,,,,89.74249299999792,90.23397299996577,,,2,1.888075799914077,,,,,,,,,,,,,,,,,,,90.2339829999255,96.2409926999826,Schere,schwer,"['Schere', 'schwer']",restudy,3,"['Kerze', 'Schere', 'Löffel', 'Buch', 'Tasse', 'Tasche', 'Kette', 'Rucksack', 'Schlüssel', 'Vase', 'Hut', 'Jacke', 'Flasche', 'Kamera', 'Eimer', 'Telefon', 'Uhr', 'Hammer', 'Kiste', 'Trommel', 'Ring', 'Würfel', 'Geige', 'Blume', 'Brille', 'Bürste', 'Fahrrad', 'Lampe', 'Socke', 'Stift']","['robust', 'schwer']",2,1.888075799914077,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-11-21_10h05.06.768,watkins1,2023.2.3,99.72983182532572,2,2023-11-21 10h05.13.337165 +0000,
,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,96.25052039988805,,,,,,,,,,96.24152689997572,96.73265089991037,,,1,1.7644565000664443,,,,,,,,,,,,,,,,,,,96.7326611999888,102.74002859997563,Löffel,sportlich,"['Löffel', 'sportlich']",test_adj,3,"['Kerze', 'Schere', 'Löffel', 'Buch', 'Tasse', 'Tasche', 'Kette', 'Rucksack', 'Schlüssel', 'Vase', 'Hut', 'Jacke', 'Flasche', 'Kamera', 'Eimer', 'Telefon', 'Uhr', 'Hammer', 'Kiste', 'Trommel', 'Ring', 'Würfel', 'Geige', 'Blume', 'Brille', 'Bürste', 'Fahrrad', 'Lampe', 'Socke', 'Stift']","['robust', 'schwer', 'sportlich']",1,1.7644565000664443,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-11-21_10h05.06.768,watkins1,2023.2.3,99.72983182532572,2,2023-11-21 10h05.13.337165 +0000,
,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,102.74949349998496,,,,,,,,,,102.74057209992316,103.23152089992072,,,1,2.4828938000136986,,,,,,,,,,,,,,,,,,,103.23153349990025,109.240187499905,Buch,kurz,"['Buch', 'kurz']",test_adj,3,"['Kerze', 'Schere', 'Löffel', 'Buch', 'Tasse', 'Tasche', 'Kette', 'Rucksack', 'Schlüssel', 'Vase', 'Hut', 'Jacke', 'Flasche', 'Kamera', 'Eimer', 'Telefon', 'Uhr', 'Hammer', 'Kiste', 'Trommel', 'Ring', 'Würfel', 'Geige', 'Blume', 'Brille', 'Bürste', 'Fahrrad', 'Lampe', 'Socke', 'Stift']","['robust', 'schwer', 'sportlich', 'kurz']",1,2.4828938000136986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-11-21_10h05.06.768,watkins1,2023.2.3,99.72983182532572,2,2023-11-21 10h05.13.337165 +0000,
,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,109.24967329995707,,,,,,,,,,109.24071069993079,109.7318029999733,,,3,1.5989325999980792,,,,,,,,,,,,,,,,,,,109.7318135999376,115.73332839994691,Tasse,hohl,"['Tasse', 'hohl']",test_adj,3,"['Kerze', 'Schere', 'Löffel', 'Buch', 'Tasse', 'Tasche', 'Kette', 'Rucksack', 'Schlüssel', 'Vase', 'Hut', 'Jacke', 'Flasche', 'Kamera', 'Eimer', 'Telefon', 'Uhr', 'Hammer', 'Kiste', 'Trommel', 'Ring', 'Würfel', 'Geige', 'Blume', 'Brille', 'Bürste', 'Fahrrad', 'Lampe', 'Socke', 'Stift']","['robust', 'schwer', 'sportlich', 'kurz', 'hohl']",3,1.5989325999980792,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-11-21_10h05.06.768,watkins1,2023.2.3,99.72983182532572,2,2023-11-21 10h05.13.337165 +0000,
,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,115.742770099896,,,,,,,,,,115.7338546999963,116.22502259991597,,,1,3.057619799976237,,,,,,,,,,,,,,,,,,,116.22503349999897,122.22763189999387,Tasche,dick,"['Tasche', 'dick']",test_adj,3,"['Kerze', 'Schere', 'Löffel', 'Buch', 'Tasse', 'Tasche', 'Kette', 'Rucksack', 'Schlüssel', 'Vase', 'Hut', 'Jacke', 'Flasche', 'Kamera', 'Eimer', 'Telefon', 'Uhr', 'Hammer', 'Kiste', 'Trommel', 'Ring', 'Würfel', 'Geige', 'Blume', 'Brille', 'Bürste', 'Fahrrad', 'Lampe', 'Socke', 'Stift']","['robust', 'schwer', 'sportlich', 'kurz', 'hohl', 'dick']",1,3.057619799976237,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-11-21_10h05.06.768,watkins1,2023.2.3,99.72983182532572,2,2023-11-21 10h05.13.337165 +0000,
