Equation,CorrectResponse,Correctbutton,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,thisRow.t,notes,code_marius.started,code_marius.stopped,welcome.started,welcome.stopped,instruction_study.started,instruction_study.stopped,fixationcross.started,fixationcross.stopped,blanc.started,blanc.stopped,study_control_probe.started,study_control_probe.stopped,responseKey,responseTime,scale_answer_2.keys,study_control_probe_2.started,study_control_probe_2.stopped,scale_answer_3.keys,scale_answer_3.rt,scale_answer_3.duration,blanc_2.started,blanc_2.stopped,test_attr_probe.started,test_attr_probe.stopped,recalled_attr,firstKeyTime,secondWordTime,blanc_3.started,blanc_3.stopped,test_sub_probe.started,test_sub_probe.stopped,recalled_sub,instruction_probe_end.started,instruction_probe_end.stopped,study.started,study.stopped,substantive,adjective,wordpair,task,condition,liste_sub_phase1,liste_adj_phase1,scale_answer.keys,scale_answer.rt,scale_answer.duration,code_defineWordsInit.started,code_defineWordsInit.stopped,liste_sub_phase2,study_control.started,study_control.stopped,scale_answer_4.keys,restudy_same.started,restudy_same.stopped,scale_answer_5.keys,restudy_different.started,restudy_different.stopped,scale_answer_6.keys,scale_answer_6.rt,scale_answer_6.duration,test_attr.started,test_attr.stopped,test_sub.started,test_sub.stopped,scale_answer_4.rt,scale_answer_4.duration,distractortask.started,equation_text.started,distractortask.stopped,mouse_answer.x,mouse_answer.y,mouse_answer.leftButton,mouse_answer.midButton,mouse_answer.rightButton,mouse_answer.time,mouse_answer.clicked_name,feedback_distractortask.started,feedback_distractortask.stopped,free_recall.started,text_enter.started,key_resp.started,free_recall.stopped,key_resp.keys,key_resp.rt,key_resp.duration,free_recalled_sub,mouse_continue.x,mouse_continue.y,mouse_continue.leftButton,mouse_continue.midButton,mouse_continue.rightButton,mouse_continue.time,mouse_continue.clicked_name,cued_recall.started,text_enter_2.started,correct,key_continue.started,cued_recall.stopped,recalled_attr1,key_continue.keys,key_continue.rt,key_continue.duration,cued_recall_2.started,text_enter_3.started,key_continue_2.started,cued_recall_2.stopped,recalled_attr2,key_continue_2.keys,key_continue_2.rt,key_continue_2.duration,key_resp_8.started,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,condition,date,expName,psychopyVersion,frameRate,participant,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11869330005720258,0.11876079998910427,0.11876880005002022,7.801597600104287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-12-07_11h21.32.028,watkins1,2023.2.3,99.69105740498512,54,2023-12-07 11h21.47.512134 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.801646800013259,9.667215800145641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-12-07_11h21.32.028,watkins1,2023.2.3,99.69105740498512,54,2023-12-07 11h21.47.512134 +0000,
,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,10.6809457000345,,,,,,,,9.667230900144204,10.670961600029841,17.170586900087073,17.662070099962875,11.162926699966192,17.17042260011658,2,2.2667970000766218,None,17.662080599926412,23.666325200116262,2,2.2667970000766218,None,23.666618400020525,23.666643199976534,23.666650400031358,23.666733100079,,None,None,23.666896200040355,23.666917300084606,23.666924300137907,23.666997200110927,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-12-07_11h21.32.028,watkins1,2023.2.3,99.69105740498512,54,2023-12-07 11h21.47.512134 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.667111200047657,26.553845999995247,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-12-07_11h21.32.028,watkins1,2023.2.3,99.69105740498512,54,2023-12-07 11h21.47.512134 +0000,
,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,27.567471800139174,,,,,,,,26.553861499996856,27.557491899933666,27.557932500028983,28.049547800095752,,,1,2.696504299994558,,,,,,,,,,,,,,,,,,,,,28.04955799994059,34.058891399996355,Telefon,kurz,"['Telefon', 'kurz']",restudy_diff,1,"['Telefon', 'Uhr', 'Blume', 'Hammer', 'Lampe', 'Tasche', 'Kerze', 'Tasse', 'Schlüssel', 'Hut', 'Löffel', 'Kette', 'Trommel', 'Brille', 'Würfel', 'Rucksack', 'Buch', 'Fahrrad', 'Flasche', 'Bürste', 'Kiste', 'Geige']",['kurz'],1,2.696504299994558,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-12-07_11h21.32.028,watkins1,2023.2.3,99.69105740498512,54,2023-12-07 11h21.47.512134 +0000,
,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,34.06836670008488,,,,,,,,,,34.059505900135264,34.55023519997485,,,1,1.9981237000320107,,,,,,,,,,,,,,,,,,,,,34.55024589993991,40.5551293999888,Uhr,nachhaltig,"['Uhr', 'nachhaltig']",restudy_diff,1,"['Telefon', 'Uhr', 'Blume', 'Hammer', 'Lampe', 'Tasche', 'Kerze', 'Tasse', 'Schlüssel', 'Hut', 'Löffel', 'Kette', 'Trommel', 'Brille', 'Würfel', 'Rucksack', 'Buch', 'Fahrrad', 'Flasche', 'Bürste', 'Kiste', 'Geige']","['kurz', 'nachhaltig']",1,1.9981237000320107,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-12-07_11h21.32.028,watkins1,2023.2.3,99.69105740498512,54,2023-12-07 11h21.47.512134 +0000,
,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,40.56459800014272,,,,,,,,,,40.555604099994525,41.04656799999066,,,1,1.7665514999534935,,,,,,,,,,,,,,,,,,,,,41.04657880007289,47.04979890002869,Blume,schwer,"['Blume', 'schwer']",restudy_diff,1,"['Telefon', 'Uhr', 'Blume', 'Hammer', 'Lampe', 'Tasche', 'Kerze', 'Tasse', 'Schlüssel', 'Hut', 'Löffel', 'Kette', 'Trommel', 'Brille', 'Würfel', 'Rucksack', 'Buch', 'Fahrrad', 'Flasche', 'Bürste', 'Kiste', 'Geige']","['kurz', 'nachhaltig', 'schwer']",1,1.7665514999534935,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-12-07_11h21.32.028,watkins1,2023.2.3,99.69105740498512,54,2023-12-07 11h21.47.512134 +0000,
,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,47.05918620014563,,,,,,,,,,47.05027649994008,47.54168780008331,,,1,1.9445118000730872,,,,,,,,,,,,,,,,,,,,,47.54169810004532,53.54476139997132,Hammer,gepunktet,"['Hammer', 'gepunktet']",restudy_diff,1,"['Telefon', 'Uhr', 'Blume', 'Hammer', 'Lampe', 'Tasche', 'Kerze', 'Tasse', 'Schlüssel', 'Hut', 'Löffel', 'Kette', 'Trommel', 'Brille', 'Würfel', 'Rucksack', 'Buch', 'Fahrrad', 'Flasche', 'Bürste', 'Kiste', 'Geige']","['kurz', 'nachhaltig', 'schwer', 'gepunktet']",1,1.9445118000730872,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-12-07_11h21.32.028,watkins1,2023.2.3,99.69105740498512,54,2023-12-07 11h21.47.512134 +0000,
,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,53.55422840011306,,,,,,,,,,53.54524890007451,54.036316599929705,,,2,1.8417472001165152,,,,,,,,,,,,,,,,,,,,,54.03632740001194,60.045290500158444,Lampe,dick,"['Lampe', 'dick']",restudy_diff,1,"['Telefon', 'Uhr', 'Blume', 'Hammer', 'Lampe', 'Tasche', 'Kerze', 'Tasse', 'Schlüssel', 'Hut', 'Löffel', 'Kette', 'Trommel', 'Brille', 'Würfel', 'Rucksack', 'Buch', 'Fahrrad', 'Flasche', 'Bürste', 'Kiste', 'Geige']","['kurz', 'nachhaltig', 'schwer', 'gepunktet', 'dick']",2,1.8417472001165152,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-12-07_11h21.32.028,watkins1,2023.2.3,99.69105740498512,54,2023-12-07 11h21.47.512134 +0000,
,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,60.0547649001237,,,,,,,,,,60.04576350003481,60.53680679993704,,,2,1.9981461998540908,,,,,,,,,,,,,,,,,,,,,60.53681720001623,66.54202020005323,Tasche,durchsichtig,"['Tasche', 'durchsichtig']",restudy_diff,1,"['Telefon', 'Uhr', 'Blume', 'Hammer', 'Lampe', 'Tasche', 'Kerze', 'Tasse', 'Schlüssel', 'Hut', 'Löffel', 'Kette', 'Trommel', 'Brille', 'Würfel', 'Rucksack', 'Buch', 'Fahrrad', 'Flasche', 'Bürste', 'Kiste', 'Geige']","['kurz', 'nachhaltig', 'schwer', 'gepunktet', 'dick', 'durchsichtig']",2,1.9981461998540908,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-12-07_11h21.32.028,watkins1,2023.2.3,99.69105740498512,54,2023-12-07 11h21.47.512134 +0000,
