Equation,CorrectResponse,Correctbutton,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,thisRow.t,notes,list_sub_restudy,list_sub_testsub,code_marius.started,code_marius.stopped,welcome.started,welcome.stopped,instruction_study.started,instruction_study.stopped,fixationcross.started,fixationcross.stopped,blanc.started,blanc.stopped,study_control_probe.started,study_control_probe.stopped,responseKey,responseTime,scale_answer_2.keys,study_control_probe_2.started,study_control_probe_2.stopped,scale_answer_3.keys,scale_answer_3.rt,scale_answer_3.duration,blanc_2.started,blanc_2.stopped,test_attr_probe.started,test_attr_probe.stopped,recalled_attr,firstKeyTime,secondWordTime,blanc_3.started,blanc_3.stopped,test_sub_probe.started,test_sub_probe.stopped,recalled_sub,instruction_probe_end.started,instruction_probe_end.stopped,study.started,study.stopped,substantive,adjective,wordpair,task,condition,liste_sub_phase1,liste_adj_phase1,scale_answer.keys,scale_answer.rt,scale_answer.duration,code_defineWordsInit.started,code_defineWordsInit.stopped,liste_sub_phase2,study_control.started,study_control.stopped,scale_answer_4.keys,restudy_same.started,restudy_same.stopped,scale_answer_5.keys,restudy_different.started,restudy_different.stopped,scale_answer_6.keys,test_attr.started,test_attr.stopped,test_sub.started,correct,test_sub.stopped,scale_answer_5.rt,scale_answer_5.duration,distractortask.started,equation_text.started,distractortask.stopped,mouse_answer.x,mouse_answer.y,mouse_answer.leftButton,mouse_answer.midButton,mouse_answer.rightButton,mouse_answer.time,mouse_answer.clicked_name,feedback_distractortask.started,feedback_distractortask.stopped,free_recall.started,text_enter.started,key_resp.started,free_recall.stopped,key_resp.keys,key_resp.rt,key_resp.duration,free_recalled_sub,mouse_continue.x,mouse_continue.y,mouse_continue.leftButton,mouse_continue.midButton,mouse_continue.rightButton,mouse_continue.time,mouse_continue.clicked_name,cued_recall.started,text_enter_2.started,key_continue.started,cued_recall.stopped,recalled_attr1,key_continue.keys,key_continue.rt,key_continue.duration,cued_recall_2.started,text_enter_3.started,key_continue_2.started,cued_recall_2.stopped,recalled_attr2,key_continue_2.keys,key_resp_8.started,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,condition,date,expName,psychopyVersion,frameRate,participant,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Hut', 'Rucksack', 'Stift', 'Geige', 'Vase', 'Schere', 'Uhr', 'Kamera', 'Würfel', 'Tasche', 'Schlüssel', 'Tasse', 'Ring', 'Hammer', 'Trommel']","['Flasche', 'Lampe', 'Socke', 'Eimer', 'Löffel', 'Jacke', 'Kette', 'Kerze', 'Brille', 'Bürste', 'Buch', 'Blume', 'Telefon', 'Fahrrad', 'Kiste']",0.10905510000884533,0.10912390006706119,0.10913249989971519,4.50901440018788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_11h37.15.895,watkins1,2023.2.3,99.71889264611796,56,2023-12-11 11h37.22.535019 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.509061899967492,56.313948899973184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_11h37.15.895,watkins1,2023.2.3,99.71889264611796,56,2023-12-11 11h37.22.535019 +0000,
,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,57.327505600173026,,,,,,,,,,56.31396469986066,57.317538800183684,63.81900129979476,64.31023659976199,57.80950859980658,63.81883759982884,2,3.004382200073451,None,64.31024730019271,70.31839049980044,2,3.004382200073451,None,70.31868459982798,70.31870849989355,70.31871569994837,70.31879890011624,,3.1237765001133084,None,70.31896190019324,70.80973589979112,70.80974679999053,76.8154472000897,Hund,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_11h37.15.895,watkins1,2023.2.3,99.71889264611796,56,2023-12-11 11h37.22.535019 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.81560549978167,81.21292629977688,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_11h37.15.895,watkins1,2023.2.3,99.71889264611796,56,2023-12-11 11h37.22.535019 +0000,
,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,82.22657939977944,,,,,,,,,,81.21294219978154,82.21664620004594,82.21711920015514,82.70851060003042,,,3,3.248824799899012,,,,,,,,,,,,,,,,,,,,,82.70852109976113,88.71682830015197,Bürste,schmutzig,"['Bürste', 'schmutzig']",test_sub,2,"['Bürste', 'Uhr', 'Tasche', 'Brille', 'Kiste', 'Eimer', 'Lampe', 'Vase', 'Fahrrad', 'Würfel', 'Telefon', 'Geige', 'Hammer', 'Trommel', 'Schlüssel', 'Buch', 'Kette', 'Tasse', 'Löffel', 'Stift', 'Ring', 'Blume', 'Hut', 'Jacke', 'Kerze', 'Rucksack', 'Kamera', 'Socke', 'Schere', 'Flasche']",['schmutzig'],3,3.248824799899012,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_11h37.15.895,watkins1,2023.2.3,99.71889264611796,56,2023-12-11 11h37.22.535019 +0000,
,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,88.72629449982196,,,,,,,,,,,,88.7174769998528,89.20824910001829,,,1,2.117947999853641,,,,,,,,,,,,,,,,,,,,,89.20825950009748,95.21853660000488,Uhr,schwer,"['Uhr', 'schwer']",restudy,2,"['Bürste', 'Uhr', 'Tasche', 'Brille', 'Kiste', 'Eimer', 'Lampe', 'Vase', 'Fahrrad', 'Würfel', 'Telefon', 'Geige', 'Hammer', 'Trommel', 'Schlüssel', 'Buch', 'Kette', 'Tasse', 'Löffel', 'Stift', 'Ring', 'Blume', 'Hut', 'Jacke', 'Kerze', 'Rucksack', 'Kamera', 'Socke', 'Schere', 'Flasche']","['schmutzig', 'schwer']",1,2.117947999853641,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_11h37.15.895,watkins1,2023.2.3,99.71889264611796,56,2023-12-11 11h37.22.535019 +0000,
,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,95.22736420016736,,,,,,,,,,,,95.21907510003075,95.70979369990528,,,1,2.321957000065595,,,,,,,,,,,,,,,,,,,,,95.70980449998751,101.71153010008857,Tasche,flauschig,"['Tasche', 'flauschig']",restudy,2,"['Bürste', 'Uhr', 'Tasche', 'Brille', 'Kiste', 'Eimer', 'Lampe', 'Vase', 'Fahrrad', 'Würfel', 'Telefon', 'Geige', 'Hammer', 'Trommel', 'Schlüssel', 'Buch', 'Kette', 'Tasse', 'Löffel', 'Stift', 'Ring', 'Blume', 'Hut', 'Jacke', 'Kerze', 'Rucksack', 'Kamera', 'Socke', 'Schere', 'Flasche']","['schmutzig', 'schwer', 'flauschig']",1,2.321957000065595,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_11h37.15.895,watkins1,2023.2.3,99.71889264611796,56,2023-12-11 11h37.22.535019 +0000,
,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,101.72097790008411,,,,,,,,,,,,101.71205940004438,102.20294039975852,,,2,1.8624030002392828,,,,,,,,,,,,,,,,,,,,,102.20295060006902,108.21175390016288,Brille,matt,"['Brille', 'matt']",test_sub,2,"['Bürste', 'Uhr', 'Tasche', 'Brille', 'Kiste', 'Eimer', 'Lampe', 'Vase', 'Fahrrad', 'Würfel', 'Telefon', 'Geige', 'Hammer', 'Trommel', 'Schlüssel', 'Buch', 'Kette', 'Tasse', 'Löffel', 'Stift', 'Ring', 'Blume', 'Hut', 'Jacke', 'Kerze', 'Rucksack', 'Kamera', 'Socke', 'Schere', 'Flasche']","['schmutzig', 'schwer', 'flauschig', 'matt']",2,1.8624030002392828,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_11h37.15.895,watkins1,2023.2.3,99.71889264611796,56,2023-12-11 11h37.22.535019 +0000,
,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,108.22132819984108,,,,,,,,,,,,108.21227899985388,108.70318019995466,,,1,1.681386100128293,,,,,,,,,,,,,,,,,,,,,108.70318969991058,114.71240960014984,Kiste,elegant,"['Kiste', 'elegant']",test_sub,2,"['Bürste', 'Uhr', 'Tasche', 'Brille', 'Kiste', 'Eimer', 'Lampe', 'Vase', 'Fahrrad', 'Würfel', 'Telefon', 'Geige', 'Hammer', 'Trommel', 'Schlüssel', 'Buch', 'Kette', 'Tasse', 'Löffel', 'Stift', 'Ring', 'Blume', 'Hut', 'Jacke', 'Kerze', 'Rucksack', 'Kamera', 'Socke', 'Schere', 'Flasche']","['schmutzig', 'schwer', 'flauschig', 'matt', 'elegant']",1,1.681386100128293,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_11h37.15.895,watkins1,2023.2.3,99.71889264611796,56,2023-12-11 11h37.22.535019 +0000,
,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,114.72197789978236,,,,,,,,,,,,114.7129394998774,115.20395170012489,,,1,1.4598579001612961,,,,,,,,,,,,,,,,,,,,,115.2039613998495,121.20485810004175,Eimer,verspielt,"['Eimer', 'verspielt']",test_sub,2,"['Bürste', 'Uhr', 'Tasche', 'Brille', 'Kiste', 'Eimer', 'Lampe', 'Vase', 'Fahrrad', 'Würfel', 'Telefon', 'Geige', 'Hammer', 'Trommel', 'Schlüssel', 'Buch', 'Kette', 'Tasse', 'Löffel', 'Stift', 'Ring', 'Blume', 'Hut', 'Jacke', 'Kerze', 'Rucksack', 'Kamera', 'Socke', 'Schere', 'Flasche']","['schmutzig', 'schwer', 'flauschig', 'matt', 'elegant', 'verspielt']",1,1.4598579001612961,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_11h37.15.895,watkins1,2023.2.3,99.71889264611796,56,2023-12-11 11h37.22.535019 +0000,
