Equation,CorrectResponse,Correctbutton,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,thisRow.t,notes,code_marius.started,code_marius.stopped,welcome.started,welcome.stopped,instruction_study.started,instruction_study.stopped,fixationcross.started,fixationcross.stopped,blanc.started,blanc.stopped,study_control_probe.started,study_control_probe.stopped,responseKey,responseTime,scale_answer_2.keys,study_control_probe_2.started,study_control_probe_2.stopped,scale_answer_3.keys,scale_answer_3.rt,scale_answer_3.duration,blanc_2.started,blanc_2.stopped,test_attr_probe.started,test_attr_probe.stopped,recalled_attr,firstKeyTime,secondWordTime,blanc_3.started,blanc_3.stopped,test_sub_probe.started,test_sub_probe.stopped,recalled_sub,instruction_probe_end.started,instruction_probe_end.stopped,study.started,study.stopped,substantive,adjective,wordpair,task,condition,liste_sub_phase1,liste_adj_phase1,scale_answer.keys,scale_answer.rt,scale_answer.duration,code_defineWordsInit.started,code_defineWordsInit.stopped,liste_sub_phase2,study_control.started,study_control.stopped,scale_answer_4.keys,scale_answer_4.rt,scale_answer_4.duration,restudy_same.started,restudy_same.stopped,scale_answer_5.keys,restudy_different.started,restudy_different.stopped,scale_answer_6.keys,test_attr.started,test_attr.stopped,test_sub.started,test_sub.stopped,scale_answer_6.rt,scale_answer_6.duration,distractortask.started,equation_text.started,distractortask.stopped,mouse_answer.x,mouse_answer.y,mouse_answer.leftButton,mouse_answer.midButton,mouse_answer.rightButton,mouse_answer.time,mouse_answer.clicked_name,feedback_distractortask.started,feedback_distractortask.stopped,free_recall.started,text_enter.started,key_resp.started,free_recall.stopped,key_resp.keys,key_resp.rt,key_resp.duration,free_recalled_sub,mouse_continue.x,mouse_continue.y,mouse_continue.leftButton,mouse_continue.midButton,mouse_continue.rightButton,mouse_continue.time,mouse_continue.clicked_name,cued_recall.started,text_enter_2.started,correct,key_continue.started,cued_recall.stopped,recalled_attr1,key_continue.keys,key_continue.rt,key_continue.duration,cued_recall_2.started,text_enter_3.started,key_continue_2.started,cued_recall_2.stopped,recalled_attr2,key_continue_2.keys,key_continue_2.rt,key_continue_2.duration,key_resp_8.started,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,condition,date,expName,psychopyVersion,frameRate,participant,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13009270001202822,0.1301603999454528,0.13016860000789165,43.697640999918804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-12-11_13h35.03.438,watkins1,2023.2.3,99.64119214209795,57,2023-12-11 13h35.28.826086 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.697690799832344,68.50978929991834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-12-11_13h35.03.438,watkins1,2023.2.3,99.64119214209795,57,2023-12-11 13h35.28.826086 +0000,
,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,69.52345600002445,,,,,,,,68.50980709982105,69.51352089992724,76.0115441000089,76.50284319999628,70.00560439983383,76.01138179982081,2,3.230176999932155,None,76.50285369995981,82.50967970001511,2,3.230176999932155,None,82.50996719999239,82.50999099994078,82.50999799999408,82.5100775999017,,None,None,82.51024119998328,82.51026190002449,82.51026869984344,82.51034099981189,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-12-11_13h35.03.438,watkins1,2023.2.3,99.64119214209795,57,2023-12-11 13h35.28.826086 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.51046429993585,87.73764729988761,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-12-11_13h35.03.438,watkins1,2023.2.3,99.64119214209795,57,2023-12-11 13h35.28.826086 +0000,
,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,88.7512374999933,,,,,,,,87.73766359989531,88.74126729997806,88.74170999997295,89.23339099995792,,,2,2.0688209999352694,,,,,,,,,,,,,,,,,,,,,89.23340139980428,95.24362209998071,Hammer,glatt,"['Hammer', 'glatt']",restudy_diff,1,"['Hammer', 'Stift', 'Jacke', 'Kerze', 'Kiste', 'Vase', 'Kette', 'Kamera', 'Buch', 'Würfel', 'Telefon', 'Schere', 'Eimer', 'Socke', 'Uhr', 'Tasche', 'Tasse', 'Geige', 'Schlüssel', 'Brille', 'Lampe', 'Bürste']",['glatt'],2,2.0688209999352694,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-12-11_13h35.03.438,watkins1,2023.2.3,99.64119214209795,57,2023-12-11 13h35.28.826086 +0000,
,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,95.25304789980873,,,,,,,,,,95.2442189999856,95.73513449984603,,,1,2.5624383999966085,,,,,,,,,,,,,,,,,,,,,95.73514579981565,101.73941969987936,Stift,teuer,"['Stift', 'teuer']",restudy_diff,1,"['Hammer', 'Stift', 'Jacke', 'Kerze', 'Kiste', 'Vase', 'Kette', 'Kamera', 'Buch', 'Würfel', 'Telefon', 'Schere', 'Eimer', 'Socke', 'Uhr', 'Tasche', 'Tasse', 'Geige', 'Schlüssel', 'Brille', 'Lampe', 'Bürste']","['glatt', 'teuer']",1,2.5624383999966085,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-12-11_13h35.03.438,watkins1,2023.2.3,99.64119214209795,57,2023-12-11 13h35.28.826086 +0000,
,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,101.74878539983183,,,,,,,,,,101.73989779991098,102.230902899988,,,2,1.562163099879399,,,,,,,,,,,,,,,,,,,,,102.23091279994696,108.23646389995702,Jacke,schwer,"['Jacke', 'schwer']",restudy_diff,1,"['Hammer', 'Stift', 'Jacke', 'Kerze', 'Kiste', 'Vase', 'Kette', 'Kamera', 'Buch', 'Würfel', 'Telefon', 'Schere', 'Eimer', 'Socke', 'Uhr', 'Tasche', 'Tasse', 'Geige', 'Schlüssel', 'Brille', 'Lampe', 'Bürste']","['glatt', 'teuer', 'schwer']",2,1.562163099879399,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-12-11_13h35.03.438,watkins1,2023.2.3,99.64119214209795,57,2023-12-11 13h35.28.826086 +0000,
,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,108.24591859988868,,,,,,,,,,108.23694019997492,108.72817120002583,,,1,2.634335899958387,,,,,,,,,,,,,,,,,,,,,108.72818169998936,114.73242529993877,Kerze,zart,"['Kerze', 'zart']",control,1,"['Hammer', 'Stift', 'Jacke', 'Kerze', 'Kiste', 'Vase', 'Kette', 'Kamera', 'Buch', 'Würfel', 'Telefon', 'Schere', 'Eimer', 'Socke', 'Uhr', 'Tasche', 'Tasse', 'Geige', 'Schlüssel', 'Brille', 'Lampe', 'Bürste']","['glatt', 'teuer', 'schwer', 'zart']",1,2.634335899958387,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-12-11_13h35.03.438,watkins1,2023.2.3,99.64119214209795,57,2023-12-11 13h35.28.826086 +0000,
,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,114.74198379996233,,,,,,,,,,114.73289310000837,115.22421249980107,,,2,1.986718300031498,,,,,,,,,,,,,,,,,,,,,115.22422239999287,121.23004139983095,Kiste,neu,"['Kiste', 'neu']",control,1,"['Hammer', 'Stift', 'Jacke', 'Kerze', 'Kiste', 'Vase', 'Kette', 'Kamera', 'Buch', 'Würfel', 'Telefon', 'Schere', 'Eimer', 'Socke', 'Uhr', 'Tasche', 'Tasse', 'Geige', 'Schlüssel', 'Brille', 'Lampe', 'Bürste']","['glatt', 'teuer', 'schwer', 'zart', 'neu']",2,1.986718300031498,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-12-11_13h35.03.438,watkins1,2023.2.3,99.64119214209795,57,2023-12-11 13h35.28.826086 +0000,
,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,121.23946579988115,,,,,,,,,,121.23051579995081,121.72158389980905,,,1,1.5691599000710994,,,,,,,,,,,,,,,,,,,,,121.72159469989128,127.72638609982096,Vase,flach,"['Vase', 'flach']",control,1,"['Hammer', 'Stift', 'Jacke', 'Kerze', 'Kiste', 'Vase', 'Kette', 'Kamera', 'Buch', 'Würfel', 'Telefon', 'Schere', 'Eimer', 'Socke', 'Uhr', 'Tasche', 'Tasse', 'Geige', 'Schlüssel', 'Brille', 'Lampe', 'Bürste']","['glatt', 'teuer', 'schwer', 'zart', 'neu', 'flach']",1,1.5691599000710994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-12-11_13h35.03.438,watkins1,2023.2.3,99.64119214209795,57,2023-12-11 13h35.28.826086 +0000,
,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,127.73581240000203,,,,,,,,,,127.7268568999134,128.21790269995108,,,3,2.680556599982083,,,,,,,,,,,,,,,,,,,,,128.217912199907,134.22773699997924,Kette,robust,"['Kette', 'robust']",restudy_diff,1,"['Hammer', 'Stift', 'Jacke', 'Kerze', 'Kiste', 'Vase', 'Kette', 'Kamera', 'Buch', 'Würfel', 'Telefon', 'Schere', 'Eimer', 'Socke', 'Uhr', 'Tasche', 'Tasse', 'Geige', 'Schlüssel', 'Brille', 'Lampe', 'Bürste']","['glatt', 'teuer', 'schwer', 'zart', 'neu', 'flach', 'robust']",3,2.680556599982083,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-12-11_13h35.03.438,watkins1,2023.2.3,99.64119214209795,57,2023-12-11 13h35.28.826086 +0000,
,,,,,,,7,0,7,0,,,,,,,,,,,,,,,,,134.23727419995703,,,,,,,,,,134.22820369992405,134.71932109980844,,,2,2.010242599993944,,,,,,,,,,,,,,,,,,,,,134.71933079999872,140.72288140002638,Kamera,glänzend,"['Kamera', 'glänzend']",restudy_diff,1,"['Hammer', 'Stift', 'Jacke', 'Kerze', 'Kiste', 'Vase', 'Kette', 'Kamera', 'Buch', 'Würfel', 'Telefon', 'Schere', 'Eimer', 'Socke', 'Uhr', 'Tasche', 'Tasse', 'Geige', 'Schlüssel', 'Brille', 'Lampe', 'Bürste']","['glatt', 'teuer', 'schwer', 'zart', 'neu', 'flach', 'robust', 'glänzend']",2,2.010242599993944,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-12-11_13h35.03.438,watkins1,2023.2.3,99.64119214209795,57,2023-12-11 13h35.28.826086 +0000,
