Equation,CorrectResponse,Correctbutton,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,thisRow.t,notes,list_sub_restudy,list_sub_testsub,code_marius.started,code_marius.stopped,welcome.started,welcome.stopped,instruction_study.started,instruction_study.stopped,fixationcross.started,fixationcross.stopped,blanc.started,blanc.stopped,study_control_probe.started,study_control_probe.stopped,responseKey,responseTime,scale_answer_2.keys,study_control_probe_2.started,study_control_probe_2.stopped,scale_answer_3.keys,scale_answer_3.rt,scale_answer_3.duration,blanc_2.started,blanc_2.stopped,test_attr_probe.started,test_attr_probe.stopped,recalled_attr,firstKeyTime,secondWordTime,blanc_3.started,blanc_3.stopped,test_sub_probe.started,test_sub_probe.stopped,recalled_sub,instruction_probe_end.started,instruction_probe_end.stopped,study.started,study.stopped,substantive,adjective,wordpair,task,condition,liste_sub_phase1,liste_adj_phase1,scale_answer.keys,scale_answer.rt,scale_answer.duration,code_defineWordsInit.started,code_defineWordsInit.stopped,liste_sub_phase2,study_control.started,study_control.stopped,scale_answer_4.keys,restudy_same.started,restudy_same.stopped,scale_answer_5.keys,restudy_different.started,restudy_different.stopped,scale_answer_6.keys,test_attr.started,test_attr.stopped,test_sub.started,test_sub.stopped,correct,scale_answer_5.rt,scale_answer_5.duration,distractortask.started,equation_text.started,distractortask.stopped,mouse_answer.x,mouse_answer.y,mouse_answer.leftButton,mouse_answer.midButton,mouse_answer.rightButton,mouse_answer.time,mouse_answer.clicked_name,feedback_distractortask.started,feedback_distractortask.stopped,free_recall.started,text_enter.started,key_resp.started,free_recall.stopped,key_resp.keys,key_resp.rt,key_resp.duration,free_recalled_sub,mouse_continue.x,mouse_continue.y,mouse_continue.leftButton,mouse_continue.midButton,mouse_continue.rightButton,mouse_continue.time,mouse_continue.clicked_name,cued_recall.started,text_enter_2.started,key_continue.started,cued_recall.stopped,recalled_attr1,key_continue.keys,key_continue.rt,key_continue.duration,cued_recall_2.started,text_enter_3.started,key_continue_2.started,cued_recall_2.stopped,recalled_attr2,key_continue_2.keys,key_resp_8.started,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,condition,date,expName,psychopyVersion,frameRate,participant,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Lampe', 'Tasche', 'Buch', 'Socke', 'Kiste', 'Jacke', 'Blume', 'Fahrrad', 'Eimer', 'Rucksack', 'Tasse', 'Geige', 'Flasche', 'Schere', 'Telefon']","['Ring', 'Kerze', 'Stift', 'Hammer', 'Bürste', 'Löffel', 'Schlüssel', 'Hut', 'Vase', 'Uhr', 'Kette', 'Würfel', 'Brille', 'Trommel', 'Kamera']",0.11242059990763664,0.11249209998641163,0.1125005999347195,13.45251869992353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-11-22_13h03.28.318,watkins1,2023.2.3,99.82122025094071,5,2023-11-22 13h03.39.890667 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.452567599946633,75.68779549992178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-11-22_13h03.28.318,watkins1,2023.2.3,99.82122025094071,5,2023-11-22 13h03.39.890667 +0000,
,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,76.70137249992695,,,,,,,,,,75.68781389994547,76.69143929996062,83.19382439996116,83.68504719994962,77.18343689991161,83.19365589995869,2,3.300847200094722,None,83.68505799991544,89.68811379990075,2,3.300847200094722,None,89.68840529990848,89.68842909997329,89.68843659991398,89.6885172999464,,2.319460800033994,None,89.68867859989405,90.17968579998706,90.17969739995897,96.1845659998944,Hund,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-11-22_13h03.28.318,watkins1,2023.2.3,99.82122025094071,5,2023-11-22 13h03.39.890667 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.18472189991735,102.79249069991056,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-11-22_13h03.28.318,watkins1,2023.2.3,99.82122025094071,5,2023-11-22 13h03.39.890667 +0000,
,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,103.80616969999392,,,,,,,,,,102.79250829992816,103.79607639997266,103.79653049993794,104.28819899994414,,,1,2.4773367000743747,,,,,,,,,,,,,,,,,,,,,104.2882096999092,110.29044079990126,Socke,glatt,"['Socke', 'glatt']",restudy,2,"['Socke', 'Schere', 'Trommel', 'Kerze', 'Flasche', 'Buch', 'Lampe', 'Löffel', 'Ring', 'Rucksack', 'Telefon', 'Tasche', 'Würfel', 'Bürste', 'Uhr', 'Fahrrad', 'Hammer', 'Jacke', 'Vase', 'Eimer', 'Hut', 'Schlüssel', 'Stift', 'Kamera', 'Brille', 'Geige', 'Tasse', 'Kette', 'Blume', 'Kiste']",['glatt'],1,2.4773367000743747,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-11-22_13h03.28.318,watkins1,2023.2.3,99.82122025094071,5,2023-11-22 13h03.39.890667 +0000,
,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,110.29987519991118,,,,,,,,,,,,110.29108799993992,110.78180719993543,,,3,2.9697630999144167,,,,,,,,,,,,,,,,,,,,,110.78181749989744,116.78466449992266,Schere,klobig,"['Schere', 'klobig']",restudy,2,"['Socke', 'Schere', 'Trommel', 'Kerze', 'Flasche', 'Buch', 'Lampe', 'Löffel', 'Ring', 'Rucksack', 'Telefon', 'Tasche', 'Würfel', 'Bürste', 'Uhr', 'Fahrrad', 'Hammer', 'Jacke', 'Vase', 'Eimer', 'Hut', 'Schlüssel', 'Stift', 'Kamera', 'Brille', 'Geige', 'Tasse', 'Kette', 'Blume', 'Kiste']","['glatt', 'klobig']",3,2.9697630999144167,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-11-22_13h03.28.318,watkins1,2023.2.3,99.82122025094071,5,2023-11-22 13h03.39.890667 +0000,
,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,116.79414289991837,,,,,,,,,,,,116.78518799995072,117.27620639989618,,,3,3.6020131000550464,,,,,,,,,,,,,,,,,,,,,117.2762169999769,123.28152550000232,Trommel,glänzend,"['Trommel', 'glänzend']",test_sub,2,"['Socke', 'Schere', 'Trommel', 'Kerze', 'Flasche', 'Buch', 'Lampe', 'Löffel', 'Ring', 'Rucksack', 'Telefon', 'Tasche', 'Würfel', 'Bürste', 'Uhr', 'Fahrrad', 'Hammer', 'Jacke', 'Vase', 'Eimer', 'Hut', 'Schlüssel', 'Stift', 'Kamera', 'Brille', 'Geige', 'Tasse', 'Kette', 'Blume', 'Kiste']","['glatt', 'klobig', 'glänzend']",3,3.6020131000550464,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-11-22_13h03.28.318,watkins1,2023.2.3,99.82122025094071,5,2023-11-22 13h03.39.890667 +0000,
,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,123.2909129000036,,,,,,,,,,,,123.28205179993529,123.77302729990333,,,2,2.954018299933523,,,,,,,,,,,,,,,,,,,,,123.77303789998405,129.77447259996552,Kerze,biegsam,"['Kerze', 'biegsam']",test_sub,2,"['Socke', 'Schere', 'Trommel', 'Kerze', 'Flasche', 'Buch', 'Lampe', 'Löffel', 'Ring', 'Rucksack', 'Telefon', 'Tasche', 'Würfel', 'Bürste', 'Uhr', 'Fahrrad', 'Hammer', 'Jacke', 'Vase', 'Eimer', 'Hut', 'Schlüssel', 'Stift', 'Kamera', 'Brille', 'Geige', 'Tasse', 'Kette', 'Blume', 'Kiste']","['glatt', 'klobig', 'glänzend', 'biegsam']",2,2.954018299933523,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-11-22_13h03.28.318,watkins1,2023.2.3,99.82122025094071,5,2023-11-22 13h03.39.890667 +0000,
,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,129.78390809998382,,,,,,,,,,,,129.77500139991753,130.26599999994505,,,1,2.109508200082928,,,,,,,,,,,,,,,,,,,,,130.26601039990783,136.26701289997436,Flasche,kratzig,"['Flasche', 'kratzig']",restudy,2,"['Socke', 'Schere', 'Trommel', 'Kerze', 'Flasche', 'Buch', 'Lampe', 'Löffel', 'Ring', 'Rucksack', 'Telefon', 'Tasche', 'Würfel', 'Bürste', 'Uhr', 'Fahrrad', 'Hammer', 'Jacke', 'Vase', 'Eimer', 'Hut', 'Schlüssel', 'Stift', 'Kamera', 'Brille', 'Geige', 'Tasse', 'Kette', 'Blume', 'Kiste']","['glatt', 'klobig', 'glänzend', 'biegsam', 'kratzig']",1,2.109508200082928,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-11-22_13h03.28.318,watkins1,2023.2.3,99.82122025094071,5,2023-11-22 13h03.39.890667 +0000,
,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,136.2764518999029,,,,,,,,,,,,136.2675371998921,136.75848279998172,,,2,2.7606057999655604,,,,,,,,,,,,,,,,,,,,,136.75849359994754,142.76789669995196,Buch,kaputt,"['Buch', 'kaputt']",restudy,2,"['Socke', 'Schere', 'Trommel', 'Kerze', 'Flasche', 'Buch', 'Lampe', 'Löffel', 'Ring', 'Rucksack', 'Telefon', 'Tasche', 'Würfel', 'Bürste', 'Uhr', 'Fahrrad', 'Hammer', 'Jacke', 'Vase', 'Eimer', 'Hut', 'Schlüssel', 'Stift', 'Kamera', 'Brille', 'Geige', 'Tasse', 'Kette', 'Blume', 'Kiste']","['glatt', 'klobig', 'glänzend', 'biegsam', 'kratzig', 'kaputt']",2,2.7606057999655604,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-11-22_13h03.28.318,watkins1,2023.2.3,99.82122025094071,5,2023-11-22 13h03.39.890667 +0000,
