Equation,CorrectResponse,Correctbutton,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,thisRow.t,notes,code_marius.started,code_marius.stopped,welcome.started,welcome.stopped,instruction_study.started,instruction_study.stopped,fixationcross.started,fixationcross.stopped,blanc.started,blanc.stopped,study_control_probe.started,study_control_probe.stopped,responseKey,responseTime,scale_answer_2.keys,study_control_probe_2.started,study_control_probe_2.stopped,scale_answer_3.keys,scale_answer_3.rt,scale_answer_3.duration,blanc_2.started,blanc_2.stopped,test_attr_probe.started,test_attr_probe.stopped,recalled_attr,firstKeyTime,secondWordTime,blanc_3.started,blanc_3.stopped,test_sub_probe.started,test_sub_probe.stopped,recalled_sub,instruction_probe_end.started,instruction_probe_end.stopped,study.started,study.stopped,substantive,adjective,wordpair,task,condition,liste_sub_phase1,liste_adj_phase1,scale_answer.keys,scale_answer.rt,scale_answer.duration,code_defineWordsInit.started,code_defineWordsInit.stopped,liste_sub_phase2,study_control.started,study_control.stopped,scale_answer_4.keys,restudy_same.started,restudy_same.stopped,scale_answer_5.keys,restudy_different.started,restudy_different.stopped,scale_answer_6.keys,test_attr.started,correct,test_attr.stopped,test_sub.started,test_sub.stopped,scale_answer_5.rt,scale_answer_5.duration,distractortask.started,equation_text.started,distractortask.stopped,mouse_answer.x,mouse_answer.y,mouse_answer.leftButton,mouse_answer.midButton,mouse_answer.rightButton,mouse_answer.time,mouse_answer.clicked_name,feedback_distractortask.started,feedback_distractortask.stopped,free_recall.started,text_enter.started,key_resp.started,free_recall.stopped,key_resp.keys,key_resp.rt,key_resp.duration,free_recalled_sub,mouse_continue.x,mouse_continue.y,mouse_continue.leftButton,mouse_continue.midButton,mouse_continue.rightButton,mouse_continue.time,mouse_continue.clicked_name,cued_recall.started,text_enter_2.started,key_continue.started,cued_recall.stopped,recalled_attr1,key_continue.keys,key_continue.rt,key_continue.duration,cued_recall_2.started,text_enter_3.started,key_continue_2.started,cued_recall_2.stopped,recalled_attr2,key_continue_2.keys,key_resp_8.started,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,condition,date,expName,psychopyVersion,frameRate,participant,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11343149999447633,0.11349959999643033,0.11350859999947716,8.582212299996172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-14_10h06.36.798,watkins1,2023.2.3,99.71600880799461,64,2023-12-14 10h06.44.044473 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.582260199997108,47.67928889999894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-14_10h06.36.798,watkins1,2023.2.3,99.71600880799461,64,2023-12-14 10h06.44.044473 +0000,
,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,48.69291659999726,,,,,,,,47.67930649999471,48.682930099996156,55.182878799998434,55.67428409999411,49.17491859999427,55.18272489999799,1,2.200813900002686,None,55.674295199998596,61.680830599994806,1,2.200813900002686,None,61.68112719999772,62.17234610000014,62.17235759999312,68.17707039999368,vergnügt,None,None,68.17729809999582,68.17732209999667,68.17732949999481,68.1774135999949,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-14_10h06.36.798,watkins1,2023.2.3,99.71600880799461,64,2023-12-14 10h06.44.044473 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.17753419999644,75.06574819999514,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-14_10h06.36.798,watkins1,2023.2.3,99.71600880799461,64,2023-12-14 10h06.44.044473 +0000,
,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,76.07941779999965,,,,,,,,75.06576419999328,76.06934179999371,76.07000899999548,76.56146299999818,,,1,3.108933600000455,,,,,,,,,,,,,,,,,,,,,76.56147379999311,82.56223969999701,Hammer,kalt,"['Hammer', 'kalt']",restudy,3,"['Hammer', 'Telefon', 'Kamera', 'Flasche', 'Stift', 'Hut', 'Brille', 'Vase', 'Socke', 'Ring', 'Jacke', 'Bürste', 'Schlüssel', 'Rucksack', 'Trommel', 'Fahrrad', 'Uhr', 'Tasse', 'Würfel', 'Tasche', 'Kette', 'Schere', 'Kiste', 'Löffel', 'Eimer', 'Blume', 'Kerze', 'Lampe', 'Buch', 'Geige']",['kalt'],1,3.108933600000455,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-14_10h06.36.798,watkins1,2023.2.3,99.71600880799461,64,2023-12-14 10h06.44.044473 +0000,
,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,82.57176069999696,,,,,,,,,,82.5628929999948,83.05386699999508,,,1,5.033387600000424,,,,,,,,,,,,,,,,,,,,,83.05387779999728,89.05615539999417,Telefon,robust,"['Telefon', 'robust']",restudy,3,"['Hammer', 'Telefon', 'Kamera', 'Flasche', 'Stift', 'Hut', 'Brille', 'Vase', 'Socke', 'Ring', 'Jacke', 'Bürste', 'Schlüssel', 'Rucksack', 'Trommel', 'Fahrrad', 'Uhr', 'Tasse', 'Würfel', 'Tasche', 'Kette', 'Schere', 'Kiste', 'Löffel', 'Eimer', 'Blume', 'Kerze', 'Lampe', 'Buch', 'Geige']","['kalt', 'robust']",1,5.033387600000424,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-14_10h06.36.798,watkins1,2023.2.3,99.71600880799461,64,2023-12-14 10h06.44.044473 +0000,
,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,89.0656114999947,,,,,,,,,,89.0566847999944,89.54762809999374,,,1,1.4439849999980652,,,,,,,,,,,,,,,,,,,,,89.54763919999823,95.55257269999856,Kamera,kratzig,"['Kamera', 'kratzig']",test_adj,3,"['Hammer', 'Telefon', 'Kamera', 'Flasche', 'Stift', 'Hut', 'Brille', 'Vase', 'Socke', 'Ring', 'Jacke', 'Bürste', 'Schlüssel', 'Rucksack', 'Trommel', 'Fahrrad', 'Uhr', 'Tasse', 'Würfel', 'Tasche', 'Kette', 'Schere', 'Kiste', 'Löffel', 'Eimer', 'Blume', 'Kerze', 'Lampe', 'Buch', 'Geige']","['kalt', 'robust', 'kratzig']",1,1.4439849999980652,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-14_10h06.36.798,watkins1,2023.2.3,99.71600880799461,64,2023-12-14 10h06.44.044473 +0000,
,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,95.56204069999512,,,,,,,,,,95.55308929999592,96.0441412999935,,,1,4.451741400000174,,,,,,,,,,,,,,,,,,,,,96.04415179999341,102.04735239999718,Flasche,gestreift,"['Flasche', 'gestreift']",restudy,3,"['Hammer', 'Telefon', 'Kamera', 'Flasche', 'Stift', 'Hut', 'Brille', 'Vase', 'Socke', 'Ring', 'Jacke', 'Bürste', 'Schlüssel', 'Rucksack', 'Trommel', 'Fahrrad', 'Uhr', 'Tasse', 'Würfel', 'Tasche', 'Kette', 'Schere', 'Kiste', 'Löffel', 'Eimer', 'Blume', 'Kerze', 'Lampe', 'Buch', 'Geige']","['kalt', 'robust', 'kratzig', 'gestreift']",1,4.451741400000174,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-14_10h06.36.798,watkins1,2023.2.3,99.71600880799461,64,2023-12-14 10h06.44.044473 +0000,
,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,102.05682789999992,,,,,,,,,,102.04788079999707,102.53885499999888,,,2,2.589459700000589,,,,,,,,,,,,,,,,,,,,,102.53886589999456,108.5471941999931,Stift,glatt,"['Stift', 'glatt']",restudy,3,"['Hammer', 'Telefon', 'Kamera', 'Flasche', 'Stift', 'Hut', 'Brille', 'Vase', 'Socke', 'Ring', 'Jacke', 'Bürste', 'Schlüssel', 'Rucksack', 'Trommel', 'Fahrrad', 'Uhr', 'Tasse', 'Würfel', 'Tasche', 'Kette', 'Schere', 'Kiste', 'Löffel', 'Eimer', 'Blume', 'Kerze', 'Lampe', 'Buch', 'Geige']","['kalt', 'robust', 'kratzig', 'gestreift', 'glatt']",2,2.589459700000589,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-14_10h06.36.798,watkins1,2023.2.3,99.71600880799461,64,2023-12-14 10h06.44.044473 +0000,
,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,108.55663799999456,,,,,,,,,,108.5477316999968,109.03875249999692,,,3,5.114108900001156,,,,,,,,,,,,,,,,,,,,,109.03876289999607,115.04786769999919,Hut,hohl,"['Hut', 'hohl']",test_adj,3,"['Hammer', 'Telefon', 'Kamera', 'Flasche', 'Stift', 'Hut', 'Brille', 'Vase', 'Socke', 'Ring', 'Jacke', 'Bürste', 'Schlüssel', 'Rucksack', 'Trommel', 'Fahrrad', 'Uhr', 'Tasse', 'Würfel', 'Tasche', 'Kette', 'Schere', 'Kiste', 'Löffel', 'Eimer', 'Blume', 'Kerze', 'Lampe', 'Buch', 'Geige']","['kalt', 'robust', 'kratzig', 'gestreift', 'glatt', 'hohl']",3,5.114108900001156,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-14_10h06.36.798,watkins1,2023.2.3,99.71600880799461,64,2023-12-14 10h06.44.044473 +0000,
