Equation,CorrectResponse,Correctbutton,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,thisRow.t,notes,code_marius.started,code_marius.stopped,welcome.started,welcome.stopped,instruction_study.started,instruction_study.stopped,fixationcross.started,fixationcross.stopped,blanc.started,blanc.stopped,study_control_probe.started,study_control_probe.stopped,responseKey,responseTime,scale_answer_2.keys,study_control_probe_2.started,study_control_probe_2.stopped,scale_answer_3.keys,scale_answer_3.rt,scale_answer_3.duration,blanc_2.started,blanc_2.stopped,test_attr_probe.started,test_attr_probe.stopped,recalled_attr,firstKeyTime,secondWordTime,blanc_3.started,blanc_3.stopped,test_sub_probe.started,test_sub_probe.stopped,recalled_sub,instruction_probe_end.started,instruction_probe_end.stopped,study.started,study.stopped,substantive,adjective,wordpair,task,condition,liste_sub_phase1,liste_adj_phase1,scale_answer.keys,scale_answer.rt,scale_answer.duration,code_defineWordsInit.started,code_defineWordsInit.stopped,liste_sub_phase2,study_control.started,study_control.stopped,scale_answer_4.keys,restudy_same.started,restudy_same.stopped,scale_answer_5.keys,scale_answer_5.rt,scale_answer_5.duration,restudy_different.started,restudy_different.stopped,scale_answer_6.keys,test_attr.started,test_attr.stopped,test_sub.started,test_sub.stopped,correct,distractortask.started,equation_text.started,distractortask.stopped,mouse_answer.x,mouse_answer.y,mouse_answer.leftButton,mouse_answer.midButton,mouse_answer.rightButton,mouse_answer.time,mouse_answer.clicked_name,feedback_distractortask.started,feedback_distractortask.stopped,free_recall.started,text_enter.started,key_resp.started,free_recall.stopped,key_resp.keys,key_resp.rt,key_resp.duration,free_recalled_sub,mouse_continue.x,mouse_continue.y,mouse_continue.leftButton,mouse_continue.midButton,mouse_continue.rightButton,mouse_continue.time,mouse_continue.clicked_name,cued_recall.started,text_enter_2.started,key_continue.started,cued_recall.stopped,recalled_attr1,key_continue.keys,key_continue.rt,key_continue.duration,cued_recall_2.started,text_enter_3.started,key_continue_2.started,cued_recall_2.stopped,recalled_attr2,key_continue_2.keys,key_resp_8.started,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,condition,date,expName,psychopyVersion,frameRate,participant,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10063559999980498,0.10070970000015222,0.10071789999983594,7.947022400000606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-11-22_13h11.17.219,watkins1,2023.2.3,99.76385894577969,6,2023-11-22 13h11.25.033368 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.947071000000506,39.90512410000065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-11-22_13h11.17.219,watkins1,2023.2.3,99.76385894577969,6,2023-11-22 13h11.25.033368 +0000,
,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,40.91893770000024,,,,,,,,39.905141000000185,40.9089539000006,47.40913350000028,47.90049520000048,41.40095100000053,47.40895619999992,2,3.2491915999999037,None,47.90050599999995,53.90852960000029,2,3.2491915999999037,None,53.90882359999978,54.4000489,54.40005939999992,60.404701899999964,vergnügt,None,None,60.40492710000035,60.40495069999997,60.40495790000023,60.40504200000032,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-11-22_13h11.17.219,watkins1,2023.2.3,99.76385894577969,6,2023-11-22 13h11.25.033368 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.40516320000006,63.287129400000595,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-11-22_13h11.17.219,watkins1,2023.2.3,99.76385894577969,6,2023-11-22 13h11.25.033368 +0000,
,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,64.30078330000015,,,,,,,,63.28714630000013,64.29079679999995,64.29125920000024,64.7828086999998,,,1,2.145388799999637,,,,,,,,,,,,,,,,,,,,,64.78281900000002,70.78699090000009,Geige,bunt,"['Geige', 'bunt']",test_adj,3,"['Geige', 'Kette', 'Tasse', 'Flasche', 'Löffel', 'Trommel', 'Lampe', 'Vase', 'Schere', 'Kiste', 'Uhr', 'Tasche', 'Stift', 'Kamera', 'Bürste', 'Brille', 'Hammer', 'Ring', 'Eimer', 'Blume', 'Socke', 'Telefon', 'Kerze', 'Hut', 'Würfel', 'Jacke', 'Schlüssel', 'Rucksack', 'Fahrrad', 'Buch']",['bunt'],1,2.145388799999637,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-11-22_13h11.17.219,watkins1,2023.2.3,99.76385894577969,6,2023-11-22 13h11.25.033368 +0000,
,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,70.79657670000051,,,,,,,,,,70.78765600000042,71.27853779999987,,,2,2.259781199999452,,,,,,,,,,,,,,,,,,,,,71.27854829999978,77.28677040000002,Kette,niedlich,"['Kette', 'niedlich']",test_adj,3,"['Geige', 'Kette', 'Tasse', 'Flasche', 'Löffel', 'Trommel', 'Lampe', 'Vase', 'Schere', 'Kiste', 'Uhr', 'Tasche', 'Stift', 'Kamera', 'Bürste', 'Brille', 'Hammer', 'Ring', 'Eimer', 'Blume', 'Socke', 'Telefon', 'Kerze', 'Hut', 'Würfel', 'Jacke', 'Schlüssel', 'Rucksack', 'Fahrrad', 'Buch']","['bunt', 'niedlich']",2,2.259781199999452,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-11-22_13h11.17.219,watkins1,2023.2.3,99.76385894577969,6,2023-11-22 13h11.25.033368 +0000,
,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,77.29599790000066,,,,,,,,,,77.28731310000057,77.77812960000028,,,3,1.87143930000002,,,,,,,,,,,,,,,,,,,,,77.77813969999988,83.77917200000047,Tasse,groß,"['Tasse', 'groß']",restudy,3,"['Geige', 'Kette', 'Tasse', 'Flasche', 'Löffel', 'Trommel', 'Lampe', 'Vase', 'Schere', 'Kiste', 'Uhr', 'Tasche', 'Stift', 'Kamera', 'Bürste', 'Brille', 'Hammer', 'Ring', 'Eimer', 'Blume', 'Socke', 'Telefon', 'Kerze', 'Hut', 'Würfel', 'Jacke', 'Schlüssel', 'Rucksack', 'Fahrrad', 'Buch']","['bunt', 'niedlich', 'groß']",3,1.87143930000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-11-22_13h11.17.219,watkins1,2023.2.3,99.76385894577969,6,2023-11-22 13h11.25.033368 +0000,
,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,83.78860350000014,,,,,,,,,,83.77971640000032,84.27068710000003,,,1,1.7235896000001958,,,,,,,,,,,,,,,,,,,,,84.27069730000039,90.27170449999994,Flasche,krumm,"['Flasche', 'krumm']",restudy,3,"['Geige', 'Kette', 'Tasse', 'Flasche', 'Löffel', 'Trommel', 'Lampe', 'Vase', 'Schere', 'Kiste', 'Uhr', 'Tasche', 'Stift', 'Kamera', 'Bürste', 'Brille', 'Hammer', 'Ring', 'Eimer', 'Blume', 'Socke', 'Telefon', 'Kerze', 'Hut', 'Würfel', 'Jacke', 'Schlüssel', 'Rucksack', 'Fahrrad', 'Buch']","['bunt', 'niedlich', 'groß', 'krumm']",1,1.7235896000001958,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-11-22_13h11.17.219,watkins1,2023.2.3,99.76385894577969,6,2023-11-22 13h11.25.033368 +0000,
,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,90.28127760000007,,,,,,,,,,90.27225890000045,90.7633421999999,,,2,1.9266739000004236,,,,,,,,,,,,,,,,,,,,,90.7633523000004,96.76814990000003,Löffel,strahlend,"['Löffel', 'strahlend']",restudy,3,"['Geige', 'Kette', 'Tasse', 'Flasche', 'Löffel', 'Trommel', 'Lampe', 'Vase', 'Schere', 'Kiste', 'Uhr', 'Tasche', 'Stift', 'Kamera', 'Bürste', 'Brille', 'Hammer', 'Ring', 'Eimer', 'Blume', 'Socke', 'Telefon', 'Kerze', 'Hut', 'Würfel', 'Jacke', 'Schlüssel', 'Rucksack', 'Fahrrad', 'Buch']","['bunt', 'niedlich', 'groß', 'krumm', 'strahlend']",2,1.9266739000004236,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-11-22_13h11.17.219,watkins1,2023.2.3,99.76385894577969,6,2023-11-22 13h11.25.033368 +0000,
,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,96.77756750000026,,,,,,,,,,96.76870520000011,97.25978699999996,,,1,1.6796588999995947,,,,,,,,,,,,,,,,,,,,,97.25979670000015,103.2628493000002,Trommel,flauschig,"['Trommel', 'flauschig']",restudy,3,"['Geige', 'Kette', 'Tasse', 'Flasche', 'Löffel', 'Trommel', 'Lampe', 'Vase', 'Schere', 'Kiste', 'Uhr', 'Tasche', 'Stift', 'Kamera', 'Bürste', 'Brille', 'Hammer', 'Ring', 'Eimer', 'Blume', 'Socke', 'Telefon', 'Kerze', 'Hut', 'Würfel', 'Jacke', 'Schlüssel', 'Rucksack', 'Fahrrad', 'Buch']","['bunt', 'niedlich', 'groß', 'krumm', 'strahlend', 'flauschig']",1,1.6796588999995947,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-11-22_13h11.17.219,watkins1,2023.2.3,99.76385894577969,6,2023-11-22 13h11.25.033368 +0000,
