thisN,thisTrialN,thisRepN,textbox_target.text,correct,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,piloting,code_marius.started,code_marius.stopped,welcome.started,welcome.stopped,code_generator.started,letter_mother.started,textbox_mother.started,letter_father.started,textbox_father.started,letter_month.started,textbox_month.started,letter_place.started,textbox_place.started,letter_bday.started,textbox_bday.started,code_generator.stopped,code,instruction_study.started,wüste_0.started,strand_0.started,wald_0.started,berg_0.started,instruction_study.stopped,fixationcross.started,fixationcross.stopped,blanc.started,blanc.stopped,study.started,context_1.started,study.stopped,cue,target,image1,stimuli,task,condition,liste_phase1,thanks_vorgezogen.started,image_animal_2.started,thanks_vorgezogen.stopped,instruction_restudy.started,instruction_restudy.stopped,practice_test.started,context_test_2.started,practice_test.stopped,practice_target,Textbox_Umlauttest.text,code_defineWordsInit.started,code_defineWordsInit.stopped,image2,liste_phase2,study_new.started,context_new.started,study_new.stopped,restudy.started,restudy.stopped,test.started,test.stopped,firstKeyTime,secondWordTime,trials_2.textbox_target.text,recalled_target,context_test.started,trials_2.correct,participant,date,expName,expVersion,psychopyVersion,frameRate,condition,age,gender,native_language,highest_degree,major,target_major,expStart,
,,,,,,,,,,,,,,,False,0.010349100004532374,0.010412300005555153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2026-07-22_15h26.45.454,watkins2_part1,,2026.1.3,143.2116941001113,2,28,Weiblich,Vor dem 6. Lebensjahr gelernt,Abitur,Ich studiere nicht,Ich studiere nicht,2026-07-22 15h26.46.061325 +0200,
,,,,,,,,,,,,,,,,,,0.010776600000099279,15.831617700008792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2026-07-22_15h26.45.454,watkins2_part1,,2026.1.3,143.2116941001113,2,28,Weiblich,Vor dem 6. Lebensjahr gelernt,Abitur,Ich studiere nicht,Ich studiere nicht,2026-07-22 15h26.46.061325 +0200,
,,,,,,,,,,,,,,,,,,,,15.83237000000372,15.851814699999522,15.851814699999522,15.851814699999522,15.851814699999522,15.851814699999522,15.851814699999522,15.851814699999522,15.851814699999522,15.851814699999522,15.851814699999522,60.20975540000654,IJTS11,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2026-07-22_15h26.45.454,watkins2_part1,,2026.1.3,143.2116941001113,2,28,Weiblich,Vor dem 6. Lebensjahr gelernt,Abitur,Ich studiere nicht,Ich studiere nicht,2026-07-22 15h26.46.061325 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2026-07-22_15h26.45.454,watkins2_part1,,2026.1.3,143.2116941001113,2,28,Weiblich,Vor dem 6. Lebensjahr gelernt,Abitur,Ich studiere nicht,Ich studiere nicht,2026-07-22 15h26.46.061325 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.20986200000334,60.2380559000012,60.2380559000012,60.2380559000012,60.2380559000012,89.3379494999972,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2026-07-22_15h26.45.454,watkins2_part1,,2026.1.3,143.2116941001113,2,28,Weiblich,Vor dem 6. Lebensjahr gelernt,Abitur,Ich studiere nicht,Ich studiere nicht,2026-07-22 15h26.46.061325 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.3379830000049,90.3273610000033,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2026-07-22_15h26.45.454,watkins2_part1,,2026.1.3,143.2116941001113,2,28,Weiblich,Vor dem 6. Lebensjahr gelernt,Abitur,Ich studiere nicht,Ich studiere nicht,2026-07-22 15h26.46.061325 +0200,
0,0,0,,,0,0,0,0,,,,,90.33434169999964,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.32764730000054,90.82237880000321,90.84426530000928,90.84865820000414,98.84367460000794,Flöte,Wolke,C:\git\experiments\watkins2_part1\wueste.jpg,"['Flöte', 'Wolke', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg']",test,2,"[('Flöte', 'Wolke', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Staffelei', 'Dünger', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Heft', 'Puzzle', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Ball', 'Flugzeug', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Mütze', 'Fernseher', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Onkel', 'Beet', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Hamster', 'Drucker', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Joggen', 'Banane', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Matsch', 'Zange', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Bett', 'Regen', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Laub', 'Schal', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Auto', 'Müll', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Jacke', 'Trommel', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Birne', 'Goldfisch', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Pinsel', 'Kaninchen', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Schwester', 'Staub', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Traube', 'Limonade', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Löffel', 'Orange', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Geige', 'Kakao', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Kreisel', 'Leinwand', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Wind', 'Bus', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Computer', 'Schwimmen', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Fenster', 'Tennis', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Teller', 'Großvater', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg')]",,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2026-07-22_15h26.45.454,watkins2_part1,,2026.1.3,143.2116941001113,2,28,Weiblich,Vor dem 6. Lebensjahr gelernt,Abitur,Ich studiere nicht,Ich studiere nicht,2026-07-22 15h26.46.061325 +0200,
1,0,1,,,1,0,1,0,,,,,98.85062959999777,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.84386930000619,99.33179870000458,99.36427510000067,99.36752600000182,107.34979860000021,Staffelei,Dünger,C:\git\experiments\watkins2_part1\berg.jpg,"['Staffelei', 'Dünger', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg']",study,2,"[('Flöte', 'Wolke', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Staffelei', 'Dünger', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Heft', 'Puzzle', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Ball', 'Flugzeug', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Mütze', 'Fernseher', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Onkel', 'Beet', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Hamster', 'Drucker', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Joggen', 'Banane', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Matsch', 'Zange', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Bett', 'Regen', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Laub', 'Schal', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Auto', 'Müll', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Jacke', 'Trommel', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Birne', 'Goldfisch', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Pinsel', 'Kaninchen', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Schwester', 'Staub', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Traube', 'Limonade', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Löffel', 'Orange', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Geige', 'Kakao', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Kreisel', 'Leinwand', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Wind', 'Bus', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Computer', 'Schwimmen', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Fenster', 'Tennis', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Teller', 'Großvater', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg')]",,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2026-07-22_15h26.45.454,watkins2_part1,,2026.1.3,143.2116941001113,2,28,Weiblich,Vor dem 6. Lebensjahr gelernt,Abitur,Ich studiere nicht,Ich studiere nicht,2026-07-22 15h26.46.061325 +0200,
2,0,2,,,2,0,2,0,,,,,107.35660790000111,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.34998850000557,107.83791200000269,107.8595733000111,107.86244219999935,115.85010090000287,Heft,Puzzle,C:\git\experiments\watkins2_part1\wueste.jpg,"['Heft', 'Puzzle', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg']",study,2,"[('Flöte', 'Wolke', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Staffelei', 'Dünger', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Heft', 'Puzzle', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Ball', 'Flugzeug', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Mütze', 'Fernseher', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Onkel', 'Beet', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Hamster', 'Drucker', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Joggen', 'Banane', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Matsch', 'Zange', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Bett', 'Regen', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Laub', 'Schal', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Auto', 'Müll', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Jacke', 'Trommel', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Birne', 'Goldfisch', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Pinsel', 'Kaninchen', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Schwester', 'Staub', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Traube', 'Limonade', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Löffel', 'Orange', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Geige', 'Kakao', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Kreisel', 'Leinwand', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Wind', 'Bus', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Computer', 'Schwimmen', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Fenster', 'Tennis', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Teller', 'Großvater', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg')]",,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2026-07-22_15h26.45.454,watkins2_part1,,2026.1.3,143.2116941001113,2,28,Weiblich,Vor dem 6. Lebensjahr gelernt,Abitur,Ich studiere nicht,Ich studiere nicht,2026-07-22 15h26.46.061325 +0200,
3,0,3,,,3,0,3,0,,,,,115.85694650000369,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.85029410000425,116.33832560000883,116.35931189999974,116.3642211999977,124.35065200000827,Ball,Flugzeug,C:\git\experiments\watkins2_part1\wald.jpg,"['Ball', 'Flugzeug', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg']",test,2,"[('Flöte', 'Wolke', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Staffelei', 'Dünger', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Heft', 'Puzzle', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Ball', 'Flugzeug', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Mütze', 'Fernseher', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Onkel', 'Beet', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Hamster', 'Drucker', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Joggen', 'Banane', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Matsch', 'Zange', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Bett', 'Regen', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Laub', 'Schal', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Auto', 'Müll', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Jacke', 'Trommel', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Birne', 'Goldfisch', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Pinsel', 'Kaninchen', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Schwester', 'Staub', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Traube', 'Limonade', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Löffel', 'Orange', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Geige', 'Kakao', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Kreisel', 'Leinwand', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Wind', 'Bus', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Computer', 'Schwimmen', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Fenster', 'Tennis', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Teller', 'Großvater', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg')]",,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2026-07-22_15h26.45.454,watkins2_part1,,2026.1.3,143.2116941001113,2,28,Weiblich,Vor dem 6. Lebensjahr gelernt,Abitur,Ich studiere nicht,Ich studiere nicht,2026-07-22 15h26.46.061325 +0200,
