thisN,thisTrialN,thisRepN,correct,textbox_target.text,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,piloting,code_marius.started,code_marius.stopped,welcome.started,welcome.stopped,code_generator.started,letter_mother.started,textbox_mother.started,letter_father.started,textbox_father.started,letter_month.started,textbox_month.started,letter_place.started,textbox_place.started,letter_bday.started,textbox_bday.started,code_generator.stopped,code,instruction_study.started,wüste_0.started,strand_0.started,wald_0.started,berg_0.started,instruction_study.stopped,fixationcross.started,fixationcross.stopped,blanc.started,blanc.stopped,study.started,context_1.started,study.stopped,cue,target,image1,stimuli,task,condition,liste_phase1,thanks_vorgezogen.started,image_animal_2.started,thanks_vorgezogen.stopped,instruction_restudy.started,instruction_restudy.stopped,practice_test.started,context_test_2.started,practice_test.stopped,practice_target,Textbox_Umlauttest.text,code_defineWordsInit.started,code_defineWordsInit.stopped,image2,liste_phase2,study_new.started,study_new.stopped,restudy.started,restudy.stopped,test.started,context_test.started,trials_2.correct,test.stopped,firstKeyTime,secondWordTime,trials_2.textbox_target.text,recalled_target,context_new.started,key_resp_8.started,image_animal.started,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,participant,date,expName,expVersion,psychopyVersion,frameRate,condition,age,gender,native_language,highest_degree,major,target_major,expStart,
,,,,,,,,,,,,,,,False,0.007492200005799532,0.007555299991508946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,2026-07-23_12h44.28.370,watkins2_part1,,2026.1.3,143.2882357408849,2,28,Männlich,Keins der beiden,Abitur,Anderes Studienfach,Anderer angestrebter Abschluss,2026-07-23 12h44.28.967959 +0200,
,,,,,,,,,,,,,,,,,,0.00791340001160279,24.175194799987366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,2026-07-23_12h44.28.370,watkins2_part1,,2026.1.3,143.2882357408849,2,28,Männlich,Keins der beiden,Abitur,Anderes Studienfach,Anderer angestrebter Abschluss,2026-07-23 12h44.28.967959 +0200,
,,,,,,,,,,,,,,,,,,,,24.175969900010386,24.195870199997444,24.195870199997444,24.195870199997444,24.195870199997444,24.195870199997444,24.195870199997444,24.195870199997444,24.195870199997444,24.195870199997444,24.195870199997444,69.11202639999101,IHVA01,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,2026-07-23_12h44.28.370,watkins2_part1,,2026.1.3,143.2882357408849,2,28,Männlich,Keins der beiden,Abitur,Anderes Studienfach,Anderer angestrebter Abschluss,2026-07-23 12h44.28.967959 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,2026-07-23_12h44.28.370,watkins2_part1,,2026.1.3,143.2882357408849,2,28,Männlich,Keins der beiden,Abitur,Anderes Studienfach,Anderer angestrebter Abschluss,2026-07-23 12h44.28.967959 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.11213339999085,69.14064759999746,69.14064759999746,69.14064759999746,69.14064759999746,147.41680700000143,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,2026-07-23_12h44.28.370,watkins2_part1,,2026.1.3,143.2882357408849,2,28,Männlich,Keins der beiden,Abitur,Anderes Studienfach,Anderer angestrebter Abschluss,2026-07-23 12h44.28.967959 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.41684079999686,148.4064451000013,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,2026-07-23_12h44.28.370,watkins2_part1,,2026.1.3,143.2882357408849,2,28,Männlich,Keins der beiden,Abitur,Anderes Studienfach,Anderer angestrebter Abschluss,2026-07-23 12h44.28.967959 +0200,
0,0,0,,,0,0,0,0,,,,,148.41331699999864,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.40674149998813,148.90143399999943,148.9212850999902,148.925747900008,156.91886999999406,Birne,Goldfisch,C:\git\experiments\watkins2_part1\strand.jpg,"['Birne', 'Goldfisch', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg']",test,2,"[('Birne', 'Goldfisch', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Kaffee', 'Skulptur', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Jacke', 'Trommel', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Teller', 'Großvater', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Geige', 'Kakao', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Mütze', 'Fernseher', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Hammer', 'Mappe', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Pinsel', 'Kaninchen', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Onkel', 'Beet', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Laub', 'Schal', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Wind', 'Bus', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Kamera', 'Sofa', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Traube', 'Limonade', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Heft', 'Puzzle', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Bohrer', 'Hemd', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Matsch', 'Zange', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Bett', 'Regen', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Fenster', 'Tennis', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Tee', 'Lampe', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Computer', 'Schwimmen', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Fahrrad', 'Säge', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Krümel', 'Umschlag', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Auto', 'Müll', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Boxen', 'Gitarre', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg')]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,2026-07-23_12h44.28.370,watkins2_part1,,2026.1.3,143.2882357408849,2,28,Männlich,Keins der beiden,Abitur,Anderes Studienfach,Anderer angestrebter Abschluss,2026-07-23 12h44.28.967959 +0200,
1,0,1,,,1,0,1,0,,,,,156.92582689999836,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.9190634000115,157.40688090000185,157.42044690001057,157.42328720001387,165.42252069999813,Kaffee,Skulptur,C:\git\experiments\watkins2_part1\strand.jpg,"['Kaffee', 'Skulptur', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg']",study,2,"[('Birne', 'Goldfisch', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Kaffee', 'Skulptur', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Jacke', 'Trommel', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Teller', 'Großvater', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Geige', 'Kakao', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Mütze', 'Fernseher', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Hammer', 'Mappe', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Pinsel', 'Kaninchen', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Onkel', 'Beet', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Laub', 'Schal', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Wind', 'Bus', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Kamera', 'Sofa', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Traube', 'Limonade', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Heft', 'Puzzle', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Bohrer', 'Hemd', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Matsch', 'Zange', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Bett', 'Regen', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Fenster', 'Tennis', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Tee', 'Lampe', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Computer', 'Schwimmen', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Fahrrad', 'Säge', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Krümel', 'Umschlag', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Auto', 'Müll', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Boxen', 'Gitarre', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg')]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,2026-07-23_12h44.28.370,watkins2_part1,,2026.1.3,143.2882357408849,2,28,Männlich,Keins der beiden,Abitur,Anderes Studienfach,Anderer angestrebter Abschluss,2026-07-23 12h44.28.967959 +0200,
2,0,2,,,2,0,2,0,,,,,165.42936219999683,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.4227103999874,165.91131990001304,165.92426339999656,165.92705249998835,173.92303750000428,Jacke,Trommel,C:\git\experiments\watkins2_part1\strand.jpg,"['Jacke', 'Trommel', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg']",study,2,"[('Birne', 'Goldfisch', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Kaffee', 'Skulptur', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Jacke', 'Trommel', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Teller', 'Großvater', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Geige', 'Kakao', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Mütze', 'Fernseher', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Hammer', 'Mappe', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Pinsel', 'Kaninchen', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Onkel', 'Beet', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Laub', 'Schal', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Wind', 'Bus', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Kamera', 'Sofa', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Traube', 'Limonade', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Heft', 'Puzzle', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Bohrer', 'Hemd', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Matsch', 'Zange', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Bett', 'Regen', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Fenster', 'Tennis', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Tee', 'Lampe', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Computer', 'Schwimmen', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Fahrrad', 'Säge', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Krümel', 'Umschlag', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Auto', 'Müll', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Boxen', 'Gitarre', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg')]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,2026-07-23_12h44.28.370,watkins2_part1,,2026.1.3,143.2882357408849,2,28,Männlich,Keins der beiden,Abitur,Anderes Studienfach,Anderer angestrebter Abschluss,2026-07-23 12h44.28.967959 +0200,
3,0,3,,,3,0,3,0,,,,,173.92984719999367,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.92322960001184,174.41129580000415,174.43452770001022,174.4394331999938,182.42860350001138,Teller,Großvater,C:\git\experiments\watkins2_part1\wald.jpg,"['Teller', 'Großvater', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg']",study,2,"[('Birne', 'Goldfisch', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Kaffee', 'Skulptur', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Jacke', 'Trommel', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Teller', 'Großvater', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Geige', 'Kakao', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Mütze', 'Fernseher', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Hammer', 'Mappe', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Pinsel', 'Kaninchen', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Onkel', 'Beet', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Laub', 'Schal', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Wind', 'Bus', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Kamera', 'Sofa', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Traube', 'Limonade', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Heft', 'Puzzle', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Bohrer', 'Hemd', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Matsch', 'Zange', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Bett', 'Regen', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Fenster', 'Tennis', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Tee', 'Lampe', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Computer', 'Schwimmen', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Fahrrad', 'Säge', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Krümel', 'Umschlag', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Auto', 'Müll', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Boxen', 'Gitarre', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg')]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,2026-07-23_12h44.28.370,watkins2_part1,,2026.1.3,143.2882357408849,2,28,Männlich,Keins der beiden,Abitur,Anderes Studienfach,Anderer angestrebter Abschluss,2026-07-23 12h44.28.967959 +0200,
