thisN,thisTrialN,thisRepN,textbox_target.text,correct,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,piloting,code_marius.started,code_marius.stopped,welcome.started,welcome.stopped,code_generator.started,letter_mother.started,textbox_mother.started,letter_father.started,textbox_father.started,letter_month.started,textbox_month.started,letter_place.started,textbox_place.started,letter_bday.started,textbox_bday.started,code_generator.stopped,code,instruction_study.started,wüste_0.started,strand_0.started,wald_0.started,berg_0.started,instruction_study.stopped,fixationcross.started,fixationcross.stopped,blanc.started,blanc.stopped,study.started,context_1.started,study.stopped,cue,target,image1,stimuli,task,condition,liste_phase1,thanks_vorgezogen.started,image_animal_2.started,thanks_vorgezogen.stopped,instruction_restudy.started,instruction_restudy.stopped,practice_test.started,context_test_2.started,practice_test.stopped,practice_target,Textbox_Umlauttest.text,code_defineWordsInit.started,code_defineWordsInit.stopped,image2,liste_phase2,study_new.started,context_new.started,study_new.stopped,restudy.started,restudy.stopped,test.started,test.stopped,firstKeyTime,secondWordTime,trials_2.textbox_target.text,recalled_target,context_test.started,trials_2.correct,key_resp_8.started,image_animal.started,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,participant,date,expName,expVersion,psychopyVersion,frameRate,condition,age,gender,native_language,highest_degree,major,target_major,expStart,
,,,,,,,,,,,,,,,False,0.0069119001273065805,0.0069743001367896795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,2026-08-05_14h54.56.890,watkins2_part1,,2026.1.3,143.1405612888425,4,26,Weiblich,Muttersprache,Abitur,Anderes Studienfach,Bachelor,2026-08-05 14h54.57.797136 +0200,
,,,,,,,,,,,,,,,,,,0.007336200214922428,23.11684780009091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,2026-08-05_14h54.56.890,watkins2_part1,,2026.1.3,143.1405612888425,4,26,Weiblich,Muttersprache,Abitur,Anderes Studienfach,Bachelor,2026-08-05 14h54.57.797136 +0200,
,,,,,,,,,,,,,,,,,,,,23.1176227000542,23.1378238000907,23.1378238000907,23.1378238000907,23.1378238000907,23.1378238000907,23.1378238000907,23.1378238000907,23.1378238000907,23.1378238000907,23.1378238000907,63.01291729998775,BRZN29,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,2026-08-05_14h54.56.890,watkins2_part1,,2026.1.3,143.1405612888425,4,26,Weiblich,Muttersprache,Abitur,Anderes Studienfach,Bachelor,2026-08-05 14h54.57.797136 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,2026-08-05_14h54.56.890,watkins2_part1,,2026.1.3,143.1405612888425,4,26,Weiblich,Muttersprache,Abitur,Anderes Studienfach,Bachelor,2026-08-05 14h54.57.797136 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.013025500113145,63.04746800009161,63.04746800009161,63.04746800009161,63.04746800009161,86.45398400002159,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,2026-08-05_14h54.56.890,watkins2_part1,,2026.1.3,143.1405612888425,4,26,Weiblich,Muttersprache,Abitur,Anderes Studienfach,Bachelor,2026-08-05 14h54.57.797136 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.45401730015874,87.44353809999302,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,2026-08-05_14h54.56.890,watkins2_part1,,2026.1.3,143.1405612888425,4,26,Weiblich,Muttersprache,Abitur,Anderes Studienfach,Bachelor,2026-08-05 14h54.57.797136 +0200,
0,0,0,,,0,0,0,0,,,,,87.45036610006355,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.4440142000094,87.93886200012639,87.97464560018852,87.97910370002501,95.95969370007515,Schnee,Nichte,C:\git\experiments\watkins2_part1\berg.jpg,"['Schnee', 'Nichte', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg']",study,4,"[('Schnee', 'Nichte', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Jacke', 'Trommel', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Teller', 'Großvater', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Ball', 'Flugzeug', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Rasen', 'Würfel', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Staffelei', 'Dünger', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Traube', 'Limonade', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Hammer', 'Mappe', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Mütze', 'Fernseher', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Wind', 'Bus', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Fahrrad', 'Säge', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Kaffee', 'Skulptur', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Onkel', 'Beet', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Tee', 'Lampe', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Flöte', 'Wolke', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Computer', 'Schwimmen', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Kreisel', 'Leinwand', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Schwester', 'Staub', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Auto', 'Müll', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Matsch', 'Zange', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Pinsel', 'Kaninchen', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Hamster', 'Drucker', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Krümel', 'Umschlag', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Laub', 'Schal', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg')]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,2026-08-05_14h54.56.890,watkins2_part1,,2026.1.3,143.1405612888425,4,26,Weiblich,Muttersprache,Abitur,Anderes Studienfach,Bachelor,2026-08-05 14h54.57.797136 +0200,
1,0,1,,,1,0,1,0,,,,,95.96651759999804,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.95988890016451,96.44770830008201,96.464486700017,96.4676282000728,104.46276940009557,Jacke,Trommel,C:\git\experiments\watkins2_part1\strand.jpg,"['Jacke', 'Trommel', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg']",study,4,"[('Schnee', 'Nichte', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Jacke', 'Trommel', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Teller', 'Großvater', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Ball', 'Flugzeug', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Rasen', 'Würfel', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Staffelei', 'Dünger', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Traube', 'Limonade', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Hammer', 'Mappe', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Mütze', 'Fernseher', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Wind', 'Bus', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Fahrrad', 'Säge', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Kaffee', 'Skulptur', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Onkel', 'Beet', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Tee', 'Lampe', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Flöte', 'Wolke', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Computer', 'Schwimmen', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Kreisel', 'Leinwand', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Schwester', 'Staub', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Auto', 'Müll', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Matsch', 'Zange', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Pinsel', 'Kaninchen', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Hamster', 'Drucker', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Krümel', 'Umschlag', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Laub', 'Schal', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg')]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,2026-08-05_14h54.56.890,watkins2_part1,,2026.1.3,143.1405612888425,4,26,Weiblich,Muttersprache,Abitur,Anderes Studienfach,Bachelor,2026-08-05 14h54.57.797136 +0200,
2,0,2,,,2,0,2,0,,,,,104.46963860001415,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.4629652001895,104.95067779999226,104.98337710020132,104.98636480001733,112.96929560019635,Teller,Großvater,C:\git\experiments\watkins2_part1\berg.jpg,"['Teller', 'Großvater', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg']",study,4,"[('Schnee', 'Nichte', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Jacke', 'Trommel', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Teller', 'Großvater', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Ball', 'Flugzeug', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Rasen', 'Würfel', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Staffelei', 'Dünger', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Traube', 'Limonade', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Hammer', 'Mappe', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Mütze', 'Fernseher', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Wind', 'Bus', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Fahrrad', 'Säge', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Kaffee', 'Skulptur', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Onkel', 'Beet', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Tee', 'Lampe', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Flöte', 'Wolke', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Computer', 'Schwimmen', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Kreisel', 'Leinwand', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Schwester', 'Staub', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Auto', 'Müll', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Matsch', 'Zange', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Pinsel', 'Kaninchen', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Hamster', 'Drucker', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Krümel', 'Umschlag', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Laub', 'Schal', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg')]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,2026-08-05_14h54.56.890,watkins2_part1,,2026.1.3,143.1405612888425,4,26,Weiblich,Muttersprache,Abitur,Anderes Studienfach,Bachelor,2026-08-05 14h54.57.797136 +0200,
3,0,3,,,3,0,3,0,,,,,112.97619110019878,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.96949000004679,113.45749710011296,113.48632990010083,113.48925790004432,121.47446380020119,Ball,Flugzeug,C:\git\experiments\watkins2_part1\berg.jpg,"['Ball', 'Flugzeug', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg']",test_diff,4,"[('Schnee', 'Nichte', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Jacke', 'Trommel', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Teller', 'Großvater', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Ball', 'Flugzeug', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Rasen', 'Würfel', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Staffelei', 'Dünger', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Traube', 'Limonade', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Hammer', 'Mappe', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Mütze', 'Fernseher', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Wind', 'Bus', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Fahrrad', 'Säge', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Kaffee', 'Skulptur', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Onkel', 'Beet', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Tee', 'Lampe', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Flöte', 'Wolke', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Computer', 'Schwimmen', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg'), ('Kreisel', 'Leinwand', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Schwester', 'Staub', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Auto', 'Müll', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Matsch', 'Zange', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg'), ('Pinsel', 'Kaninchen', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Hamster', 'Drucker', 'C:\\git\\experiments\\watkins2_part1\\berg.jpg', 'C:\\git\\experiments\\watkins2_part1\\wueste.jpg'), ('Krümel', 'Umschlag', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg', 'C:\\git\\experiments\\watkins2_part1\\wald.jpg'), ('Laub', 'Schal', 'C:\\git\\experiments\\watkins2_part1\\strand.jpg')]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,2026-08-05_14h54.56.890,watkins2_part1,,2026.1.3,143.1405612888425,4,26,Weiblich,Muttersprache,Abitur,Anderes Studienfach,Bachelor,2026-08-05 14h54.57.797136 +0200,
